Jaar week,AgeGroup,Hospitalisations
2 mrt. 2020 t/m 8 mrt. 2020 (Week 10),06–19,0
2 mrt. 2020 t/m 8 mrt. 2020 (Week 10),40–59,0.105
2 mrt. 2020 t/m 8 mrt. 2020 (Week 10),80–++,0.485
2 mrt. 2020 t/m 8 mrt. 2020 (Week 10),00–05,0.006
2 mrt. 2020 t/m 8 mrt. 2020 (Week 10),60–79,0.38
2 mrt. 2020 t/m 8 mrt. 2020 (Week 10),20–39,0.023
9 mrt. 2020 t/m 15 mrt. 2020 (Week 11),60–79,0.392
9 mrt. 2020 t/m 15 mrt. 2020 (Week 11),40–59,0.187
9 mrt. 2020 t/m 15 mrt. 2020 (Week 11),80–++,0.366
9 mrt. 2020 t/m 15 mrt. 2020 (Week 11),06–19,0.005
9 mrt. 2020 t/m 15 mrt. 2020 (Week 11),20–39,0.04
9 mrt. 2020 t/m 15 mrt. 2020 (Week 11),00–05,0.01
16 mrt. 2020 t/m 22 mrt. 2020 (Week 12),20–39,0.066
16 mrt. 2020 t/m 22 mrt. 2020 (Week 12),60–79,0.411
16 mrt. 2020 t/m 22 mrt. 2020 (Week 12),06–19,0.004
16 mrt. 2020 t/m 22 mrt. 2020 (Week 12),80–++,0.253
16 mrt. 2020 t/m 22 mrt. 2020 (Week 12),40–59,0.253
16 mrt. 2020 t/m 22 mrt. 2020 (Week 12),00–05,0.013
23 mrt. 2020 t/m 29 mrt. 2020 (Week 13),00–05,0.008
23 mrt. 2020 t/m 29 mrt. 2020 (Week 13),80–++,0.222
23 mrt. 2020 t/m 29 mrt. 2020 (Week 13),40–59,0.287
23 mrt. 2020 t/m 29 mrt. 2020 (Week 13),60–79,0.417
23 mrt. 2020 t/m 29 mrt. 2020 (Week 13),20–39,0.062
23 mrt. 2020 t/m 29 mrt. 2020 (Week 13),06–19,0.005
30 mrt. 2020 t/m 5 apr. 2020 (Week 14),80–++,0.275
30 mrt. 2020 t/m 5 apr. 2020 (Week 14),60–79,0.399
30 mrt. 2020 t/m 5 apr. 2020 (Week 14),06–19,0.01
30 mrt. 2020 t/m 5 apr. 2020 (Week 14),40–59,0.251
30 mrt. 2020 t/m 5 apr. 2020 (Week 14),00–05,0.009
30 mrt. 2020 t/m 5 apr. 2020 (Week 14),20–39,0.055
6 apr. 2020 t/m 12 apr. 2020 (Week 15),60–79,0.351
6 apr. 2020 t/m 12 apr. 2020 (Week 15),20–39,0.055
6 apr. 2020 t/m 12 apr. 2020 (Week 15),06–19,0.006
6 apr. 2020 t/m 12 apr. 2020 (Week 15),00–05,0.009
6 apr. 2020 t/m 12 apr. 2020 (Week 15),80–++,0.352
6 apr. 2020 t/m 12 apr. 2020 (Week 15),40–59,0.226
13 apr. 2020 t/m 19 apr. 2020 (Week 16),80–++,0.368
13 apr. 2020 t/m 19 apr. 2020 (Week 16),00–05,0.011
13 apr. 2020 t/m 19 apr. 2020 (Week 16),06–19,0.01
13 apr. 2020 t/m 19 apr. 2020 (Week 16),40–59,0.198
13 apr. 2020 t/m 19 apr. 2020 (Week 16),60–79,0.343
13 apr. 2020 t/m 19 apr. 2020 (Week 16),20–39,0.069
20 apr. 2020 t/m 26 apr. 2020 (Week 17),80–++,0.374
20 apr. 2020 t/m 26 apr. 2020 (Week 17),60–79,0.344
20 apr. 2020 t/m 26 apr. 2020 (Week 17),00–05,0.011
20 apr. 2020 t/m 26 apr. 2020 (Week 17),20–39,0.072
20 apr. 2020 t/m 26 apr. 2020 (Week 17),40–59,0.19
20 apr. 2020 t/m 26 apr. 2020 (Week 17),06–19,0.009
27 apr. 2020 t/m 3 mei 2020 (Week 18),40–59,0.182
27 apr. 2020 t/m 3 mei 2020 (Week 18),00–05,0.012
27 apr. 2020 t/m 3 mei 2020 (Week 18),80–++,0.392
27 apr. 2020 t/m 3 mei 2020 (Week 18),20–39,0.083
27 apr. 2020 t/m 3 mei 2020 (Week 18),60–79,0.316
27 apr. 2020 t/m 3 mei 2020 (Week 18),06–19,0.014
4 mei 2020 t/m 10 mei 2020 (Week 19),20–39,0.076
4 mei 2020 t/m 10 mei 2020 (Week 19),00–05,0.005
4 mei 2020 t/m 10 mei 2020 (Week 19),80–++,0.433
4 mei 2020 t/m 10 mei 2020 (Week 19),60–79,0.299
4 mei 2020 t/m 10 mei 2020 (Week 19),06–19,0.011
4 mei 2020 t/m 10 mei 2020 (Week 19),40–59,0.177
11 mei 2020 t/m 17 mei 2020 (Week 20),20–39,0.075
11 mei 2020 t/m 17 mei 2020 (Week 20),06–19,0.01
11 mei 2020 t/m 17 mei 2020 (Week 20),40–59,0.177
11 mei 2020 t/m 17 mei 2020 (Week 20),00–05,0.005
11 mei 2020 t/m 17 mei 2020 (Week 20),60–79,0.296
11 mei 2020 t/m 17 mei 2020 (Week 20),80–++,0.437
18 mei 2020 t/m 24 mei 2020 (Week 21),00–05,0.024
18 mei 2020 t/m 24 mei 2020 (Week 21),80–++,0.386
18 mei 2020 t/m 24 mei 2020 (Week 21),06–19,0.014
18 mei 2020 t/m 24 mei 2020 (Week 21),20–39,0.107
18 mei 2020 t/m 24 mei 2020 (Week 21),60–79,0.307
18 mei 2020 t/m 24 mei 2020 (Week 21),40–59,0.162
25 mei 2020 t/m 31 mei 2020 (Week 22),00–05,0.034
25 mei 2020 t/m 31 mei 2020 (Week 22),60–79,0.303
25 mei 2020 t/m 31 mei 2020 (Week 22),80–++,0.349
25 mei 2020 t/m 31 mei 2020 (Week 22),20–39,0.097
25 mei 2020 t/m 31 mei 2020 (Week 22),40–59,0.185
25 mei 2020 t/m 31 mei 2020 (Week 22),06–19,0.034
1 jun. 2020 t/m 7 jun. 2020 (Week 23),80–++,0.406
1 jun. 2020 t/m 7 jun. 2020 (Week 23),20–39,0.094
1 jun. 2020 t/m 7 jun. 2020 (Week 23),40–59,0.119
1 jun. 2020 t/m 7 jun. 2020 (Week 23),06–19,0.006
1 jun. 2020 t/m 7 jun. 2020 (Week 23),00–05,0.019
1 jun. 2020 t/m 7 jun. 2020 (Week 23),60–79,0.356
8 jun. 2020 t/m 14 jun. 2020 (Week 24),06–19,0.027
8 jun. 2020 t/m 14 jun. 2020 (Week 24),00–05,0.013
8 jun. 2020 t/m 14 jun. 2020 (Week 24),20–39,0.141
8 jun. 2020 t/m 14 jun. 2020 (Week 24),60–79,0.255
8 jun. 2020 t/m 14 jun. 2020 (Week 24),80–++,0.416
8 jun. 2020 t/m 14 jun. 2020 (Week 24),40–59,0.148
15 jun. 2020 t/m 21 jun. 2020 (Week 25),00–05,0.035
15 jun. 2020 t/m 21 jun. 2020 (Week 25),80–++,0.319
15 jun. 2020 t/m 21 jun. 2020 (Week 25),60–79,0.345
15 jun. 2020 t/m 21 jun. 2020 (Week 25),40–59,0.177
15 jun. 2020 t/m 21 jun. 2020 (Week 25),20–39,0.115
15 jun. 2020 t/m 21 jun. 2020 (Week 25),06–19,0.009
22 jun. 2020 t/m 28 jun. 2020 (Week 26),00–05,0
22 jun. 2020 t/m 28 jun. 2020 (Week 26),06–19,0.025
22 jun. 2020 t/m 28 jun. 2020 (Week 26),80–++,0.309
22 jun. 2020 t/m 28 jun. 2020 (Week 26),60–79,0.395
22 jun. 2020 t/m 28 jun. 2020 (Week 26),40–59,0.136
22 jun. 2020 t/m 28 jun. 2020 (Week 26),20–39,0.136
29 jun. 2020 t/m 5 jul. 2020 (Week 27),20–39,0.113
29 jun. 2020 t/m 5 jul. 2020 (Week 27),40–59,0.208
29 jun. 2020 t/m 5 jul. 2020 (Week 27),80–++,0.226
29 jun. 2020 t/m 5 jul. 2020 (Week 27),06–19,0.038
29 jun. 2020 t/m 5 jul. 2020 (Week 27),00–05,0.057
29 jun. 2020 t/m 5 jul. 2020 (Week 27),60–79,0.358
