AGEGROUP,REGION,POP
0-17,Wallonia,839121
18-34,Wallonia,677681
35-44,Wallonia,457298
45-54,Wallonia,498609
55-64,Wallonia,485180
65-74,Wallonia,384803
75-84,Wallonia,203035
85+,Wallonia,99516
0-17,Flanders,1425998
18-34,Flanders,1187394
35-44,Flanders,842109
45-54,Flanders,900799
55-64,Flanders,915312
65-74,Flanders,703016
75-84,Flanders,445506
85+,Flanders,209009
0-17,Brussels,304203
18-34,Brussels,285939
35-44,Brussels,186386
45-54,Brussels,159151
55-64,Brussels,122983
65-74,Brussels,82580
75-84,Brussels,50399
85+,Brussels,26614
