DATE,PROVINCE,TESTS_ALL,TESTS_ALL_POS,CASES,REGION,NR_REPORTING,TOTAL_IN,TOTAL_IN_ICU,TOTAL_IN_RESP,TOTAL_IN_ECMO,NEW_IN,NEW_OUT,PROV,POP
2020-03-15,Antwerpen,180,18,24,Flanders,14,50,9,4,0,8,8,VAN,1869730
2020-03-15,BrabantWallon,50,7,6,Wallonia,2,5,2,2,0,1,0,WBR,406019
2020-03-15,Brussels,106,17,28,Brussels,14,58,11,8,0,7,2,BRU,1218255
2020-03-15,Hainaut,205,49,30,Wallonia,15,56,13,11,1,26,1,WHT,1346840
2020-03-15,Limburg,84,7,37,Flanders,7,20,6,3,0,9,3,VLI,877370
2020-03-15,Liège,133,17,15,Wallonia,12,22,2,1,0,4,1,WLG,1109800
2020-03-15,Luxembourg,2,0,1,Wallonia,3,4,0,0,0,3,0,WLX,286752
2020-03-15,Namur,51,3,1,Wallonia,6,2,1,1,0,0,0,WNA,495832
2020-03-15,OostVlaanderen,102,10,19,Flanders,14,16,5,1,0,5,1,VOV,1200945
2020-03-15,VlaamsBrabant,162,23,27,Flanders,6,14,2,0,0,2,0,VBR,1155843
2020-03-15,WestVlaanderen,150,12,16,Flanders,11,19,3,1,0,6,2,VWV,1525255
2020-03-16,Antwerpen,298,40,46,Flanders,14,63,12,5,0,12,1,VAN,1869730
2020-03-16,BrabantWallon,79,13,17,Wallonia,2,8,2,2,0,3,0,WBR,406019
2020-03-16,Brussels,120,41,62,Brussels,15,81,14,11,0,11,4,BRU,1218255
2020-03-16,Hainaut,155,27,46,Wallonia,13,89,19,14,1,28,0,WHT,1346840
2020-03-16,Limburg,105,19,35,Flanders,7,25,9,4,0,7,0,VLI,877370
2020-03-16,Liège,265,32,48,Wallonia,13,24,2,2,0,2,1,WLG,1109800
2020-03-16,Luxembourg,46,4,5,Wallonia,3,5,1,1,0,0,1,WLX,286752
2020-03-16,OostVlaanderen,212,16,36,Flanders,14,23,6,2,0,4,0,VOV,1200945
2020-03-16,VlaamsBrabant,221,33,43,Flanders,6,23,7,2,0,13,0,VBR,1155843
2020-03-16,WestVlaanderen,302,38,40,Flanders,11,25,6,7,0,9,6,VWV,1525255
2020-03-17,Antwerpen,318,56,54,Flanders,14,89,14,10,1,17,5,VAN,1869730
2020-03-17,BrabantWallon,87,22,18,Wallonia,2,10,2,2,0,3,1,WBR,406019
2020-03-17,Brussels,213,54,29,Brussels,16,115,23,16,1,16,5,BRU,1218255
2020-03-17,Hainaut,285,64,52,Wallonia,14,108,25,18,1,27,3,WHT,1346840
2020-03-17,Limburg,96,24,66,Flanders,7,34,13,5,0,22,11,VLI,877370
2020-03-17,Liège,300,52,45,Wallonia,12,29,5,3,0,5,2,WLG,1109800
2020-03-17,Luxembourg,28,0,3,Wallonia,3,8,1,0,0,2,0,WLX,286752
2020-03-17,Namur,50,7,9,Wallonia,6,4,1,1,0,0,0,WNA,495832
2020-03-17,OostVlaanderen,289,42,39,Flanders,14,32,8,4,0,10,2,VOV,1200945
2020-03-17,VlaamsBrabant,225,54,41,Flanders,6,33,3,1,0,9,0,VBR,1155843
2020-03-17,WestVlaanderen,299,47,56,Flanders,11,35,5,6,0,11,2,VWV,1525255
