NIS5,CASES,FR,NL,POP
11001,439,Aartselaar,Aartselaar,14293
11002,21383,Anvers,Antwerpen,525935
11004,255,Boechout,Boechout,13266
11005,649,Boom,Boom,18244
11007,350,Borsbeek,Borsbeek,10854
11008,770,Brasschaat,Brasschaat,37946
11009,618,Brecht,Brecht,29268
11013,546,Edegem,Edegem,22063
11016,366,Essen,Essen,19038
11018,415,Hemiksem,Hemiksem,11559
11021,190,Hove,Hove,8125
11022,314,Kalmthout,Kalmthout,18695
11023,591,Kapellen,Kapellen,26850
11024,425,Kontich,Kontich,21115
11025,175,Lint,Lint,8718
11029,609,Mortsel,Mortsel,26099
11030,300,Niel,Niel,10501
11035,408,Ranst,Ranst,19008
11037,331,Rumst,Rumst,15090
11038,237,Schelle,Schelle,8518
11039,517,Schilde,Schilde,19652
11040,729,Schoten,Schoten,34517
11044,455,Stabroek,Stabroek,18710
11050,309,Wijnegem,Wijnegem,9816
11052,280,Wommelgem,Wommelgem,12865
11053,397,Wuustwezel,Wuustwezel,20970
11054,268,Zandhoven,Zandhoven,13025
11055,425,Zoersel,Zoersel,21944
11056,541,Zwijndrecht,Zwijndrecht,19056
11057,299,Malle,Malle,15561
12002,178,Berlaar,Berlaar,11527
12005,267,Bonheiden,Bonheiden,15010
12007,443,Bornem,Bornem,21366
12009,400,Duffel,Duffel,17491
12014,779,Heist_op_den_Berg,Heist_op_den_Berg,42681
12021,748,Lierre,Lier,36242
12025,2737,Malines,Mechelen,86616
12026,437,Nijlen,Nijlen,22949
12029,303,Putte,Putte,17800
12035,510,Sint_Katelijne_Waver,Sint_Katelijne_Waver,20792
12040,855,Willebroek,Willebroek,26462
12041,657,Puurs-Sint-Amands,Puurs-Sint-Amands,25882
13001,253,Arendonk,Arendonk,13293
13002,57,Baerle_Duc,Baarle_Hertog,2760
13003,428,Balen,Balen,22618
13004,444,Beerse,Beerse,18084
13006,167,Dessel,Dessel,9598
13008,702,Geel,Geel,40353
13010,215,Grobbendonk,Grobbendonk,11155
13011,546,Herentals,Herentals,28177
13012,164,Herenthout,Herenthout,9061
13013,230,Herselt,Herselt,14523
13014,489,Hoogstraten,Hoogstraten,21355
13016,157,Hulshout,Hulshout,10424
13017,347,Kasterlee,Kasterlee,18655
13019,338,Lille,Lille,16529
13021,178,Meerhout,Meerhout,10361
13023,293,Merksplas,Merksplas,8600
13025,798,Mol,Mol,36825
13029,297,Olen,Olen,12505
13031,293,Oud_Turnhout,Oud_Turnhout,13662
13035,337,Ravels,Ravels,15009
13036,347,Retie,Retie,11396
13037,309,Rijkevorsel,Rijkevorsel,12060
13040,879,Turnhout,Turnhout,44664
13044,152,Vorselaar,Vorselaar,7861
13046,169,Vosselaar,Vosselaar,11187
13049,394,Westerlo,Westerlo,25051
13053,255,Laakdal,Laakdal,16101
21001,6838,Anderlecht,Anderlecht,119714
21002,1413,Auderghem,Oudergem,34013
21003,1481,Berchem_Sainte_Agathe,Sint_Agatha_Berchem,25179
21004,9477,Bruxelles,Brussel,181726
21005,2147,Etterbeek,Etterbeek,48367
21006,2350,Evere,Evere,41763
21007,2853,Forest,Vorst,56289
21008,1327,Ganshoren,Ganshoren,24902
21009,3977,Ixelles,Elsene,86876
21010,2664,Jette,Jette,52536
21011,1245,Koekelberg,Koekelberg,21990
21012,6458,Molenbeek_Saint_Jean,Sint_Jans_Molenbeek,97462
21013,2536,Saint_Gilles,Sint_Gillis,50267
21014,1532,Saint_Josse_ten_Noode,Sint_Joost_ten_Node,27457
21015,6828,Schaerbeek,Schaarbeek,133309
21016,3741,Uccle,Ukkel,83024
21017,1186,Watermael_Boitsfort,Watermaal_Bosvoorde,25184
21018,2376,Woluwe_Saint_Lambert,Sint_Lambrechts_Woluwe,56660
21019,1709,Woluwe_Saint_Pierre,Sint_Pieters_Woluwe,41824
23002,1441,Asse,Asse,33158
23003,962,Beersel,Beersel,25251
23009,58,Bievene,Bever,2159
23016,2172,Dilbeek,Dilbeek,42847
23023,263,Gammerages,Galmaarden,8746
23024,245,Gooik,Gooik,9170
23025,1596,Grimbergen,Grimbergen,37542
23027,1239,Hal,Halle,39540
23032,165,Herne,Herne,6665
23033,371,Hoeilaart,Hoeilaart,11321
23038,291,Kampenhout,Kampenhout,11972
23039,366,Kapelle_op_den_Bos,Kapelle_op_den_Bos,9413
23044,582,Liedekerke,Liedekerke,13295
23045,516,Londerzeel,Londerzeel,18749
23047,1033,Machelen,Machelen,15469
23050,683,Meise,Meise,19411
23052,604,Merchtem,Merchtem,16583
23060,378,Opwijk,Opwijk,14547
23062,856,Overijse,Overijse,25403
23064,143,Pepingen,Pepingen,4479
23077,1528,Sint_Pieters_Leeuw,Sint_Pieters_Leeuw,34228
23081,425,Steenokkerzeel,Steenokkerzeel,12135
23086,504,Ternat,Ternat,15746
23088,2278,Vilvorde,Vilvoorde,44727
23094,1500,Zaventem,Zaventem,34368
23096,539,Zemst,Zemst,23358
23097,418,Roosdaal,Roosdaal,11631
23098,263,Drogenbos,Drogenbos,5689
23099,619,Kraainem,Kraainem,13730
23100,245,Linkebeek,Linkebeek,4671
23101,882,Rhode_Saint_Genese,Sint_Genesius_Rode,18387
23102,884,Wemmel,Wemmel,16491
23103,617,Wezembeek_Oppem,Wezembeek_Oppem,14258
23104,336,Lennik,Lennik,9074
23105,468,Affligem,Affligem,13228
24001,393,Aarschot,Aarschot,30115
24007,164,Begijnendijk,Begijnendijk,10114
24008,106,Bekkevoort,Bekkevoort,6306
24009,174,Bertem,Bertem,10007
24011,141,Bierbeek,Bierbeek,10083
24014,197,Boortmeerbeek,Boortmeerbeek,12516
24016,161,Boutersem,Boutersem,8242
24020,374,Diest,Diest,23998
24028,135,Geetbets,Geetbets,6118
24033,186,Haacht,Haacht,14577
24038,404,Herent,Herent,21682
24041,125,Hoegaarden,Hoegaarden,6886
24043,158,Holsbeek,Holsbeek,10019
24045,196,Huldenberg,Huldenberg,9921
24048,233,Keerbergen,Keerbergen,12850
24054,159,Kortenaken,Kortenaken,7875
24055,478,Kortenberg,Kortenberg,20279
