,YEAR_WEEK,NIS5,AGEGROUP,DOSE,CUMUL
0,20W53,11024,55-64,A,<10
1,20W53,12007,18-34,A,<10
2,20W53,12007,45-54,A,<10
3,20W53,12007,55-64,A,<10
4,20W53,12007,85+,A,<10
5,20W53,12014,45-54,A,<10
6,20W53,12041,18-34,A,<10
7,20W53,12041,45-54,A,<10
8,20W53,12041,55-64,A,<10
9,20W53,12041,65-74,A,10
10,20W53,12041,75-84,A,23
11,20W53,12041,85+,A,62
12,20W53,13016,75-84,A,<10
13,20W53,13021,45-54,A,<10
14,20W53,21003,18-34,A,<10
15,20W53,21003,85+,A,<10
16,20W53,21005,18-34,A,<10
17,20W53,21007,75-84,A,<10
18,20W53,21009,65-74,A,<10
19,20W53,21010,85+,A,<10
20,20W53,21018,55-64,A,<10
21,20W53,21018,65-74,A,<10
22,20W53,21018,75-84,A,<10
23,20W53,21018,85+,A,<10
24,20W53,21019,45-54,A,<10
25,20W53,21019,55-64,A,<10
26,20W53,21019,65-74,A,<10
27,20W53,21019,75-84,A,<10
28,20W53,21019,85+,A,39
29,20W53,23025,45-54,A,<10
30,20W53,23027,55-64,A,<10
31,20W53,23038,18-34,A,<10
32,20W53,23038,85+,A,<10
33,20W53,23045,18-34,A,<10
34,20W53,23045,85+,A,<10
35,20W53,23062,18-34,A,<10
36,20W53,23088,35-44,A,<10
37,20W53,23094,65-74,A,<10
38,20W53,23094,75-84,A,<10
39,20W53,23099,85+,A,<10
40,20W53,23103,18-34,A,<10
41,20W53,23103,65-74,A,<10
42,20W53,23103,75-84,A,10
43,20W53,23103,85+,A,34
44,20W53,24001,35-44,A,<10
45,20W53,24001,45-54,A,<10
46,20W53,24001,55-64,A,<10
47,20W53,24007,18-34,A,<10
48,20W53,24008,45-54,A,<10
49,20W53,24008,55-64,A,<10
50,20W53,24011,35-44,A,<10
51,20W53,24011,75-84,A,<10
52,20W53,24011,85+,A,<10
53,20W53,24016,35-44,A,<10
54,20W53,24016,45-54,A,<10
55,20W53,24016,75-84,A,<10
56,20W53,24016,85+,A,<10
57,20W53,24020,45-54,A,<10
58,20W53,24033,45-54,A,<10
59,20W53,24033,55-64,A,<10
60,20W53,24038,35-44,A,<10
61,20W53,24038,65-74,A,<10
62,20W53,24038,75-84,A,<10
63,20W53,24038,85+,A,<10
64,20W53,24041,18-34,A,<10
65,20W53,24043,55-64,A,<10
66,20W53,24043,85+,A,<10
67,20W53,24045,55-64,A,<10
68,20W53,24055,75-84,A,<10
69,20W53,24062,18-34,A,<10
70,20W53,24062,35-44,A,<10
71,20W53,24062,45-54,A,<10
72,20W53,24062,55-64,A,17
73,20W53,24062,65-74,A,27
74,20W53,24062,75-84,A,31
75,20W53,24062,85+,A,83
76,20W53,24066,18-34,A,<10
77,20W53,24066,65-74,A,<10
78,20W53,24066,75-84,A,10
79,20W53,24066,85+,A,30
80,20W53,24086,18-34,A,<10
81,20W53,24086,35-44,A,<10
82,20W53,24086,45-54,A,<10
83,20W53,24086,85+,A,<10
84,20W53,24094,18-34,A,<10
85,20W53,24094,35-44,A,<10
86,20W53,24094,45-54,A,<10
87,20W53,24094,55-64,A,<10
88,20W53,24094,65-74,A,<10
89,20W53,24094,75-84,A,20
90,20W53,24094,85+,A,86
91,20W53,24104,75-84,A,<10
92,20W53,24104,85+,A,<10
93,20W53,24107,18-34,A,<10
94,20W53,24107,35-44,A,<10
95,20W53,24107,45-54,A,<10
96,20W53,24107,55-64,A,<10
97,20W53,24109,18-34,A,<10
98,20W53,24109,35-44,A,<10
99,20W53,24109,85+,A,<10
100,20W53,24133,55-64,A,<10
101,20W53,24134,75-84,A,<10
102,20W53,24135,35-44,A,<10
103,20W53,24135,45-54,A,<10
104,20W53,24135,55-64,A,<10
105,20W53,24135,85+,A,<10
106,20W53,24137,35-44,A,<10
107,20W53,24137,85+,A,<10
108,20W53,25005,35-44,A,<10
109,20W53,25005,65-74,A,<10
110,20W53,25048,55-64,A,<10
111,20W53,25121,55-64,A,<10
112,20W53,31003,18-34,A,<10
113,20W53,34022,65-74,A,<10
114,20W53,44021,85+,A,<10
115,20W53,46025,18-34,A,<10
116,20W53,51017,35-44,A,<10
117,20W53,52011,85+,A,<10
118,20W53,53014,18-34,A,<10
119,20W53,53014,35-44,A,<10
120,20W53,53028,55-64,A,<10
121,20W53,53028,75-84,A,<10
122,20W53,53044,35-44,A,<10
123,20W53,53053,18-34,A,<10
124,20W53,53053,35-44,A,12
125,20W53,53053,45-54,A,12
126,20W53,53053,55-64,A,16
127,20W53,53053,65-74,A,11
128,20W53,53053,75-84,A,11
129,20W53,53053,85+,A,19
130,20W53,53065,35-44,A,<10
131,20W53,53065,45-54,A,<10
132,20W53,53065,55-64,A,<10
133,20W53,53082,18-34,A,<10
134,20W53,53082,55-64,A,<10
135,20W53,53084,35-44,A,<10
136,20W53,53084,45-54,A,<10
137,20W53,55004,55-64,A,<10
138,20W53,55035,18-34,A,<10
139,20W53,55085,55-64,A,<10
140,20W53,57064,55-64,A,<10
141,20W53,57081,35-44,A,<10
142,20W53,58001,65-74,A,<10
143,20W53,58002,18-34,A,<10
144,20W53,62079,55-64,A,<10
145,20W53,62120,45-54,A,<10
146,20W53,64047,35-44,A,<10
147,20W53,64074,75-84,A,<10
148,20W53,64075,45-54,A,<10
149,20W53,71016,45-54,A,<10
150,20W53,71053,18-34,A,<10
151,20W53,73083,18-34,A,<10
152,20W53,91141,55-64,A,<10
153,20W53,93010,18-34,A,<10
154,21W01,11001,85+,A,<10
155,21W01,11002,18-34,A,<10
156,21W01,11002,45-54,A,<10
157,21W01,11002,55-64,A,<10
158,21W01,11002,65-74,A,<10
159,21W01,11002,75-84,A,<10
160,21W01,11002,85+,A,<10
161,21W01,11004,18-34,A,<10
162,21W01,11004,35-44,A,<10
163,21W01,11004,45-54,A,<10
164,21W01,11004,65-74,A,<10
165,21W01,11004,75-84,A,10
166,21W01,11004,85+,A,13
167,21W01,11005,18-34,A,<10
168,21W01,11005,65-74,A,<10
169,21W01,11007,85+,A,<10
170,21W01,11008,18-34,A,<10
171,21W01,11008,45-54,A,<10
172,21W01,11009,18-34,A,<10
173,21W01,11009,35-44,A,<10
174,21W01,11009,45-54,A,<10
175,21W01,11009,55-64,A,<10
176,21W01,11009,75-84,A,<10
177,21W01,11009,85+,A,<10
178,21W01,11013,18-34,A,<10
179,21W01,11013,35-44,A,<10
180,21W01,11013,45-54,A,<10
181,21W01,11013,55-64,A,<10
182,21W01,11013,65-74,A,<10
183,21W01,11013,75-84,A,33
184,21W01,11013,85+,A,117
185,21W01,11018,18-34,A,<10
186,21W01,11018,35-44,A,<10
187,21W01,11021,18-34,A,<10
188,21W01,11021,55-64,A,<10
189,21W01,11021,65-74,A,<10
190,21W01,11021,85+,A,<10
191,21W01,11023,18-34,A,<10
192,21W01,11023,45-54,A,<10
193,21W01,11024,18-34,A,<10
194,21W01,11024,35-44,A,<10
195,21W01,11024,45-54,A,<10
196,21W01,11024,55-64,A,<10
197,21W01,11024,65-74,A,<10
198,21W01,11024,85+,A,<10
199,21W01,11025,18-34,A,<10
200,21W01,11029,18-34,A,<10
201,21W01,11029,35-44,A,<10
202,21W01,11029,45-54,A,<10
203,21W01,11029,55-64,A,<10
204,21W01,11029,65-74,A,<10
205,21W01,11029,75-84,A,<10
206,21W01,11029,85+,A,<10
207,21W01,11030,45-54,A,<10
208,21W01,11035,18-34,A,<10
209,21W01,11035,35-44,A,<10
210,21W01,11035,45-54,A,<10
211,21W01,11035,55-64,A,<10
212,21W01,11035,65-74,A,<10
213,21W01,11035,75-84,A,51
214,21W01,11035,85+,A,95
215,21W01,11037,18-34,A,<10
216,21W01,11037,35-44,A,<10
217,21W01,11037,55-64,A,<10
218,21W01,11037,75-84,A,<10
219,21W01,11038,18-34,A,<10
220,21W01,11039,35-44,A,<10
221,21W01,11039,45-54,A,10
222,21W01,11039,55-64,A,<10
223,21W01,11039,65-74,A,<10
224,21W01,11039,75-84,A,29
225,21W01,11039,85+,A,117
226,21W01,11040,18-34,A,<10
227,21W01,11040,45-54,A,<10
228,21W01,11040,55-64,A,<10
229,21W01,11040,75-84,A,<10
230,21W01,11040,85+,A,<10
231,21W01,11050,85+,A,<10
232,21W01,11052,35-44,A,<10
233,21W01,11052,55-64,A,<10
234,21W01,11052,75-84,A,<10
235,21W01,11052,85+,A,<10
236,21W01,11054,18-34,A,<10
237,21W01,11054,35-44,A,<10
238,21W01,11054,45-54,A,<10
239,21W01,11055,18-34,A,<10
240,21W01,11055,35-44,A,<10
241,21W01,11055,45-54,A,<10
242,21W01,11055,55-64,A,10
243,21W01,11055,75-84,A,<10
244,21W01,11057,18-34,A,<10
245,21W01,11057,35-44,A,<10
246,21W01,12002,18-34,A,<10
247,21W01,12002,35-44,A,<10
248,21W01,12002,55-64,A,<10
249,21W01,12002,65-74,A,<10
250,21W01,12002,75-84,A,43
251,21W01,12002,85+,A,102
252,21W01,12005,18-34,A,<10
253,21W01,12005,35-44,A,<10
254,21W01,12005,45-54,A,<10
255,21W01,12005,65-74,A,<10
256,21W01,12007,18-34,A,<10
257,21W01,12007,35-44,A,<10
258,21W01,12007,45-54,A,12
259,21W01,12007,55-64,A,<10
260,21W01,12007,65-74,A,<10
261,21W01,12007,75-84,A,37
262,21W01,12007,85+,A,103
263,21W01,12009,55-64,A,<10
264,21W01,12014,18-34,A,<10
265,21W01,12014,35-44,A,<10
266,21W01,12014,45-54,A,<10
267,21W01,12014,55-64,A,<10
268,21W01,12014,75-84,A,<10
269,21W01,12014,85+,A,<10
270,21W01,12021,18-34,A,<10
271,21W01,12021,35-44,A,<10
272,21W01,12021,45-54,A,<10
273,21W01,12021,55-64,A,<10
274,21W01,12021,65-74,A,<10
275,21W01,12021,75-84,A,<10
276,21W01,12021,85+,A,<10
277,21W01,12025,18-34,A,<10
278,21W01,12025,35-44,A,<10
279,21W01,12025,45-54,A,<10
280,21W01,12025,55-64,A,<10
281,21W01,12025,65-74,A,11
282,21W01,12025,75-84,A,27
283,21W01,12025,85+,A,76
284,21W01,12026,18-34,A,<10
285,21W01,12026,35-44,A,<10
286,21W01,12026,45-54,A,<10
287,21W01,12026,55-64,A,<10
288,21W01,12026,65-74,A,<10
289,21W01,12026,75-84,A,<10
290,21W01,12026,85+,A,<10
291,21W01,12029,35-44,A,<10
292,21W01,12029,45-54,A,<10
293,21W01,12029,55-64,A,<10
294,21W01,12029,85+,A,<10
295,21W01,12035,18-34,A,<10
296,21W01,12035,35-44,A,<10
297,21W01,12035,45-54,A,<10
298,21W01,12035,75-84,A,<10
299,21W01,12035,85+,A,<10
300,21W01,12040,18-34,A,<10
301,21W01,12040,35-44,A,<10
302,21W01,12040,45-54,A,<10
303,21W01,12040,55-64,A,<10
304,21W01,12040,75-84,A,<10
305,21W01,12040,85+,A,<10
306,21W01,12041,18-34,A,<10
307,21W01,12041,35-44,A,<10
308,21W01,12041,45-54,A,11
309,21W01,12041,55-64,A,14
310,21W01,12041,65-74,A,16
311,21W01,12041,75-84,A,38
312,21W01,12041,85+,A,111
313,21W01,13004,35-44,A,<10
314,21W01,13004,45-54,A,<10
315,21W01,13004,55-64,A,<10
316,21W01,13004,85+,A,<10
317,21W01,13008,55-64,A,<10
318,21W01,13008,65-74,A,<10
319,21W01,13008,85+,A,<10
320,21W01,13010,18-34,A,<10
321,21W01,13010,35-44,A,<10
322,21W01,13010,45-54,A,<10
323,21W01,13010,55-64,A,<10
324,21W01,13010,85+,A,<10
325,21W01,13011,18-34,A,<10
326,21W01,13011,35-44,A,<10
327,21W01,13011,55-64,A,<10
328,21W01,13011,75-84,A,<10
329,21W01,13011,85+,A,<10
330,21W01,13012,18-34,A,<10
331,21W01,13012,45-54,A,<10
332,21W01,13012,55-64,A,<10
333,21W01,13013,18-34,A,<10
334,21W01,13013,35-44,A,<10
335,21W01,13013,45-54,A,14
336,21W01,13013,55-64,A,10
337,21W01,13013,65-74,A,12
338,21W01,13013,75-84,A,91
339,21W01,13013,85+,A,143
340,21W01,13014,75-84,A,<10
341,21W01,13016,18-34,A,<10
342,21W01,13016,35-44,A,<10
343,21W01,13016,45-54,A,<10
344,21W01,13016,55-64,A,<10
345,21W01,13016,75-84,A,<10
346,21W01,13016,85+,A,<10
347,21W01,13017,18-34,A,<10
348,21W01,13017,35-44,A,<10
349,21W01,13017,45-54,A,<10
350,21W01,13017,55-64,A,13
351,21W01,13017,65-74,A,<10
352,21W01,13017,75-84,A,46
353,21W01,13017,85+,A,76
354,21W01,13019,18-34,A,<10
355,21W01,13019,35-44,A,<10
356,21W01,13019,45-54,A,11
357,21W01,13019,55-64,A,10
358,21W01,13019,65-74,A,<10
359,21W01,13019,75-84,A,44
360,21W01,13019,85+,A,85
361,21W01,13021,45-54,A,<10
362,21W01,13023,35-44,A,<10
363,21W01,13023,55-64,A,<10
364,21W01,13025,55-64,A,<10
365,21W01,13025,75-84,A,<10
366,21W01,13029,18-34,A,<10
367,21W01,13029,35-44,A,<10
368,21W01,13029,45-54,A,<10
369,21W01,13029,55-64,A,<10
370,21W01,13031,75-84,A,<10
371,21W01,13037,85+,A,<10
372,21W01,13040,45-54,A,<10
373,21W01,13040,55-64,A,<10
374,21W01,13040,75-84,A,<10
375,21W01,13044,18-34,A,<10
376,21W01,13044,35-44,A,<10
377,21W01,13044,45-54,A,<10
378,21W01,13044,65-74,A,<10
