NIS5,CASES,RANGE,FR,NL
11001,9,9-36,Aartselaar,Aartselaar
11002,609,609-639,Anvers,Antwerpen
11004,10,10-40,Boechout,Boechout
11005,12,12-48,Boom,Boom
11007,7,7-28,Borsbeek,Borsbeek
11008,28,28-73,Brasschaat,Brasschaat
11009,15,15-60,Brecht,Brecht
11013,22,22-70,Edegem,Edegem
11016,11,11-44,Essen,Essen
11018,14,14-56,Hemiksem,Hemiksem
11021,10,10-40,Hove,Hove
11022,11,11-44,Kalmthout,Kalmthout
11023,17,17-68,Kapellen,Kapellen
11024,11,11-44,Kontich,Kontich
11025,7,7-28,Lint,Lint
11029,16,16-64,Mortsel,Mortsel
11030,7,7-28,Niel,Niel
11035,11,11-44,Ranst,Ranst
11037,14,14-56,Rumst,Rumst
11038,8,8-32,Schelle,Schelle
11039,15,15-60,Schilde,Schilde
11040,25,25-67,Schoten,Schoten
11044,13,13-37,Stabroek,Stabroek
11050,4,4-16,Wijnegem,Wijnegem
11052,14,14-41,Wommelgem,Wommelgem
11053,12,12-48,Wuustwezel,Wuustwezel
11054,14,14-41,Zandhoven,Zandhoven
11055,13,13-52,Zoersel,Zoersel
11056,11,11-44,Zwijndrecht,Zwijndrecht
11057,14,14-56,Malle,Malle
12002,16,16-49,Berlaar,Berlaar
12005,13,13-52,Bonheiden,Bonheiden
12007,24,24-66,Bornem,Bornem
12009,13,13-52,Duffel,Duffel
12014,40,40-88,Heist_op_den_Berg,Heist_op_den_Berg
12021,25,25-67,Lierre,Lier
12025,83,83-119,Malines,Mechelen
12026,10,10-40,Nijlen,Nijlen
12029,10,10-40,Putte,Putte
12041,42,42-81,Puurs-Sint-Amands,Puurs-Sint-Amands
12035,31,31-76,Sint_Katelijne_Waver,Sint_Katelijne_Waver
12040,28,28-64,Willebroek,Willebroek
13001,8,8-32,Arendonk,Arendonk
13002,3,3-12,Baerle_Duc,Baarle_Hertog
13003,15,15-60,Balen,Balen
13004,12,12-48,Beerse,Beerse
13006,4,4-16,Dessel,Dessel
13008,47,47-95,Geel,Geel
13010,17,17-53,Grobbendonk,Grobbendonk
13011,23,23-53,Herentals,Herentals
13012,6,6-24,Herenthout,Herenthout
13013,32,32-71,Herselt,Herselt
13014,10,10-40,Hoogstraten,Hoogstraten
13016,12,12-48,Hulshout,Hulshout
13017,12,12-48,Kasterlee,Kasterlee
13019,12,12-48,Lille,Lille
13021,11,11-44,Meerhout,Meerhout
13023,5,5-20,Merksplas,Merksplas
13025,19,19-46,Mol,Mol
13029,11,11-44,Olen,Olen
13031,13,13-34,Oud_Turnhout,Oud_Turnhout
13035,16,16-49,Ravels,Ravels
13036,12,12-48,Retie,Retie
13037,11,11-44,Rijkevorsel,Rijkevorsel
13040,27,27-54,Turnhout,Turnhout
13044,6,6-24,Vorselaar,Vorselaar
13046,11,11-44,Vosselaar,Vosselaar
13049,30,30-75,Westerlo,Westerlo
13053,20,20-65,Laakdal,Laakdal
21001,214,214-247,Anderlecht,Anderlecht
21002,34,34-73,Auderghem,Oudergem
21003,44,44-95,Berchem_Sainte_Agathe,Sint_Agatha_Berchem
21004,228,228-264,Bruxelles,Brussel
21005,58,58-97,Etterbeek,Etterbeek
21006,60,60-105,Evere,Evere
21007,74,74-113,Forest,Vorst
21008,17,17-68,Ganshoren,Ganshoren
21009,108,108-156,Ixelles,Elsene
21010,44,44-95,Jette,Jette
21011,20,20-65,Koekelberg,Koekelberg
21012,178,178-202,Molenbeek_Saint_Jean,Sint_Jans_Molenbeek
21013,74,74-125,Saint_Gilles,Sint_Gillis
21014,17,17-68,Saint_Josse_ten_Noode,Sint_Joost_ten_Node
21015,167,167-191,Schaerbeek,Schaarbeek
21016,112,112-166,Uccle,Ukkel
21017,32,32-89,Watermael_Boitsfort,Watermaal_Bosvoorde
21018,76,76-124,Woluwe_Saint_Lambert,Sint_Lambrechts_Woluwe
21019,43,43-100,Woluwe_Saint_Pierre,Sint_Pieters_Woluwe
23002,51,51-96,Asse,Asse
23003,40,40-82,Beersel,Beersel
23009,0,0-0,Bievene,Bever
23016,46,46-94,Dilbeek,Dilbeek
23023,9,9-36,Gammerages,Galmaarden
23024,3,3-12,Gooik,Gooik
23025,41,41-74,Grimbergen,Grimbergen
23027,47,47-86,Hal,Halle
23032,4,4-16,Herne,Herne
23033,11,11-44,Hoeilaart,Hoeilaart
23038,17,17-53,Kampenhout,Kampenhout
23039,24,24-60,Kapelle_op_den_Bos,Kapelle_op_den_Bos
23044,11,11-44,Liedekerke,Liedekerke
23045,10,10-40,Londerzeel,Londerzeel
23047,13,13-52,Machelen,Machelen
23050,10,10-40,Meise,Meise
23052,14,14-56,Merchtem,Merchtem
23060,10,10-40,Opwijk,Opwijk
23062,19,19-76,Overijse,Overijse
23064,6,6-24,Pepingen,Pepingen
23077,28,28-82,Sint_Pieters_Leeuw,Sint_Pieters_Leeuw
23081,16,16-46,Steenokkerzeel,Steenokkerzeel
23086,14,14-56,Ternat,Ternat
23088,55,55-97,Vilvorde,Vilvoorde
23094,22,22-73,Zaventem,Zaventem
23096,26,26-74,Zemst,Zemst
23097,11,11-44,Roosdaal,Roosdaal
23098,7,7-28,Drogenbos,Drogenbos
23099,26,26-89,Kraainem,Kraainem
23100,8,8-32,Linkebeek,Linkebeek
23101,23,23-74,Rhode_Saint_Genese,Sint_Genesius_Rode
23102,7,7-28,Wemmel,Wemmel
23103,16,16-49,Wezembeek_Oppem,Wezembeek_Oppem
23104,9,9-36,Lennik,Lennik
23105,15,15-60,Affligem,Affligem
24001,47,47-95,Aarschot,Aarschot
24007,11,11-44,Begijnendijk,Begijnendijk
24008,5,5-20,Bekkevoort,Bekkevoort
24009,9,9-36,Bertem,Bertem
24011,8,8-32,Bierbeek,Bierbeek
24014,12,12-48,Boortmeerbeek,Boortmeerbeek
24016,9,9-36,Boutersem,Boutersem
24020,34,34-82,Diest,Diest
24028,21,21-45,Geetbets,Geetbets
24033,8,8-32,Haacht,Haacht
24038,22,22-67,Herent,Herent
24041,11,11-44,Hoegaarden,Hoegaarden
24043,13,13-52,Holsbeek,Holsbeek
24045,11,11-44,Huldenberg,Huldenberg
24048,21,21-45,Keerbergen,Keerbergen
24054,16,16-64,Kortenaken,Kortenaken
24055,11,11-44,Kortenberg,Kortenberg
24059,39,39-87,Landen,Landen
24062,148,148-199,Louvain,Leuven
24066,21,21-66,Lubbeek,Lubbeek
24086,14,14-56,Oud_Heverlee,Oud_Heverlee
24094,16,16-49,Rotselaar,Rotselaar
24104,11,11-44,Tervuren,Tervuren
24107,43,43-82,Tirlemont,Tienen
24109,11,11-44,Tremelo,Tremelo
24130,17,17-53,Leau,Zoutleeuw
24133,9,9-36,Linter,Linter
24134,22,22-58,Montaigu_Zichem,Scherpenheuvel_Zichem
24135,8,8-32,Tielt_Winge,Tielt_Winge
24137,9,9-36,Glabbeek,Glabbeek
25005,3,3-12,Beauvechain,Bevekom
25014,34,34-91,Braine_lAlleud,Eigenbrakel
25015,8,8-32,Braine_le_Chateau,Kasteelbrakel
25018,8,8-32,Chaumont_Gistoux,Chaumont_Gistoux
25023,4,4-16,Court_Saint_Etienne,Court_Saint_Etienne
25031,9,9-36,Genappe,Genappe
25037,11,11-44,Grez_Doiceau,Graven
25043,9,9-36,Incourt,Incourt
25044,8,8-32,Ittre,Itter
25048,11,11-44,Jodoigne,Geldenaken
25050,10,10-40,La_Hulpe,Terhulpen
25068,10,10-40,Mont_Saint_Guibert,Mont_Saint_Guibert
25072,22,22-73,Nivelles,Nijvel
25084,6,6-24,Perwez,Perwijs
25091,20,20-80,Rixensart,Rixensart
25105,17,17-68,Tubize,Tubeke
25107,4,4-16,Villers_la_Ville,Villers_la_Ville
25110,18,18-72,Waterloo,Waterloo
25112,18,18-72,Wavre,Waver
25117,6,6-24,Chastre,Chastre
25118,6,6-24,Helecine,Helecine
25119,16,16-64,Lasne,Lasne
25120,5,5-20,Orp_Jauche,Orp_Jauche
25121,14,14-56,Ottignies_Louvain_la_Neuve,Ottignies_Louvain_la_Neuve
25122,3,3-12,Ramillies,Ramillies
25123,11,11-44,Rebecq,Rebecq
25124,5,5-20,Walhain,Walhain
31003,12,12-48,Beernem,Beernem
31004,18,18-57,Blankenberge,Blankenberge
31005,126,126-144,Bruges,Brugge
31006,15,15-60,Damme,Damme
31012,13,13-37,Jabbeke,Jabbeke
31022,15,15-60,Oostkamp,Oostkamp
31033,23,23-62,Torhout,Torhout
