Date,Time gap,Count,Average speed
2020-02-01,1,3,21
2020-02-01,2,4,16
2020-02-01,3,6,22
2020-02-01,4,2,23
2020-02-01,5,8,21
2020-02-01,6,2,19
2020-02-01,7,6,17
2020-02-01,8,1,20
2020-02-01,9,4,20
2020-02-01,10,6,19
2020-02-01,11,3,18
2020-02-01,12,2,18
2020-02-01,13,1,18
2020-02-01,14,1,22
2020-02-01,15,1,14
2020-02-01,18,1,19
2020-02-01,19,1,17
2020-02-01,21,1,25
2020-02-01,22,1,24
2020-02-01,23,1,16
2020-02-01,24,2,18
2020-02-01,25,1,18
2020-02-01,26,1,16
2020-02-01,28,3,20
2020-02-01,30,3,18
2020-02-01,31,8,22
2020-02-01,32,8,22
2020-02-01,33,2,21
2020-02-01,34,9,19
2020-02-01,35,2,18
2020-02-01,36,3,22
2020-02-01,37,4,20
2020-02-01,38,5,18
2020-02-01,39,6,22
2020-02-01,40,2,16
2020-02-01,41,7,15
2020-02-01,42,5,18
2020-02-01,43,14,18
2020-02-01,44,17,22
2020-02-01,45,7,23
2020-02-01,46,14,19
2020-02-01,47,18,21
2020-02-01,48,12,23
2020-02-01,49,12,23
2020-02-01,50,14,23
2020-02-01,51,14,21
2020-02-01,52,15,21
2020-02-01,53,13,20
2020-02-01,54,10,18
2020-02-01,55,15,20
2020-02-01,56,15,20
2020-02-01,57,6,16
2020-02-01,58,11,20
2020-02-01,59,13,18
2020-02-01,60,7,21
2020-02-01,61,10,23
2020-02-01,62,15,19
2020-02-01,63,17,21
2020-02-01,64,17,22
2020-02-01,65,7,19
2020-02-01,66,9,22
2020-02-01,67,12,19
2020-02-01,68,10,20
2020-02-01,69,5,19
2020-02-01,70,13,20
2020-02-01,71,8,26
2020-02-01,72,12,19
2020-02-01,73,23,19
2020-02-01,74,8,21
2020-02-01,75,11,23
2020-02-01,76,10,21
2020-02-01,77,6,22
2020-02-01,78,13,23
2020-02-01,79,5,22
2020-02-01,80,9,21
2020-02-01,81,9,19
2020-02-01,82,5,22
2020-02-01,83,6,18
2020-02-01,84,6,21
2020-02-01,85,6,21
2020-02-01,86,4,19
2020-02-01,87,5,20
2020-02-01,88,1,17
2020-02-01,89,6,21
2020-02-01,90,3,19
2020-02-01,91,4,27
2020-02-01,92,2,23
2020-02-01,93,6,17
2020-02-01,94,3,23
2020-02-01,95,2,24
2020-02-01,96,3,22
2020-02-02,1,2,20
2020-02-02,2,2,20
2020-02-02,3,5,17
2020-02-02,4,3,18
2020-02-02,5,3,19
2020-02-02,6,6,23
2020-02-02,8,3,19
2020-02-02,9,5,20
2020-02-02,12,3,22
2020-02-02,13,1,17
2020-02-02,15,1,18
2020-02-02,18,1,12
2020-02-02,19,1,14
2020-02-02,20,1,19
2020-02-02,22,2,20
2020-02-02,23,2,18
2020-02-02,24,2,15
2020-02-02,26,2,20
2020-02-02,27,1,21
2020-02-02,28,1,19
2020-02-02,30,4,20
2020-02-02,31,5,23
2020-02-02,32,3,17
2020-02-02,33,3,18
2020-02-02,34,6,21
2020-02-02,36,4,20
2020-02-02,37,2,20
2020-02-02,38,6,21
2020-02-02,39,4,22
2020-02-02,40,8,22
2020-02-02,41,3,17
2020-02-02,42,7,19
2020-02-02,43,8,21
2020-02-02,44,6,23
2020-02-02,45,10,22
2020-02-02,46,5,19
2020-02-02,47,11,23
2020-02-02,48,4,24
2020-02-02,49,11,22
2020-02-02,50,6,17
2020-02-02,51,15,21
2020-02-02,52,6,17
2020-02-02,53,12,20
2020-02-02,54,20,20
2020-02-02,55,4,23
2020-02-02,56,11,19
2020-02-02,57,12,22
2020-02-02,58,7,22
2020-02-02,59,10,20
2020-02-02,60,11,18
2020-02-02,61,11,20
2020-02-02,62,9,22
2020-02-02,63,12,24
2020-02-02,64,9,21
2020-02-02,65,7,19
2020-02-02,66,18,22
2020-02-02,67,7,16
2020-02-02,68,12,19
2020-02-02,69,17,16
2020-02-02,70,15,17
2020-02-02,71,14,19
2020-02-02,72,8,20
