Date,Time gap,Count,Average speed
2020-02-01,1,9,19
2020-02-01,2,10,15
2020-02-01,3,4,20
2020-02-01,4,10,15
2020-02-01,5,8,19
2020-02-01,6,4,17
2020-02-01,7,5,18
2020-02-01,8,6,14
2020-02-01,9,6,18
2020-02-01,10,9,13
2020-02-01,11,2,14
2020-02-01,12,1,13
2020-02-01,13,2,17
2020-02-01,15,2,20
2020-02-01,16,4,17
2020-02-01,17,1,19
2020-02-01,18,1,13
2020-02-01,19,5,18
2020-02-01,20,3,19
2020-02-01,21,1,17
2020-02-01,23,4,18
2020-02-01,24,3,16
2020-02-01,25,6,19
2020-02-01,26,4,17
2020-02-01,27,3,20
2020-02-01,28,3,19
2020-02-01,29,4,19
2020-02-01,30,7,18
2020-02-01,31,9,18
2020-02-01,32,10,17
2020-02-01,33,12,19
2020-02-01,34,12,17
2020-02-01,35,11,17
2020-02-01,36,22,19
2020-02-01,37,15,17
2020-02-01,38,15,16
2020-02-01,39,15,18
2020-02-01,40,19,15
2020-02-01,41,18,17
2020-02-01,42,19,19
2020-02-01,43,14,16
2020-02-01,44,14,18
2020-02-01,45,14,17
2020-02-01,46,24,18
2020-02-01,47,29,16
2020-02-01,48,27,16
2020-02-01,49,24,19
2020-02-01,50,29,16
2020-02-01,51,28,18
2020-02-01,52,22,19
2020-02-01,53,28,14
2020-02-01,54,22,17
2020-02-01,55,27,16
2020-02-01,56,24,15
2020-02-01,57,22,18
2020-02-01,58,36,16
2020-02-01,59,34,18
2020-02-01,60,34,17
2020-02-01,61,38,16
2020-02-01,62,36,18
2020-02-01,63,33,18
2020-02-01,64,26,17
2020-02-01,65,25,19
2020-02-01,66,29,17
2020-02-01,67,26,17
2020-02-01,68,25,16
2020-02-01,69,22,17
2020-02-01,70,34,15
2020-02-01,71,32,17
2020-02-01,72,21,18
2020-02-01,73,32,15
2020-02-01,74,26,16
2020-02-01,75,21,16
2020-02-01,76,29,17
2020-02-01,77,24,16
2020-02-01,78,15,15
2020-02-01,79,19,18
2020-02-01,80,9,14
2020-02-01,81,11,16
2020-02-01,82,25,16
2020-02-01,83,15,18
2020-02-01,84,12,16
2020-02-01,85,4,21
2020-02-01,86,10,16
2020-02-01,87,15,19
2020-02-01,88,5,19
2020-02-01,89,10,18
2020-02-01,90,15,17
2020-02-01,91,9,17
2020-02-01,92,13,18
2020-02-01,93,11,15
