Date,Time gap,Count,Average speed
2020-02-01,1,1,17
2020-02-01,2,3,13
2020-02-01,5,4,18
2020-02-01,7,1,24
2020-02-01,8,1,24
2020-02-01,11,1,19
2020-02-01,12,1,16
2020-02-01,17,1,20
2020-02-01,20,1,13
2020-02-01,23,1,11
2020-02-01,29,1,15
2020-02-01,30,2,15
2020-02-01,32,1,28
2020-02-01,33,1,12
2020-02-01,34,3,23
2020-02-01,35,2,15
2020-02-01,36,1,17
2020-02-01,37,1,17
2020-02-01,38,3,19
2020-02-01,39,2,18
2020-02-01,40,7,16
2020-02-01,41,1,28
2020-02-01,42,4,18
2020-02-01,43,4,19
2020-02-01,44,9,21
2020-02-01,45,8,20
2020-02-01,46,3,20
2020-02-01,47,4,23
2020-02-01,48,4,24
2020-02-01,49,8,25
2020-02-01,50,6,19
2020-02-01,51,13,20
2020-02-01,52,6,19
2020-02-01,53,8,24
2020-02-01,54,5,15
2020-02-01,55,6,20
2020-02-01,56,12,18
2020-02-01,57,4,22
2020-02-01,58,4,24
2020-02-01,59,5,17
2020-02-01,60,9,19
2020-02-01,61,9,15
2020-02-01,62,3,19
2020-02-01,63,11,18
2020-02-01,64,11,20
2020-02-01,65,16,17
2020-02-01,66,5,20
2020-02-01,67,12,16
2020-02-01,68,11,17
2020-02-01,69,11,13
2020-02-01,70,5,24
2020-02-01,71,4,19
2020-02-01,72,11,21
2020-02-01,73,2,13
2020-02-01,74,4,20
2020-02-01,75,3,15
2020-02-01,76,1,16
2020-02-01,77,1,13
2020-02-01,78,3,20
2020-02-01,79,4,18
2020-02-01,80,4,19
2020-02-01,81,2,19
2020-02-01,82,4,20
2020-02-01,84,3,17
2020-02-01,86,2,13
2020-02-01,88,3,21
2020-02-01,92,1,19
2020-02-01,94,2,15
2020-02-01,95,1,25
2020-02-01,96,1,14
2020-02-02,1,1,10
2020-02-02,3,1,17
2020-02-02,4,2,17
2020-02-02,5,1,19
2020-02-02,15,1,25
2020-02-02,25,1,21
2020-02-02,29,2,18
2020-02-02,32,3,20
2020-02-02,33,3,15
2020-02-02,34,4,16
2020-02-02,35,8,19
2020-02-02,36,8,15
2020-02-02,37,7,18
2020-02-02,38,4,19
2020-02-02,39,2,13
2020-02-02,40,5,20
2020-02-02,41,4,20
2020-02-02,42,6,22
2020-02-02,43,3,19
2020-02-02,44,2,24
2020-02-02,45,6,22
2020-02-02,46,8,22
2020-02-02,47,8,29
2020-02-02,48,10,19
2020-02-02,49,7,24
2020-02-02,50,6,18
2020-02-02,51,13,12
2020-02-02,52,5,22
2020-02-02,53,7,17
2020-02-02,54,5,17
2020-02-02,55,6,22
2020-02-02,56,9,19
2020-02-02,57,6,22
2020-02-02,58,7,22
2020-02-02,59,5,20
2020-02-02,60,4,21
2020-02-02,61,7,13
2020-02-02,62,6,17
2020-02-02,63,9,24
2020-02-02,64,6,20
2020-02-02,65,7,24
2020-02-02,66,5,19
2020-02-02,67,3,20
2020-02-02,68,9,16
2020-02-02,69,6,21
2020-02-02,70,7,20
2020-02-02,71,9,21
2020-02-02,72,3,15
2020-02-02,73,1,4
2020-02-02,74,3,21
2020-02-02,75,2,21
2020-02-02,76,1,16
2020-02-02,78,1,24
2020-02-02,79,2,21
2020-02-02,80,1,20
2020-02-02,81,2,25
2020-02-02,82,3,20
2020-02-02,83,2,22
2020-02-02,85,2,22
2020-02-02,88,1,22
2020-02-02,91,2,13
2020-02-03,21,1,21
2020-02-03,22,3,18
2020-02-03,23,3,19
2020-02-03,24,3,27
2020-02-03,25,11,21
2020-02-03,26,10,23
2020-02-03,27,5,23
2020-02-03,28,11,21
2020-02-03,29,20,27
2020-02-03,30,23,23
2020-02-03,31,13,22
2020-02-03,32,8,22
2020-02-03,33,16,25
2020-02-03,34,3,16
2020-02-03,35,6,22
2020-02-03,37,6,19
2020-02-03,38,9,21
2020-02-03,39,5,22
2020-02-03,40,8,21
