Date,Time gap,Count,Average speed
2020-02-01,1,4,18
2020-02-01,2,2,19
2020-02-01,3,3,16
2020-02-01,4,8,14
2020-02-01,5,1,24
2020-02-01,6,2,20
2020-02-01,7,2,21
2020-02-01,8,3,17
2020-02-01,10,3,16
2020-02-01,11,4,17
2020-02-01,12,2,22
2020-02-01,13,3,18
2020-02-01,14,2,22
2020-02-01,15,3,29
2020-02-01,16,4,18
2020-02-01,17,1,20
2020-02-01,19,1,16
2020-02-01,20,1,29
2020-02-01,24,1,16
2020-02-01,25,1,21
2020-02-01,27,2,15
2020-02-01,29,2,26
2020-02-01,30,1,12
2020-02-01,33,4,21
2020-02-01,35,1,30
2020-02-01,36,1,17
2020-02-01,40,3,22
2020-02-01,41,3,22
2020-02-01,42,1,15
2020-02-01,43,4,18
2020-02-01,44,3,19
2020-02-01,45,2,16
2020-02-01,46,1,19
2020-02-01,47,6,18
2020-02-01,48,3,20
2020-02-01,49,12,20
2020-02-01,50,2,25
2020-02-01,51,3,22
2020-02-01,52,6,23
2020-02-01,53,6,19
2020-02-01,54,2,27
2020-02-01,55,5,27
2020-02-01,56,4,18
2020-02-01,57,1,17
2020-02-01,58,3,18
2020-02-01,59,3,30
2020-02-01,60,4,26
2020-02-01,61,8,21
2020-02-01,62,5,22
2020-02-01,63,3,20
2020-02-01,64,1,16
2020-02-01,65,6,20
2020-02-01,66,2,15
2020-02-01,67,5,22
2020-02-01,68,3,28
2020-02-01,69,6,21
2020-02-01,70,3,19
2020-02-01,71,5,17
2020-02-01,72,7,27
2020-02-01,73,4,19
2020-02-01,74,8,25
2020-02-01,75,8,17
2020-02-01,76,2,20
2020-02-01,77,8,18
2020-02-01,78,5,22
2020-02-01,79,10,25
2020-02-01,80,3,18
2020-02-01,81,2,14
2020-02-01,82,6,18
2020-02-01,83,4,25
2020-02-01,84,5,19
2020-02-01,85,3,23
2020-02-01,86,1,20
2020-02-01,87,4,23
2020-02-01,88,2,19
2020-02-01,89,3,25
2020-02-01,90,1,23
2020-02-01,91,7,26
2020-02-01,92,1,23
2020-02-01,93,4,20
2020-02-01,94,1,28
2020-02-01,95,1,21
2020-02-01,96,2,15
2020-02-02,2,6,23
2020-02-02,4,2,17
2020-02-02,6,1,17
2020-02-02,11,2,24
2020-02-02,12,1,24
2020-02-02,13,3,24
2020-02-02,15,1,18
2020-02-02,17,2,20
2020-02-02,19,1,18
2020-02-02,20,1,23
2020-02-02,22,1,18
2020-02-02,30,1,29
2020-02-02,34,1,16
2020-02-02,36,1,11
2020-02-02,38,3,23
2020-02-02,39,2,16
2020-02-02,40,1,19
2020-02-02,41,3,18
2020-02-02,42,1,30
2020-02-02,43,2,20
2020-02-02,44,2,14
2020-02-02,45,3,17
2020-02-02,46,3,25
2020-02-02,47,4,14
2020-02-02,48,1,12
2020-02-02,49,3,21
2020-02-02,50,4,17
2020-02-02,52,5,19
2020-02-02,53,5,18
2020-02-02,54,4,25
2020-02-02,55,10,17
2020-02-02,56,1,21
2020-02-02,57,6,20
2020-02-02,58,2,19
2020-02-02,59,5,18
2020-02-02,60,6,22
2020-02-02,61,4,16
2020-02-02,62,2,19
2020-02-02,63,6,22
2020-02-02,64,2,14
2020-02-02,65,7,17
2020-02-02,66,4,23
2020-02-02,67,1,24
2020-02-02,68,9,21
2020-02-02,69,6,18
2020-02-02,70,3,22
2020-02-02,71,2,22
2020-02-02,72,6,23
2020-02-02,73,3,23
2020-02-02,74,3,28
2020-02-02,75,1,36
2020-02-02,76,3,22
2020-02-02,78,1,15
2020-02-02,79,3,20
2020-02-02,81,2,30
2020-02-02,82,4,22
2020-02-02,83,2,21
2020-02-02,84,4,20
2020-02-02,86,3,17
2020-02-02,87,2,17
2020-02-02,88,2,33
2020-02-02,90,1,22
2020-02-02,91,3,21
2020-02-02,92,1,22
2020-02-02,93,1,26
2020-02-02,94,1,14
2020-02-03,3,1,6
2020-02-03,4,1,23
2020-02-03,5,2,19
2020-02-03,11,2,16
2020-02-03,15,2,17
2020-02-03,17,2,23
2020-02-03,18,1,29
2020-02-03,19,5,22
2020-02-03,20,1,31
2020-02-03,23,1,20
2020-02-03,24,1,21
2020-02-03,25,2,21
2020-02-03,26,4,26
2020-02-03,27,5,19
2020-02-03,28,13,18
2020-02-03,29,6,19
2020-02-03,30,7,20
2020-02-03,31,8,20
2020-02-03,32,7,21
2020-02-03,33,8,20
2020-02-03,34,7,19
2020-02-03,35,5,23
2020-02-03,36,2,16
2020-02-03,37,3,18
2020-02-03,38,3,20
2020-02-03,39,1,20
2020-02-03,40,2,16
2020-02-03,41,1,17
2020-02-03,42,5,18
2020-02-03,43,4,20
2020-02-03,44,4,22
2020-02-03,45,8,23
2020-02-03,46,9,22
2020-02-03,47,4,21
2020-02-03,48,2,25
2020-02-03,49,6,22
2020-02-03,50,5,19
2020-02-03,51,8,22
2020-02-03,52,2,14
2020-02-03,53,3,17
2020-02-03,54,3,27
2020-02-03,55,4,23
2020-02-03,56,6,21
2020-02-03,57,4,22
2020-02-03,58,8,20
2020-02-03,59,2,19
2020-02-03,60,7,20
2020-02-03,61,7,21
2020-02-03,62,10,22
2020-02-03,63,15,18
2020-02-03,64,13,19
2020-02-03,65,13,21
2020-02-03,66,22,20
2020-02-03,67,15,20
2020-02-03,68,10,21
2020-02-03,69,13,20
2020-02-03,70,15,23
2020-02-03,71,11,23
2020-02-03,72,13,20
2020-02-03,73,5,21
2020-02-03,74,8,25
2020-02-03,75,3,19
2020-02-03,76,4,27
2020-02-03,77,7,20
2020-02-03,78,2,22
2020-02-03,79,2,21
2020-02-03,80,5,22
2020-02-03,81,4,25
2020-02-03,82,5,21
2020-02-03,83,5,27
2020-02-03,85,1,17
2020-02-03,86,2,29
2020-02-03,88,2,21
2020-02-03,89,3,20
2020-02-03,90,2,22
2020-02-03,91,2,21
2020-02-03,93,1,15
2020-02-03,94,1,16
2020-02-04,2,1,22
2020-02-04,15,1,12
2020-02-04,16,2,21
2020-02-04,19,5,22
2020-02-04,20,1,41
2020-02-04,23,1,11
2020-02-04,24,2,22
2020-02-04,25,3,24
2020-02-04,26,1,21
2020-02-04,27,5,19
2020-02-04,28,7,19
2020-02-04,29,4,21
2020-02-04,30,5,22
2020-02-04,31,12,20
2020-02-04,32,12,22
2020-02-04,33,1,22
2020-02-04,34,3,21
2020-02-04,35,4,15
2020-02-04,36,2,17
2020-02-04,37,2,22
2020-02-04,38,2,28
2020-02-04,39,1,26
2020-02-04,40,2,16
2020-02-04,41,1,22
2020-02-04,42,1,12
2020-02-04,43,1,30
2020-02-04,44,2,16
2020-02-04,45,1,18
2020-02-04,46,4,28
2020-02-04,47,3,28
2020-02-04,48,3,22
2020-02-04,49,4,24
2020-02-04,50,2,20
2020-02-04,51,4,20
2020-02-04,52,5,25
2020-02-04,53,3,22
2020-02-04,54,7,19
2020-02-04,55,4,25
2020-02-04,56,8,24
2020-02-04,57,1,19
2020-02-04,58,2,18
2020-02-04,59,5,21
2020-02-04,60,5,25
2020-02-04,61,10,20
2020-02-04,62,12,25
2020-02-04,63,4,18
2020-02-04,64,12,21
2020-02-04,65,14,21
2020-02-04,66,21,22
2020-02-04,67,6,19
2020-02-04,68,13,19
2020-02-04,69,9,25
2020-02-04,70,9,24
2020-02-04,71,8,23
2020-02-04,72,13,21
2020-02-04,73,11,25
2020-02-04,74,5,19
2020-02-04,75,3,27
2020-02-04,76,10,22
2020-02-04,77,9,21
2020-02-04,78,1,23
2020-02-04,79,4,31
2020-02-04,80,1,30
2020-02-04,81,2,20
2020-02-04,82,2,27
2020-02-04,83,4,25
2020-02-04,84,2,27
2020-02-04,85,6,22
2020-02-04,86,1,19
2020-02-04,87,3,21
2020-02-04,88,2,21
2020-02-04,89,2,31
