Date,Time gap,Count,Average speed
2020-02-01,3,1,14
2020-02-01,4,6,17
2020-02-01,7,1,20
2020-02-01,8,2,19
2020-02-01,9,1,15
2020-02-01,11,1,5
2020-02-01,12,2,16
2020-02-01,18,1,18
2020-02-01,26,1,30
2020-02-01,27,1,10
2020-02-01,28,1,19
2020-02-01,29,1,17
2020-02-01,30,1,12
2020-02-01,31,4,16
2020-02-01,34,3,22
2020-02-01,35,1,30
2020-02-01,36,2,17
2020-02-01,37,1,7
2020-02-01,38,5,17
2020-02-01,39,7,22
2020-02-01,40,4,17
2020-02-01,41,2,18
2020-02-01,42,1,19
2020-02-01,43,3,18
2020-02-01,44,2,16
2020-02-01,45,2,16
2020-02-01,46,2,13
2020-02-01,47,4,13
2020-02-01,48,4,17
2020-02-01,49,9,18
2020-02-01,50,2,17
2020-02-01,51,9,22
2020-02-01,52,2,16
2020-02-01,53,5,17
2020-02-01,54,5,18
2020-02-01,55,4,25
2020-02-01,56,8,18
2020-02-01,57,4,19
2020-02-01,58,4,15
2020-02-01,59,7,15
2020-02-01,60,4,16
2020-02-01,61,1,18
2020-02-01,62,2,17
2020-02-01,63,6,21
2020-02-01,64,3,18
2020-02-01,65,3,18
2020-02-01,66,3,22
2020-02-01,67,6,16
2020-02-01,68,5,18
2020-02-01,69,7,17
2020-02-01,70,6,17
2020-02-01,71,4,21
2020-02-01,72,1,14
2020-02-01,73,4,16
2020-02-01,74,5,15
2020-02-01,75,5,19
2020-02-01,76,7,16
2020-02-01,77,5,16
2020-02-01,78,5,18
2020-02-01,79,4,14
2020-02-01,80,4,15
2020-02-01,81,2,20
2020-02-01,82,1,21
2020-02-01,83,4,19
2020-02-01,84,1,17
2020-02-01,87,4,17
2020-02-01,88,3,18
2020-02-01,89,1,19
2020-02-01,91,2,21
2020-02-01,92,2,12
2020-02-01,93,1,28
2020-02-01,94,1,13
2020-02-01,96,3,19
2020-02-02,1,1,14
2020-02-02,2,1,6
2020-02-02,3,4,20
2020-02-02,4,2,13
2020-02-02,6,6,17
2020-02-02,9,2,24
2020-02-02,17,1,11
2020-02-02,24,1,16
2020-02-02,31,4,21
2020-02-02,32,5,22
2020-02-02,33,2,27
2020-02-02,34,3,26
2020-02-02,35,1,9
2020-02-02,36,2,16
2020-02-02,37,1,17
2020-02-02,38,1,18
2020-02-02,39,6,20
2020-02-02,40,1,8
2020-02-02,41,1,11
2020-02-02,42,2,13
2020-02-02,43,4,20
2020-02-02,44,2,17
2020-02-02,45,5,13
2020-02-02,46,2,19
2020-02-02,47,5,16
2020-02-02,48,3,15
2020-02-02,49,5,17
2020-02-02,50,3,18
2020-02-02,51,4,20
2020-02-02,52,6,16
2020-02-02,53,2,16
2020-02-02,54,5,17
2020-02-02,55,5,13
2020-02-02,56,4,15
2020-02-02,57,6,14
2020-02-02,58,6,14
2020-02-02,59,6,15
2020-02-02,60,5,15
2020-02-02,61,4,13
2020-02-02,62,4,16
2020-02-02,63,7,13
2020-02-02,64,6,14
2020-02-02,65,4,18
2020-02-02,66,5,15
2020-02-02,67,8,15
2020-02-02,68,4,13
2020-02-02,69,5,14
2020-02-02,70,2,9
2020-02-02,71,4,15
2020-02-02,72,1,8
2020-02-02,73,9,14
2020-02-02,74,2,16
2020-02-02,75,6,18
2020-02-02,76,5,14
2020-02-02,77,1,12
2020-02-02,78,4,25
2020-02-02,79,7,16
2020-02-02,80,4,16
2020-02-02,82,2,18
2020-02-02,83,3,11
2020-02-02,84,2,17
2020-02-02,85,3,16
2020-02-02,86,1,13
2020-02-02,88,3,12
2020-02-02,89,1,15
2020-02-02,90,1,11
2020-02-02,92,1,24
2020-02-02,93,1,12
2020-02-02,94,1,12
2020-02-03,7,1,9
2020-02-03,15,1,19
2020-02-03,17,1,40
2020-02-03,20,1,15
2020-02-03,22,1,24
2020-02-03,23,3,18
2020-02-03,24,4,15
2020-02-03,25,1,26
2020-02-03,26,7,18
2020-02-03,27,9,14
2020-02-03,28,17,17
2020-02-03,29,11,20
2020-02-03,30,23,16
2020-02-03,31,17,17
2020-02-03,32,11,15
2020-02-03,33,14,15
2020-02-03,34,11,18
2020-02-03,35,5,17
2020-02-03,36,11,15
2020-02-03,37,4,17
2020-02-03,38,3,18
2020-02-03,39,5,15
2020-02-03,40,3,18
2020-02-03,41,3,12
2020-02-03,42,5,13
2020-02-03,43,2,18
2020-02-03,44,4,13
2020-02-03,45,5,23
2020-02-03,46,5,18
2020-02-03,47,11,16
2020-02-03,48,6,17
2020-02-03,49,4,16
2020-02-03,50,3,18
2020-02-03,51,8,23
2020-02-03,52,8,13
2020-02-03,53,8,17
2020-02-03,54,6,18
2020-02-03,55,5,18
2020-02-03,56,5,19
2020-02-03,57,7,21
2020-02-03,58,7,17
2020-02-03,59,9,16
2020-02-03,60,17,17
2020-02-03,61,10,15
2020-02-03,62,9,19
2020-02-03,63,14,16
2020-02-03,64,13,15
2020-02-03,65,15,18
2020-02-03,66,22,17
2020-02-03,67,13,19
2020-02-03,68,25,18
2020-02-03,69,20,18
2020-02-03,70,16,19
2020-02-03,71,15,16
2020-02-03,72,21,17
2020-02-03,73,11,18
2020-02-03,74,8,16
2020-02-03,75,4,19
2020-02-03,76,6,18
2020-02-03,77,7,14
2020-02-03,78,6,13
2020-02-03,79,4,16
2020-02-03,80,1,19
2020-02-03,81,6,18
2020-02-03,82,12,19
2020-02-03,84,1,14
2020-02-03,85,5,22
2020-02-03,86,1,14
2020-02-03,87,1,18
2020-02-03,88,2,15
2020-02-03,89,1,9
2020-02-03,90,3,14
2020-02-03,91,2,13
2020-02-03,94,1,6
2020-02-03,95,1,13
2020-02-04,2,1,9
2020-02-04,3,1,20
2020-02-04,12,1,21
2020-02-04,13,1,12
2020-02-04,20,1,23
2020-02-04,23,5,12
2020-02-04,24,2,19
2020-02-04,25,3,21
2020-02-04,26,3,15
2020-02-04,27,10,19
2020-02-04,28,8,17
2020-02-04,29,18,20
2020-02-04,30,9,20
2020-02-04,31,12,23
2020-02-04,32,20,22
2020-02-04,33,9,18
2020-02-04,34,10,17
2020-02-04,35,10,18
2020-02-04,36,3,14
2020-02-04,37,4,16
2020-02-04,38,3,17
2020-02-04,39,1,14
2020-02-04,40,1,15
2020-02-04,41,4,21
2020-02-04,42,7,17
2020-02-04,43,3,19
2020-02-04,44,9,13
2020-02-04,45,5,17
2020-02-04,46,5,22
2020-02-04,47,4,20
2020-02-04,48,4,19
2020-02-04,49,9,17
2020-02-04,50,4,13
2020-02-04,51,5,20
2020-02-04,52,7,19
2020-02-04,53,5,20
2020-02-04,54,3,14
2020-02-04,55,2,12
2020-02-04,56,2,10
2020-02-04,57,2,16
2020-02-04,58,8,15
2020-02-04,59,11,21
2020-02-04,60,7,15
2020-02-04,61,1,25
2020-02-04,62,12,19
2020-02-04,63,9,17
2020-02-04,64,12,16
2020-02-04,65,9,14
2020-02-04,66,21,16
2020-02-04,67,12,16
2020-02-04,68,21,18
2020-02-04,69,18,17
2020-02-04,70,18,16
2020-02-04,71,17,17
2020-02-04,72,6,17
2020-02-04,73,16,16
2020-02-04,74,12,17
2020-02-04,75,6,17
2020-02-04,76,4,19
2020-02-04,77,10,19
2020-02-04,78,6,16
2020-02-04,79,7,16
2020-02-04,80,9,17
2020-02-04,81,4,15
2020-02-04,82,13,18
2020-02-04,83,8,16
2020-02-04,84,2,13
2020-02-04,85,2,17
2020-02-04,86,8,17
2020-02-04,87,1,9
2020-02-04,88,4,21
2020-02-04,89,3,15
2020-02-04,90,2,20
2020-02-04,92,1,17
2020-02-04,94,1,15
2020-02-04,95,1,19
2020-02-05,5,1,11
2020-02-05,12,1,24
2020-02-05,20,1,25
2020-02-05,21,1,23
2020-02-05,23,1,32
2020-02-05,24,3,14
2020-02-05,25,5,17
2020-02-05,26,5,21
2020-02-05,27,5,19
2020-02-05,28,10,17
2020-02-05,29,15,20
2020-02-05,30,15,19
2020-02-05,31,14,21
2020-02-05,32,17,21
2020-02-05,33,10,17
2020-02-05,34,14,19
2020-02-05,35,11,18
2020-02-05,36,8,20
2020-02-05,37,9,20
2020-02-05,38,4,19
2020-02-05,39,4,14
2020-02-05,40,6,18
2020-02-05,41,3,18
2020-02-05,42,3,16
2020-02-05,43,3,21
2020-02-05,44,6,17
2020-02-05,45,7,17
2020-02-05,46,8,16
2020-02-05,47,11,18
2020-02-05,48,9,15
2020-02-05,49,8,16
2020-02-05,50,7,13
2020-02-05,51,4,20
2020-02-05,52,11,15
2020-02-05,53,7,20
2020-02-05,54,6,17
2020-02-05,55,8,21
2020-02-05,56,5,14
2020-02-05,57,6,17
2020-02-05,58,8,15
2020-02-05,59,4,17
2020-02-05,60,5,19
2020-02-05,61,16,16
2020-02-05,62,11,14
2020-02-05,63,7,18
2020-02-05,64,15,20
2020-02-05,65,15,19
2020-02-05,66,18,18
2020-02-05,67,21,21
2020-02-05,68,22,16
2020-02-05,69,13,16
2020-02-05,70,27,19
2020-02-05,71,27,20
2020-02-05,72,13,19
2020-02-05,73,17,20
2020-02-05,74,9,18
2020-02-05,75,7,17
2020-02-05,76,15,18
2020-02-05,77,9,21
2020-02-05,78,10,18
2020-02-05,79,8,18
2020-02-05,80,5,15
2020-02-05,81,12,18
2020-02-05,82,7,21
2020-02-05,83,3,16
2020-02-05,84,3,18
2020-02-05,85,5,17
2020-02-05,86,4,18
2020-02-05,87,2,23
2020-02-05,88,4,17
2020-02-05,89,8,24
2020-02-05,90,5,16
2020-02-05,91,2,25
2020-02-05,92,3,19
2020-02-05,93,2,17
2020-02-05,94,2,12
2020-02-05,96,2,18
2020-02-06,1,1,14
2020-02-06,2,1,11
2020-02-06,3,1,22
2020-02-06,9,1,10
2020-02-06,13,1,21
2020-02-06,19,1,14
2020-02-06,20,2,15
2020-02-06,21,1,21
2020-02-06,23,2,25
2020-02-06,24,1,10
2020-02-06,25,3,18
2020-02-06,26,8,23
2020-02-06,27,8,16
2020-02-06,28,5,18
2020-02-06,29,16,20
2020-02-06,30,15,19
2020-02-06,31,18,20
2020-02-06,32,14,22
2020-02-06,33,7,23
2020-02-06,34,8,17
2020-02-06,35,12,20
2020-02-06,36,7,17
2020-02-06,37,3,19
2020-02-06,38,4,22
2020-02-06,39,6,22
2020-02-06,40,7,18
2020-02-06,41,8,19
2020-02-06,42,4,26
2020-02-06,43,6,18
2020-02-06,44,9,18
2020-02-06,45,2,30
2020-02-06,46,11,19
2020-02-06,47,12,16
2020-02-06,48,5,20
2020-02-06,49,9,17
2020-02-06,50,5,21
2020-02-06,51,11,19
2020-02-06,52,12,18
2020-02-06,53,6,17
2020-02-06,54,8,17
2020-02-06,55,3,23
2020-02-06,56,4,15
2020-02-06,57,10,17
2020-02-06,58,13,19
2020-02-06,59,9,19
2020-02-06,60,12,18
2020-02-06,61,9,21
2020-02-06,62,9,19
2020-02-06,63,13,19
2020-02-06,64,20,19
2020-02-06,65,13,19
2020-02-06,66,11,19
2020-02-06,67,18,20
2020-02-06,68,23,21
2020-02-06,69,16,19
2020-02-06,70,18,22
2020-02-06,71,27,20
2020-02-06,72,15,22
2020-02-06,73,11,18
2020-02-06,74,16,19
2020-02-06,75,15,22
2020-02-06,76,11,18
2020-02-06,77,11,20
2020-02-06,78,16,17
2020-02-06,79,5,20
2020-02-06,80,5,20
2020-02-06,81,6,23
2020-02-06,82,14,21
2020-02-06,83,7,19
2020-02-06,84,6,18
2020-02-06,85,5,19
2020-02-06,86,5,17
2020-02-06,87,1,19
2020-02-06,88,4,21
2020-02-06,89,4,17
2020-02-06,90,1,13
2020-02-06,91,2,19
2020-02-06,92,1,15
2020-02-06,93,3,17
2020-02-06,94,1,22
2020-02-06,95,1,22
2020-02-07,4,1,18
2020-02-07,11,1,13
2020-02-07,20,1,28
2020-02-07,21,1,14
2020-02-07,22,1,33
2020-02-07,23,1,26
2020-02-07,24,1,20
2020-02-07,25,3,24
2020-02-07,26,8,20
2020-02-07,27,6,24
2020-02-07,28,10,22
2020-02-07,29,6,22
2020-02-07,30,13,22
2020-02-07,31,10,20
2020-02-07,32,16,23
2020-02-07,33,12,19
2020-02-07,34,8,20
2020-02-07,35,4,18
2020-02-07,36,8,18
2020-02-07,37,1,15
2020-02-07,38,2,19
2020-02-07,39,4,18
2020-02-07,40,4,22
2020-02-07,41,6,20
2020-02-07,42,6,17
2020-02-07,43,9,17
2020-02-07,44,5,19
2020-02-07,45,7,22
2020-02-07,46,11,18
2020-02-07,47,5,15
2020-02-07,48,8,18
2020-02-07,49,10,17
2020-02-07,50,8,20
2020-02-07,51,10,15
2020-02-07,52,9,16
2020-02-07,53,5,16
2020-02-07,54,14,17
2020-02-07,55,10,15
2020-02-07,56,10,14
2020-02-07,57,5,18
2020-02-07,58,5,21
2020-02-07,59,6,24
2020-02-07,60,14,17
2020-02-07,61,14,18
2020-02-07,62,13,18
2020-02-07,63,17,18
2020-02-07,64,13,19
2020-02-07,65,15,18
2020-02-07,66,17,19
2020-02-07,67,25,20
2020-02-07,68,16,23
2020-02-07,69,15,19
2020-02-07,70,22,19
2020-02-07,71,12,17
2020-02-07,72,12,18
2020-02-07,73,13,17
2020-02-07,74,14,19
2020-02-07,75,11,20
2020-02-07,76,10,18
2020-02-07,77,11,18
2020-02-07,78,4,24
2020-02-07,79,5,20
2020-02-07,80,5,18
2020-02-07,81,3,17
2020-02-07,82,7,15
2020-02-07,83,4,18
2020-02-07,84,7,15
2020-02-07,85,5,26
2020-02-07,86,2,22
2020-02-07,87,2,18
2020-02-07,88,3,15
2020-02-07,89,2,19
2020-02-07,90,4,16
2020-02-07,91,1,32
2020-02-07,92,1,31
2020-02-07,93,3,14
2020-02-07,94,1,19
2020-02-07,96,4,18
2020-02-08,2,5,20
2020-02-08,4,3,19
2020-02-08,6,2,11
2020-02-08,7,2,17
2020-02-08,13,1,20
2020-02-08,14,1,21
2020-02-08,18,1,22
2020-02-08,19,1,20
2020-02-08,24,1,10
2020-02-08,25,1,18
2020-02-08,27,3,14
2020-02-08,28,1,14
2020-02-08,30,1,14
