,NIS3,WEEK,CASES,name,NIS5,POP,CASES_PER_1000HABITANT
706,41,1,366,Alost,41000,291229,1.26
0,11,1,1084,Anvers,11000,1051301,1.03
1644,81,1,70,Arlon,81000,62623,1.12
986,51,1,128,Ath,51000,127915,1.0
892,45,1,114,Audenarde,45000,124342,0.92
1690,82,1,43,Bastogne,82000,48413,0.89
333,31,1,284,Bruges,31000,282209,1.01
142,21,1,1890,Bruxelles-Capitale,21000,1208542,1.56
1032,52,1,301,Charleroi,52000,396639,0.76
473,34,1,450,Courtrai,34000,290706,1.55
1868,91,1,64,Dinant,91000,111008,0.58
380,32,1,153,Dixmude,32000,51525,2.97
800,43,1,59,Eeklo,43000,85235,0.69
661,38,1,65,Furnes,38000,61657,1.05
844,44,1,676,Gand,44000,560522,1.21
190,23,1,629,Hal-Vilvorde,23000,637441,0.99
1502,71,1,329,Hasselt,71000,418496,0.79
1312,61,1,81,Huy,61000,113409,0.71
1265,58,1,203,La Louvière,58000,141060,1.44
1360,62,1,565,Liège,62000,624422,0.9
238,24,1,289,Louvain,24000,508734,0.57
1550,72,1,292,Maaseik,72000,251589,1.16
48,12,1,391,Malines,12000,344818,1.13
1736,83,1,25,Marche-en-Famenne,83000,56476,0.44
1079,53,1,196,Mons,53000,258999,0.76
1914,92,1,283,Namur,92000,316962,0.89
1782,84,1,23,Neufchâteau,84000,63375,0.36
286,25,1,381,Nivelles,25000,403599,0.94
520,35,1,120,Ostende,35000,157200,0.76
1961,93,1,82,Philippeville,93000,66355,1.24
567,36,1,217,Roulers,36000,153315,1.42
939,46,1,357,Saint-Nicolas,46000,252523,1.41
1126,55,1,111,Soignies,55000,104533,1.06
753,42,1,208,Termonde,42000,201213,1.03
1172,56,1,49,Thuin,56000,91678,0.53
614,37,1,142,Tielt,37000,92905,1.53
1597,73,1,226,Tongres,73000,203963,1.11
1218,57,1,278,Tournai,57000,223417,1.24
95,13,1,295,Turnhout,13000,461867,0.64
1408,63,1,207,Verviers,63000,287772,0.72
1826,85,1,113,Virton,85000,53751,2.1
1455,64,1,34,Waremme,64000,81389,0.42
426,33,1,115,Ypres,33000,106279,1.08
707,41,2,295,Alost,41000,291229,1.01
1,11,2,1029,Anvers,11000,1051301,0.98
1645,81,2,67,Arlon,81000,62623,1.07
987,51,2,122,Ath,51000,127915,0.95
893,45,2,143,Audenarde,45000,124342,1.15
1691,82,2,40,Bastogne,82000,48413,0.83
334,31,2,175,Bruges,31000,282209,0.62
143,21,2,1443,Bruxelles-Capitale,21000,1208542,1.19
1033,52,2,340,Charleroi,52000,396639,0.86
474,34,2,486,Courtrai,34000,290706,1.67
1869,91,2,48,Dinant,91000,111008,0.43
381,32,2,139,Dixmude,32000,51525,2.7
801,43,2,62,Eeklo,43000,85235,0.73
662,38,2,55,Furnes,38000,61657,0.89
845,44,2,682,Gand,44000,560522,1.22
191,23,2,495,Hal-Vilvorde,23000,637441,0.78
1503,71,2,449,Hasselt,71000,418496,1.07
1313,61,2,66,Huy,61000,113409,0.58
1266,58,2,200,La Louvière,58000,141060,1.42
1361,62,2,525,Liège,62000,624422,0.84
239,24,2,295,Louvain,24000,508734,0.58
1551,72,2,280,Maaseik,72000,251589,1.11
49,12,2,353,Malines,12000,344818,1.02
1737,83,2,20,Marche-en-Famenne,83000,56476,0.35
1080,53,2,212,Mons,53000,258999,0.82
1915,92,2,239,Namur,92000,316962,0.75
1783,84,2,21,Neufchâteau,84000,63375,0.33
287,25,2,387,Nivelles,25000,403599,0.96
521,35,2,180,Ostende,35000,157200,1.15
1962,93,2,53,Philippeville,93000,66355,0.8
568,36,2,210,Roulers,36000,153315,1.37
940,46,2,336,Saint-Nicolas,46000,252523,1.33
1127,55,2,103,Soignies,55000,104533,0.99
754,42,2,156,Termonde,42000,201213,0.78
1173,56,2,58,Thuin,56000,91678,0.63
615,37,2,125,Tielt,37000,92905,1.35
1598,73,2,224,Tongres,73000,203963,1.1
1219,57,2,260,Tournai,57000,223417,1.16
96,13,2,332,Turnhout,13000,461867,0.72
1409,63,2,154,Verviers,63000,287772,0.54
1827,85,2,99,Virton,85000,53751,1.84
1456,64,2,52,Waremme,64000,81389,0.64
427,33,2,131,Ypres,33000,106279,1.23
708,41,3,174,Alost,41000,291229,0.6
2,11,3,566,Anvers,11000,1051301,0.54
1646,81,3,38,Arlon,81000,62623,0.61
988,51,3,27,Ath,51000,127915,0.21
894,45,3,71,Audenarde,45000,124342,0.57
1692,82,3,9,Bastogne,82000,48413,0.19
335,31,3,93,Bruges,31000,282209,0.33
144,21,3,565,Bruxelles-Capitale,21000,1208542,0.47
1034,52,3,160,Charleroi,52000,396639,0.4
475,34,3,245,Courtrai,34000,290706,0.84
1870,91,3,22,Dinant,91000,111008,0.2
382,32,3,137,Dixmude,32000,51525,2.66
802,43,3,24,Eeklo,43000,85235,0.28
