,NIS5,WEEK,name,CASES,POP,CASES_PER_1000HABITANT
0,11001,1,Aartselaar,5,,
17300,53046,1,Lens,2,,
17247,53044,1,Jurbise,6,,
17195,53039,1,Hensies,5,,
17142,53028,1,Frameries,9,,
17089,53020,1,Dour,5,,
17036,53014,1,Boussu,7,,
16984,52075,1,Les Bons Villers,5,,
16932,52074,1,Aiseau-Presles,9,,
16879,52055,1,Pont-Ã -Celles,6,,
16826,52048,1,Montigny-le-Tilleul,3,,
16773,52025,1,Gerpinnes,4,,
17348,53053,1,Mons,105,,
1057,11039,1,Schilde,6,,
16667,52021,1,Fleurus,12,,
16614,52018,1,Farciennes,14,,
16561,52015,1,Courcelles,23,,
16508,52012,1,ChÃ¢telet,45,,
16455,52011,1,Charleroi,199,,
16402,52010,1,Chapelle-lez-Herlaimont,7,,
16349,51069,1,Lessines,14,,
16297,51068,1,Silly,3,,
16244,51067,1,Enghien,6,,
16192,51065,1,Frasnes-lez-Anvaing,13,,
16149,51019,1,Flobecq,2,,
16720,52022,1,Fontaine-lâEvÃªque,11,,
16100,51017,1,Ellezelles,7,,
1005,11038,1,Schelle,4,,
17454,53068,1,QuiÃ©vrain,3,,
18626,57018,1,Celles (Tournai),6,,
18576,57003,1,Antoing,6,,
18530,56088,1,Sivry-Rance,4,,
18478,56086,1,Ham-sur-Heure-Nalinnes,6,,
18426,56078,1,Thuin,6,,
18377,56051,1,Momignies,3,,
18331,56049,1,Merbes-le-ChÃ¢teau,3,,
18279,56044,1,Lobbes,3,,
18232,56029,1,Froidchapelle,2,,
18182,56022,1,Erquelinnes,10,,
18132,56016,1,Chimay,3,,
17401,53065,1,Quaregnon,17,,
18081,56005,1,Beaumont,5,,
18028,56001,1,Anderlues,4,,
17975,55086,1,Manage,10,,
17922,55085,1,Seneffe,5,,
17869,55050,1,Ecaussinnes,5,,
17816,55040,1,Soignies,64,,
17763,55035,1,Le Roeulx,11,,
17710,55004,1,Braine-le-Comte,16,,
17658,53084,1,QuÃ©vy,6,,
17611,53083,1,Honnelles,3,,
17558,53082,1,Colfontaine,25,,
17505,53070,1,Saint-Ghislain,6,,
952,11037,1,Rumst,6,,
1110,11040,1,Schoten,44,,
16004,51012,1,Brugelette,2,,
15952,51009,1,Bernissart,15,,
14504,44045,1,Moerbeke (Gand),3,,
14451,44043,1,Merelbeke,35,,
14399,44040,1,Melle,17,,
14346,44034,1,Lochristi,57,,
14293,44021,1,Gand,321,,
14240,44020,1,Gavere,20,,
14187,44019,1,Evergem,58,,
1267,11052,1,Wommelgem,3,,
14134,44013,1,Destelbergen,11,,
14082,44012,1,De Pinte,3,,
14030,43018,1,Zelzate,8,,
14555,44048,1,Nazareth,12,,
13980,43014,1,Sint-Laureins,4,,
13877,43007,1,Kaprijke,1,,
13824,43005,1,Eeklo,10,,
13773,43002,1,Assenede,5,,
13720,42028,1,Zele,23,,
13668,42026,1,Wichelen,4,,
13616,42025,1,Wetteren,37,,
13565,42023,1,Waasmunster,29,,
13513,42011,1,Lebbeke,17,,
1320,11053,1,Wuustwezel,35,,
13461,42010,1,Laarne,27,,
13408,42008,1,Hamme (Termonde),26,,
13927,43010,1,Maldegem,31,,
14607,44052,1,Oosterzele,16,,
14660,44064,1,Sint-Martens-Latem,11,,
14713,44073,1,Wachtebeke,5,,
15900,51008,1,Beloeil,23,,
15847,51004,1,Ath,43,,
15794,46025,1,Tamise,30,,
15741,46024,1,Stekene,9,,
15688,46021,1,Saint-Nicolas (Saint-Nicolas),153,,
15635,46020,1,Sint-Gillis-Waas,5,,
15582,46014,1,Lokeren,57,,
15529,46013,1,Kruibeke,26,,
15476,46003,1,Beveren (Saint-Nicolas),77,,
1163,11044,1,Stabroek,6,,
15423,45068,1,Kruisem,13,,
15372,45065,1,Zwalin,6,,
15324,45064,1,Maarkedal,2,,
15275,45063,1,Lierde,3,,
15236,45062,1,Horebeke,3,,
15185,45061,1,Wortegem-Petegem,6,,
15134,45060,1,Kluisbergen,5,,
15081,45059,1,Brakel,12,,
15028,45041,1,Renaix,29,,
14975,45035,1,Audenarde,39,,
14922,44085,1,Lievegem,6,,
14869,44084,1,Aalter,18,,
14816,44083,1,Deinze,32,,
1215,11050,1,Wijnegem,9,,
14763,44081,1,Zulte,56,,
899,11035,1,Ranst,14,,
13355,42006,1,Termonde,32,,
18677,57027,1,Estaimpuis,4,,
18779,57064,1,PÃ©ruwelz,33,,
22787,63086,1,Trois-Ponts,5,,
22734,63084,1,Welkenraedt,1,,
22685,63080,1,Waimes,10,,
22632,63079,1,Verviers,54,,
582,11022,1,Kalmthout,4,,
22579,63076,1,Theux,5,,
22533,63075,1,Stoumont,2,,
22482,63073,1,Stavelot,1,,
