Geography;Immigrated after 1980;Number of habitants;% of habitants older than 65;Active population;Unemployed;Foreigners;European Foreigners;Non European Foreigners;Older than 20 with high degree;Married;Registered Partnership;Commuter;Born abroad;Born Europe;Born non-europe;Ratio female male;Self employed;Number of households;One person households;Couple without children;Couple with children;One parent households;Percentage employees;Percentage younger than 15;Ageing percentage;Population density;Average household size;Percentage of population that moved in 2;Percentage of between 15 and 65 years ol;Number of buildings;Percentage of Buildings where owner live;Percentage of Buildings with one housing;Percentage of Buildings built after 2001;Percentage of Buildings built after 1991;Percentage of Buildings built before 191;Employment rate between 15 and 64;Employment rate between 20 and 64;Average age of population; 
01000;0,1452;11000638;0,1712;0,6605;0,0838;0,1049;0,0682;0,0367;0,2801;0,5101;0,0309;0,258;0,1481;0,0696;0,0785;103,6507;0,1409;4727831;0,3406;0,2546;0,2773;0,0998;0,8429;0,1697;0,2597;360,35;2,3;0,1154;0,6591;4503194;0,6617;0,7063;0,0829;0,1749;0,2293;0,6052;0,6575;40,841834919; 
04000;0,4011;1136778;0,1343;0,5728;0,1672;0,3229;0,1968;0,126;0,3527;0,4441;0,0227;0,1863;0,4239;0,1683;0,2556;105,0158;0,171;544529;0,4922;0,1522;0,2046;0,1153;0,8164;0,1908;0,199;7044,01;2,07;0,1797;0,6749;475619;0,3881;0,1732;0,0409;0,0808;0,3039;0,4771;0,5145;37,484616131; 
21000;0,4011;1136778;0,1343;0,5728;0,1672;0,3229;0,1968;0,126;0,3527;0,4441;0,0227;0,1863;0,4239;0,1683;0,2556;105,0158;0,171;544529;0,4922;0,1522;0,2046;0,1153;0,8164;0,1908;0,199;7044,01;2,07;0,1797;0,6749;475619;0,3881;0,1732;0,0409;0,0808;0,3039;0,4771;0,5145;37,484616131; 
21001;0,353;108940;0,1419;0,5912;0,196;0,2879;0,1598;0,128;0,208;0,4882;0,0129;0,1896;0,3917;0,1318;0,2598;102,8413;0,1478;48656;0,4411;0,1622;0,2371;0,1259;0,8369;0,2121;0,2196;6139,5;2,22;0,1695;0,646;41264;0,411;0,1879;0,0379;0,0681;0,2304;0,4753;0,516;37,052749072; 
21002;0,3151;31457;0,1685;0,603;0,0916;0,2523;0,1781;0,0742;0,4707;0,445;0,0332;0,1794;0,3122;0,1557;0,1565;111,3194;0,1656;14958;0,4438;0,193;0,2262;0,1123;0,8239;0,1738;0,2562;3482,28;2,09;0,1552;0,6577;13841;0,5241;0,3866;0,059;0,1031;0,1019;0,5477;0,5937;40,46114467; 
21003;0,2554;22819;0,161;0,6554;0,1411;0,1654;0,102;0,0634;0,3073;0,4784;0,0252;0,1921;0,2717;0,0875;0,1842;110,3715;0,1445;9663;0,3686;0,2026;0,2625;0,1304;0,8454;0,2019;0,2527;7736,42;2,31;0,141;0,6371;9021;0,5315;0,3221;0,0766;0,1349;0,0604;0,563;0,6128;39,047597534; 
21004;0,4751;174383;0,1088;0,5224;0,1917;0,3782;0,1891;0,1891;0,3102;0,4424;0,0185;0,192;0,4953;0,1613;0,334;93,0788;0,1654;88841;0,5643;0,1214;0,1747;0,1036;0,8204;0,1953;0,1563;5348,2;1,96;0,2143;0,6959;71801;0,2859;0,1398;0,0379;0,0908;0,383;0,4223;0,4554;35,748418257; 
21005;0,4948;45430;0,1148;0,5692;0,128;0,4219;0,3209;0,101;0,4509;0,381;0,0286;0,1789;0,4976;0,2729;0,2247;111,2237;0,1552;24439;0,5558;0,1431;0,1582;0,097;0,8332;0,1553;0,1573;14425,32;1,84;0,1974;0,7298;21061;0,3283;0,1249;0,0455;0,0732;0,358;0,4964;0,5255;37,419134341; 
21006;0,3086;36672;0,1637;0,59;0,1532;0,2137;0,1171;0,0966;0,2572;0,4739;0,0246;0,2013;0,3317;0,1047;0,227;113,0483;0,1257;16460;0,4139;0,1896;0,2293;0,1344;0,8638;0,1956;0,2556;7307,93;2,2;0,1577;0,6406;15457;0,4326;0,1831;0,0784;0,1496;0,0498;0,4996;0,5439;39,130116654; 
21007;0,3656;52028;0,1392;0,6202;0,1735;0,3131;0,2051;0,108;0,3613;0,4466;0,0259;0,1721;0,4006;0,1743;0,2263;108,8471;0,1889;24550;0,4636;0,1632;0,2141;0,1246;0,7999;0,1923;0,2082;8326,97;2,1;0,177;0,6685;22901;0,3997;0,1057;0,0198;0,0378;0,3112;0,5126;0,5515;37,891078946; 
