year,week,tot
2018,1,2686
2018,2,2317
2018,3,2336
2018,4,2253
2018,5,2355
2018,6,2353
2018,7,2565
2018,8,2628
2018,9,3002
2018,10,3016
2018,11,2724
2018,12,2594
2018,13,2460
2018,14,2203
2018,15,2175
2018,16,2044
2018,17,1953
2018,18,1867
2018,19,1980
2018,20,1860
2018,21,1951
2018,22,1953
2018,23,1811
2018,24,1734
2018,25,1779
2018,26,1950
2018,27,2080
2018,28,1833
2018,29,1988
2018,30,2107
2018,31,2125
2018,32,2000
2018,33,1887
2018,34,1824
2018,35,1825
2018,36,1909
2018,37,1811
2018,38,1970
2018,39,1831
2018,40,1965
2018,41,2006
2018,42,1957
2018,43,1918
2018,44,1907
2018,45,2049
2018,46,2017
2018,47,2060
2018,48,2107
2018,49,2173
2018,50,2233
2018,51,2263
2018,52,2251
2019,1,2617
2019,2,2347
2019,3,2312
2019,4,2395
2019,5,2421
2019,6,2544
2019,7,2409
2019,8,2418
2019,9,2428
2019,10,2389
2019,11,2335
2019,12,2167
2019,13,2063
2019,14,2183
2019,15,1969
2019,16,2095
2019,17,2046
2019,18,2011
2019,19,2034
2019,20,2034
2019,21,1995
2019,22,1933
2019,23,1966
2019,24,1847
2019,25,1913
2019,26,1980
2019,27,1935
2019,28,1788
2019,29,1882
2019,30,2318
2019,31,1916
2019,32,1766
2019,33,1777
2019,34,1859
2019,35,2006
2019,36,1838
2019,37,1833
2019,38,1923
2019,39,1906
2019,40,2048
2019,41,1951
2019,42,1961
2019,43,2065
2019,44,1935
2019,45,2001
2019,46,2014
2019,47,2187
2019,48,2122
2019,49,2161
2019,50,2213
2019,51,2337
2019,52,2152
2020,1,1629
2020,2,2404
2020,3,2326
2020,4,2215
2020,5,2374
2020,6,2180
2020,7,2324
2020,8,2319
2020,9,2261
2020,10,2222
2020,11,2254
2020,12,2573
2020,13,3216
2020,14,4043
2020,15,4309
2020,16,3721
2020,17,3057
2020,18,2435
2020,19,2397
2020,20,2050
2020,21,2089
2020,22,1992
2020,23,1812
2020,24,1905
2020,25,1824
2020,26,1973
2020,27,1773
2020,28,1699
2020,29,1862
2020,30,1818
2020,31,1959
2020,32,2048
2020,33,2887
2020,34,2224
2020,35,1881
2020,36,1904
2020,37,1824
2020,38,2012
2020,39,1931
2020,40,1929
2020,41,2074
2020,42,2162
2020,43,2631
2020,44,3293
2020,45,3698
2020,46,3442
2020,47,3187
2020,48,2900
2020,49,2705
2020,50,2787
2020,51,2745
2020,52,2622
2020,53,1481
2021,1,2467
2021,2,2396
2021,3,2433
2021,4,2426
2021,5,2266
2021,6,2214
2021,7,2296
2021,8,2102
2021,53,968
