name1,fb_population_1,name2,fb_population_2,link_value,ds
Namur,3528,Leuven,5226,1.6890391627040017e-06,2020-07-07
Philippeville,785,Leuven,5226,1.020378729761751e-06,2020-07-07
Tielt,1278,Leuven,5226,1.4826376343322132e-06,2020-07-07
Mechelen,3833,Leuven,5226,2.236898296889886e-05,2020-07-07
Kortrijk,3914,Leuven,5226,1.797635054447568e-06,2020-07-07
Hasselt,5857,Leuven,5226,2.757322771134539e-05,2020-07-07
Thuin,1874,Leuven,5226,1.097360236164613e-06,2020-07-07
Turnhout,6138,Leuven,5226,1.2451735690381172e-05,2020-07-07
Marche-en-Famenne,730,Leuven,5226,2.003380658052504e-06,2020-07-07
Leuven,5226,Leuven,5226,0.0,2020-07-07
Tournai,1699,Soignies,2294,1.2836098223138035e-05,2020-07-07
Waremme,1007,Soignies,2294,2.1408278527796736e-06,2020-07-07
Neufchâteau,685,Soignies,2294,1.3873446590658741e-06,2020-07-07
Bastogne,497,Soignies,2294,1.591923080532154e-06,2020-07-07
Nivelles,3568,Soignies,2294,3.4946909975162897e-05,2020-07-07
Charleroi,5498,Soignies,2294,4.815908977172898e-05,2020-07-07
Tielt,1278,Soignies,2294,8.906377223808692e-07,2020-07-07
Maaseik,3486,Soignies,2294,5.629672916331069e-07,2020-07-07
Eeklo,1212,Soignies,2294,7.723266566287964e-07,2020-07-07
Liège,7113,Soignies,2294,1.7852887201603546e-06,2020-07-07
Kortrijk,3914,Soignies,2294,7.577996074625213e-07,2020-07-07
Tongeren,3001,Soignies,2294,6.075480917200344e-07,2020-07-07
Philippeville,785,Soignies,2294,1.1955731598221836e-05,2020-07-07
Brugge,3598,Soignies,2294,1.5365675499441569e-06,2020-07-07
Oostende,2471,Soignies,2294,6.587272296923606e-06,2020-07-07
Roeselare,2375,Brugge,3598,3.9030142058871466e-05,2020-07-07
Sint-Niklaas,3236,Brugge,3598,1.2383488327409925e-05,2020-07-07
Eeklo,1212,Brugge,3598,3.933241268752196e-05,2020-07-07
Bastogne,497,Brugge,3598,4.2779196509247746e-06,2020-07-07
Dendermonde,2727,Brugge,3598,1.2179128149542591e-05,2020-07-07
Maaseik,3486,Brugge,3598,5.442471611642857e-06,2020-07-07
Brussel Hoofdstad,11577,Brugge,3598,6.139931189168902e-06,2020-07-07
Mons,3186,Brugge,3598,2.4338521040758844e-06,2020-07-07
Soignies,2294,Brugge,3598,1.5365675499441569e-06,2020-07-07
Mouscron,1060,Brugge,3598,2.711742872025838e-06,2020-07-07
Thuin,1874,Brugge,3598,3.5162469255538267e-06,2020-07-07
Brugge,3598,Brugge,3598,0.0,2020-07-07
Gent,6346,Brugge,3598,2.0761900476805825e-05,2020-07-07
Mechelen,3833,Brugge,3598,9.467564623833862e-06,2020-07-07
Neufchâteau,685,Brussel Hoofdstad,11577,2.2544040178426005e-06,2020-07-07
Oudenaarde,1521,Brussel Hoofdstad,11577,9.06493858921639e-06,2020-07-07
Maaseik,3486,Brussel Hoofdstad,11577,2.8681217546551906e-06,2020-07-07
Ath,1037,Brussel Hoofdstad,11577,1.2744443172392415e-05,2020-07-07
Liège,7113,Brussel Hoofdstad,11577,6.7116972697952926e-06,2020-07-07
Brugge,3598,Brussel Hoofdstad,11577,6.139931189168902e-06,2020-07-07
Turnhout,6138,Brussel Hoofdstad,11577,2.614776772450357e-06,2020-07-07
Tongeren,3001,Brussel Hoofdstad,11577,2.1585346290102647e-06,2020-07-07
Kortrijk,3914,Brussel Hoofdstad,11577,3.115432580699224e-06,2020-07-07
Brussel Hoofdstad,11577,Brussel Hoofdstad,11577,0.0,2020-07-07
Mons,3186,Brussel Hoofdstad,11577,1.2256317798717358e-05,2020-07-07
Gent,6346,Brussel Hoofdstad,11577,7.987819047720764e-06,2020-07-07
Leuven,5226,Brussel Hoofdstad,11577,1.933435288572662e-05,2020-07-07
Tournai,1699,Mons,3186,2.7288914785326208e-05,2020-07-07
Diksmuide,717,Mons,3186,6.618499002805868e-07,2020-07-07
Ath,1037,Mons,3186,6.452696680056494e-05,2020-07-07
Namur,3528,Mons,3186,5.743094027136458e-06,2020-07-07
Dinant,1286,Mons,3186,3.281740131466139e-06,2020-07-07
Soignies,2294,Mons,3186,4.939845509980982e-05,2020-07-07
Brugge,3598,Mons,3186,2.4338521040758844e-06,2020-07-07
Liège,7113,Mons,3186,1.5264641452719672e-06,2020-07-07
Maaseik,3486,Mons,3186,4.0351945180028025e-07,2020-07-07
Dendermonde,2727,Antwerpen,11639,1.0627418848952404e-05,2020-07-07
Maaseik,3486,Antwerpen,11639,4.456779432050268e-06,2020-07-07
Mouscron,1060,Antwerpen,11639,4.6300917274725244e-07,2020-07-07
Hasselt,5857,Antwerpen,11639,5.113986791261873e-06,2020-07-07
Mons,3186,Antwerpen,11639,5.178242954258684e-07,2020-07-07
Diksmuide,717,Thuin,1874,4.3709157188926594e-07,2020-07-07
Leuven,5226,Thuin,1874,1.097360236164613e-06,2020-07-07
Namur,3528,Thuin,1874,1.2159900438184006e-05,2020-07-07
Dinant,1286,Thuin,1874,5.894632938335666e-06,2020-07-07
Roeselare,2375,Thuin,1874,4.610646145780674e-07,2020-07-07
Mechelen,3833,Thuin,1874,7.934527964481849e-07,2020-07-07
Mouscron,1060,Thuin,1874,1.1504088993215272e-06,2020-07-07
Hasselt,5857,Thuin,1874,3.445462673025893e-07,2020-07-07
Neufchâteau,685,Thuin,1874,5.162835387617072e-06,2020-07-07
Oostende,2471,Thuin,1874,7.715685653672383e-06,2020-07-07
Tielt,1278,Thuin,1874,3.8481743591448413e-07,2020-07-07
Liège,7113,Thuin,1874,3.670439972584752e-06,2020-07-07
Mons,3186,Thuin,1874,3.781598155471377e-05,2020-07-07
Thuin,1874,Thuin,1874,0.0,2020-07-07
Sint-Niklaas,3236,Waremme,1007,4.067316256528237e-07,2020-07-07
Halle-Vilvoorde,6314,Waremme,1007,4.102003304450287e-06,2020-07-07
Aalst,4062,Waremme,1007,1.5329271421045543e-06,2020-07-07
Kortrijk,3914,Waremme,1007,6.571977196359712e-07,2020-07-07
Charleroi,5498,Waremme,1007,3.7407867539199938e-06,2020-07-07
Marche-en-Famenne,730,Waremme,1007,1.2253862017842918e-05,2020-07-07
Bastogne,497,Waremme,1007,4.430279601665414e-06,2020-07-07
Gent,6346,Waremme,1007,7.104661587964881e-07,2020-07-07
Eeklo,1212,Waremme,1007,2.556395399316732e-07,2020-07-07
Soignies,2294,Waremme,1007,2.1408278527796736e-06,2020-07-07
Turnhout,6138,Waremme,1007,3.518225427228e-07,2020-07-07
Brugge,3598,Waremme,1007,1.1996972251703859e-06,2020-07-07
Namur,3528,Roeselare,2375,3.444812901490309e-07,2020-07-07
Brussel Hoofdstad,11577,Roeselare,2375,2.523169661506564e-06,2020-07-07
Veurne,911,Roeselare,2375,2.9542617979269428e-05,2020-07-07
Diksmuide,717,Roeselare,2375,9.362288799637403e-05,2020-07-07
Sint-Niklaas,3236,Roeselare,2375,4.0642268010363785e-06,2020-07-07
Arlon,787,Roeselare,2375,6.122357991548121e-07,2020-07-07
Mouscron,1060,Roeselare,2375,1.1477396320991154e-05,2020-07-07
Thuin,1874,Roeselare,2375,4.610646145780674e-07,2020-07-07
Huy,1341,Roeselare,2375,3.910783670585861e-07,2020-07-07
Mechelen,3833,Roeselare,2375,9.391685143810042e-07,2020-07-07
Soignies,2294,Roeselare,2375,4.4547943529267816e-07,2020-07-07
Brussel Hoofdstad,11577,Halle-Vilvoorde,6314,0.000112976568714795,2020-07-07
Diksmuide,717,Halle-Vilvoorde,6314,1.9096694869004e-06,2020-07-07
Liège,7113,Halle-Vilvoorde,6314,2.2450245786229217e-06,2020-07-07
Maaseik,3486,Halle-Vilvoorde,6314,1.651237833522972e-06,2020-07-07
Ath,1037,Halle-Vilvoorde,6314,6.064470667285002e-06,2020-07-07
Neufchâteau,685,Halle-Vilvoorde,6314,1.7115893028301785e-06,2020-07-07
