date_time,start_name,end_name,n_crisis,n_baseline,start_lat,start_lon,end_lat,end_lon
2020-07-20 0000,Wiltz,Wiltz,1065,1131.0,49.93671959327,5.910789790791099,49.93671959327,5.910789790791099
2020-07-20 0000,Redange,Redange,898,1210.2,49.799144752519,5.8885422366937,49.799144752519,5.8885422366937
2020-07-20 0000,Esch-sur-Alzette,Capellen,48,13.2,49.522074327795,6.0254361757286,49.640456129419,5.9634696225832
2020-07-20 0000,Marche-en-Famenne,Marche-en-Famenne,1610,589.0,50.230098481644,5.4993210277722,50.230098481644,5.4993210277722
2020-07-20 0000,Capellen,Capellen,1854,2523.2,49.640456129419,5.9634696225832,49.640456129419,5.9634696225832
2020-07-20 0000,Arlon,Arlon,3663,4634.0,49.679280516079,5.779684440694799,49.679280516079,5.779684440694799
2020-07-20 0000,Meurthe-et-Moselle,Meurthe-et-Moselle,4904,6213.4,48.788772923342,6.161935534586201,48.788772923342,6.161935534586201
2020-07-20 0000,Trier,Trier,1294,1429.4,49.762781847047,6.6556081013759005,49.762781847047,6.6556081013759005
2020-07-20 0000,Vulkaneifel,Vulkaneifel,166,141.0,50.238281624738995,6.748623720576,50.238281624738995,6.748623720576
2020-07-20 0000,Saarlouis,Saarlouis,19,25.8,49.355396178189004,6.7754906297741995,49.355396178189004,6.7754906297741995
2020-07-20 0000,Trier-Saarburg,Trier-Saarburg,2350,2690.8,49.696535167735995,6.695377539178799,49.696535167735995,6.695377539178799
2020-07-20 0000,Merzig-Wadern,Merzig-Wadern,1284,1416.0,49.495883763829,6.6805543204747,49.495883763829,6.6805543204747
2020-07-20 0000,Eifelkreis-Bitburg-Prüm,Eifelkreis-Bitburg-Prüm,3198,3368.4,50.06209665165,6.4102003124805,50.06209665165,6.4102003124805
2020-07-20 0000,Echternach,Echternach,969,995.2,49.787048814884,6.3757679255438,49.787048814884,6.3757679255438
2020-07-20 0000,Bastogne,Bastogne,3108,3036.8,50.084349168341,5.7478738060997,50.084349168341,5.7478738060997
2020-07-20 0000,Grevenmacher,Grevenmacher,943,1273.0,49.689340953569,6.349623076410801,49.689340953569,6.349623076410801
2020-07-20 0000,Remich,Remich,810,1038.0,49.546659467553,6.3132587076895,49.546659467553,6.3132587076895
2020-07-20 0000,Vianden,Vianden,381,394.6,49.929415325753006,6.160849578033201,49.929415325753006,6.160849578033201
2020-07-20 0000,Virton,Virton,1958,2400.6,49.665627535954,5.4889092788252,49.665627535954,5.4889092788252
2020-07-20 0000,Luxembourg,Luxembourg,7391,8922.8,49.617167595459996,6.1698185880195995,49.617167595459996,6.1698185880195995
2020-07-20 0000,Diekirch,Diekirch,1887,2271.8,49.86111802693,6.1316698751135,49.86111802693,6.1316698751135
2020-07-20 0000,Mersch,Mersch,1530,1920.4,49.756366536944,6.1166859462950995,49.756366536944,6.1166859462950995
2020-07-20 0000,Moselle,Moselle,3913,5046.0,49.037552167624,6.6613465360915995,49.037552167624,6.6613465360915995
2020-07-20 0000,Meuse,Meuse,57,76.8,48.991195748057,5.3813854183080005,48.991195748057,5.3813854183080005
2020-07-20 0000,Verviers,Verviers,671,561.2,50.46421316125,6.022040567855201,50.46421316125,6.022040567855201
2020-07-20 0000,Clervaux,Clervaux,1006,1184.2,50.065104642356005,6.0130325647522,50.065104642356005,6.0130325647522
2020-07-20 0000,Neufchâteau,Neufchâteau,205,260.2,49.910928577947,5.2937415330724,49.910928577947,5.2937415330724
2020-07-20 0000,Esch-sur-Alzette,Esch-sur-Alzette,10884,13530.6,49.522074327795,6.0254361757286,49.522074327795,6.0254361757286
2020-07-20 0000,Esch-sur-Alzette,Luxembourg,747,136.8,49.522074327795,6.0254361757286,49.617167595459996,6.1698185880195995
2020-07-20 0800,Esch-sur-Alzette,Capellen,53,10.2,49.522074327795,6.0254361757286,49.640456129419,5.9634696225832
2020-07-20 0800,Bastogne,Bastogne,2760,2947.6,50.084349168341,5.7478738060997,50.084349168341,5.7478738060997
2020-07-20 0800,Trier,Trier,1495,1627.8,49.762781847047,6.6556081013759005,49.762781847047,6.6556081013759005
2020-07-20 0800,Vulkaneifel,Vulkaneifel,155,144.6,50.238281624738995,6.748623720576,50.238281624738995,6.748623720576
2020-07-20 0800,Trier,Trier-Saarburg,20,12.0,49.762781847047,6.6556081013759005,49.696535167735995,6.695377539178799
2020-07-20 0800,Saarlouis,Saarlouis,17,25.6,49.355396178189004,6.7754906297741995,49.355396178189004,6.7754906297741995
2020-07-20 0800,Trier-Saarburg,Trier,13,10.8,49.696535167735995,6.695377539178799,49.762781847047,6.6556081013759005
2020-07-20 0800,Merzig-Wadern,Merzig-Wadern,1263,1502.4,49.495883763829,6.6805543204747,49.495883763829,6.6805543204747
2020-07-20 0800,Trier-Saarburg,Trier-Saarburg,2141,2633.2,49.696535167735995,6.695377539178799,49.696535167735995,6.695377539178799
2020-07-20 0800,Eifelkreis-Bitburg-Prüm,Eifelkreis-Bitburg-Prüm,2918,3202.0,50.06209665165,6.4102003124805,50.06209665165,6.4102003124805
2020-07-20 0800,Echternach,Echternach,832,962.0,49.787048814884,6.3757679255438,49.787048814884,6.3757679255438
2020-07-20 0800,Grevenmacher,Grevenmacher,981,1293.4,49.689340953569,6.349623076410801,49.689340953569,6.349623076410801
