ds,start_name,end_name,travel_counts
2020-02-29,portugal,united kingdom,4998
2020-02-29,germany,egypt,2384
2020-02-29,united kingdom,egypt,1016
2020-02-29,united arab emirates,egypt,1730
2020-02-29,austria,slovenia,9370
2020-02-29,croatia,slovenia,4962
2020-02-29,bosnia and herzegovina,slovenia,1560
2020-02-29,united states,the bahamas,10817
2020-02-29,india,saudi arabia,3782
2020-02-29,australia,united arab emirates,1451
2020-02-29,united states,brazil,4887
2020-02-29,india,bhutan,5147
2020-02-29,france,brazil,1016
2020-02-29,uruguay,brazil,6434
2020-02-29,portugal,brazil,2915
2020-02-29,india,nepal,17577
2020-02-29,south africa,mozambique,1187
2020-02-29,argentina,uruguay,5141
2020-02-29,brazil,uruguay,6787
2020-02-29,canada,dominican republic,2436
2020-02-29,saudi arabia,bahrain,1113
2020-02-29,estonia,finland,3839
2020-02-29,spain,finland,1239
2020-02-29,united states,dominican republic,5422
2020-02-29,romania,serbia,1285
2020-02-29,germany,finland,1023
2020-02-29,slovenia,serbia,1266
2020-02-29,australia,malaysia,1346
2020-02-29,thailand,india,2997
2020-02-29,saudi arabia,india,3150
2020-02-29,kuwait,india,1533
2020-02-29,canada,india,1128
2020-02-29,south africa,botswana,1252
2020-02-29,moldova,romania,2669
2020-02-29,spain,romania,2006
2020-02-29,austria,romania,4788
2020-02-29,germany,romania,7686
2020-02-29,france,romania,1854
2020-02-29,united states,guatemala,1800
2020-02-29,el salvador,guatemala,2925
2020-02-29,thailand,cambodia,17451
2020-02-29,colombia,ecuador,4645
2020-02-29,peru,ecuador,1535
2020-02-29,united states,ecuador,2052
2020-02-29,saudi arabia,united arab emirates,2165
2020-02-29,latvia,lithuania,3119
2020-02-29,germany,norway,2197
2020-02-29,united arab emirates,oman,2579
2020-02-29,honduras,guatemala,1140
2020-02-29,indonesia,malaysia,15744
2020-02-29,philippines,malaysia,1226
2020-02-29,kosovo,serbia,3091
2020-02-29,sweden,finland,7405
2020-02-29,switzerland,portugal,1581
2020-02-29,switzerland,netherlands,2329
2020-02-29,belgium,portugal,1090
2020-02-29,belgium,netherlands,51444
2020-02-29,hungary,slovakia,8266
2020-02-29,austria,slovakia,8717
2020-02-29,chile,peru,4185
2020-02-29,ecuador,peru,1961
2020-02-29,france,united states,4358
2020-02-29,south korea,united states,1888
2020-02-29,the bahamas,united states,9740
2020-02-29,honduras,united states,1649
2020-02-29,philippines,united states,4553
2020-02-29,japan,united states,3488
2020-02-29,germany,united states,5210
2020-02-29,netherlands,united states,2358
2020-02-29,ireland,united states,1661
2020-02-29,united arab emirates,united states,1352
2020-02-29,united kingdom,united states,12871
2020-02-29,thailand,united states,1037
2020-02-29,jamaica,united states,3696
2020-02-29,switzerland,united states,1050
2020-02-29,guatemala,united states,2012
2020-02-29,dominican republic,united states,5624
2020-02-29,trinidad and tobago,united states,1470
2020-02-29,germany,netherlands,51538
2020-02-29,germany,portugal,1802
2020-02-29,portugal,netherlands,1344
2020-02-29,poland,netherlands,3098
2020-02-29,czech republic,netherlands,1468
2020-02-29,austria,netherlands,21319
2020-02-29,brazil,portugal,3198
2020-02-29,poland,slovakia,3969
2020-02-29,turkey,netherlands,1178
2020-02-29,netherlands,portugal,1411
2020-02-29,ireland,netherlands,1145
2020-02-29,united states,netherlands,3188
2020-02-29,united states,portugal,1006
2020-02-29,united kingdom,portugal,5275
2020-02-29,united kingdom,netherlands,15309
2020-02-29,malaysia,india,2335
2020-02-29,denmark,netherlands,1619
2020-02-29,spain,portugal,24196
2020-02-29,italy,albania,1128
2020-02-29,italy,portugal,1176
2020-02-29,italy,netherlands,3917
2020-02-29,sweden,netherlands,1241
2020-02-29,czech republic,slovakia,15460
2020-02-29,france,portugal,6206
2020-02-29,france,netherlands,13083
2020-02-29,greece,albania,2549
2020-02-29,kosovo,albania,1833
2020-02-29,germany,slovakia,3728
2020-02-29,spain,netherlands,4868
2020-02-29,costa rica,united states,3721
2020-02-29,australia,india,1088
2020-02-29,germany,india,1231
2020-02-29,lithuania,germany,1298
2020-02-29,hungary,germany,5069
2020-02-29,slovenia,germany,1271
2020-02-29,united states,germany,5798
2020-02-29,united states,jamaica,3940
2020-02-29,norway,germany,2468
2020-02-29,croatia,germany,2148
2020-02-29,croatia,bosnia and herzegovina,10000
2020-02-29,austria,bosnia and herzegovina,3001
2020-02-29,slovenia,bosnia and herzegovina,7692
2020-02-29,costa rica,nicaragua,1107
2020-02-29,indonesia,south korea,1061
2020-02-29,vietnam,south korea,2010
2020-02-29,philippines,south korea,2287
2020-02-29,united states,south korea,1901
2020-02-29,germany,bosnia and herzegovina,2625
2020-02-29,japan,south korea,2003
2020-02-29,thailand,south korea,1600
2020-02-29,serbia,bosnia and herzegovina,3893
2020-02-29,lithuania,belarus,1243
2020-02-29,poland,belarus,1464
2020-02-29,austria,spain,1010
2020-02-29,germany,spain,9080
2020-02-29,france,germany,25110
2020-02-29,portugal,spain,14446
2020-02-29,bosnia and herzegovina,germany,1493
2020-02-29,bulgaria,germany,1806
2020-02-29,sweden,germany,4830
2020-02-29,italy,germany,17140
2020-02-29,spain,germany,7707
2020-02-29,denmark,germany,14427
2020-02-29,egypt,germany,2381
2020-02-29,austria,germany,74466
2020-02-29,haiti,jamaica,1086
2020-02-29,belgium,germany,15183
2020-02-29,switzerland,germany,29322
2020-02-29,thailand,germany,1252
2020-02-29,luxembourg,germany,14874
2020-02-29,serbia,germany,1665
2020-02-29,india,germany,1273
2020-02-29,romania,germany,8205
2020-02-29,slovakia,germany,1182
2020-02-29,ireland,germany,1088
2020-02-29,netherlands,germany,49888
2020-02-29,united kingdom,germany,10981
2020-02-29,united arab emirates,germany,1676
2020-02-29,turkey,germany,4759
2020-02-29,czech republic,germany,12207
2020-02-29,poland,germany,20437
2020-02-29,portugal,germany,1737
2020-02-29,greece,germany,1693
2020-02-29,poland,spain,1187
2020-02-29,united kingdom,spain,31511
2020-02-29,france,spain,32754
2020-02-29,japan,australia,1476
2020-02-29,switzerland,liechtenstein,1411
2020-02-29,thailand,australia,1565
2020-02-29,united kingdom,australia,1409
2020-02-29,united kingdom,jersey,1376
2020-02-29,australia,new zealand,5384
