,date,Age,Location
0,2019-01-31,91,Rouvroy
1,2019-01-31,75,Zolder
2,2019-01-31,77,Mechelen-aan-de-Maas
3,2019-01-31,66,Antwerpen
4,2019-01-31,83,Florennes
5,2019-01-31,65,Neerharen
6,2019-01-31,96,Huy
7,2019-01-31,84,Hévillers
8,2019-01-31,76,Merksem
9,2019-01-31,63,-
10,2019-01-31,87,Ham-sur-Sambre
11,2019-01-31,83,Ciney
12,2019-01-31,94,-
13,2019-01-31,87,Gent
14,2019-01-31,93,Florée
15,2019-01-31,88,Blandain
16,2019-01-31,52,Tournai
17,2019-01-31,93,-
18,2019-01-31,81,Bree
19,2019-01-31,81,Helchteren
20,2019-01-31,94,Bastogne
21,2019-01-31,92,Bottelare
22,2019-01-31,74,Mirwart
23,2019-01-31,88,Dinant
24,2019-01-31,72,Heure
25,2019-01-31,91,-
26,2019-01-31,75,Tailles
27,2019-01-31,72,Temploux
28,2019-01-31,66,Falmagne
29,2019-01-31,87,Neuville-sous-Huy
30,2019-01-31,77,Flawinne
31,2019-01-31,65,Pepinster
32,2019-01-31,86,Verviers
33,2019-01-31,100,Soye
34,2019-01-31,90,Autre-Église
35,2019-01-31,52,-
36,2019-01-31,88,Meise
37,2019-01-31,85,Lommel
38,2019-01-31,78,Éghezée
39,2019-01-31,96,Achel
40,2019-01-31,80,Koersel
41,2019-01-31,83,Bissegem
42,2019-01-31,74,
43,2019-01-31,87,Zingem
44,2019-01-31,81,Waregem
45,2019-01-31,87,Oostkamp
46,2019-01-31,93,Moha
47,2019-01-30,89,Hechtel
48,2019-01-30,87,Ellezelles
49,2019-01-30,82,Alken
50,2019-01-30,75,Rumillies
51,2019-01-30,87,Balen
52,2019-01-30,84,Kortrijk
53,2019-01-30,86,Tournai
54,2019-01-30,72,Mévergnies-Lez-Lens
55,2019-01-30,86,-
56,2019-01-30,82,Belgrade
57,2019-01-30,87,Nerem
58,2019-01-30,90,Zonhoven
59,2019-01-30,95,Veldwezelt
60,2019-01-30,89,Ostiches
61,2019-01-30,90,Velm
62,2019-01-30,91,Hasselt
63,2019-01-30,95,-
64,2019-01-30,77,Evergem
65,2019-01-30,85,Hérinnes
66,2019-01-30,92,Laken
67,2019-01-30,86,Houthalen-Helchteren
68,2019-01-30,97,Bastogne
69,2019-01-30,89,Hasselt
70,2019-01-30,91,Schaffen
71,2019-01-30,76,Lanaken
72,2019-01-30,83,Boussu-en-Fagne
73,2019-01-30,65,Tournai
74,2019-01-30,57,Héron
75,2019-01-30,92,Mechelen-aan-de-Maas
76,2019-01-30,63,Vesqueville
77,2019-01-30,76,Tongeren
78,2019-01-30,94,-
79,2019-01-30,55,Hannut
80,2019-01-30,89,Mortsel
81,2019-01-30,94,Brecht
82,2019-01-30,87,Jambes
83,2019-01-30,94,Heppen
84,2019-01-30,87,Millen
85,2019-01-30,80,Bouge
86,2019-01-29,84,Louette-Saint-Denis
87,2019-01-29,88,Loksbergen
88,2019-01-29,88,Mechelen-aan-de-Maas
89,2019-01-29,84,Perwez
90,2019-01-29,89,Mouscron
91,2019-01-29,89,Bilzen
92,2019-01-29,77,Peer
93,2019-01-29,92,Paliseul
94,2019-01-29,88,Drongen
95,2019-01-29,88,Herseaux
96,2019-01-29,60,Meulebeke
97,2019-01-29,74,Moustier
98,2019-01-29,89,Vedrin
99,2019-01-29,70,Niel
100,2019-01-29,90,Neerpelt
101,2019-01-29,59,Blicquy
102,2019-01-29,93,Pecq
103,2019-01-29,89,Genk
104,2019-01-29,51,Maubray
105,2019-01-29,92,Lier
106,2019-01-29,91,Gent
107,2019-01-29,57,Remagne
108,2019-01-29,89,Eik
109,2019-01-29,91,Mornimont
110,2019-01-29,78,
111,2019-01-29,84,Seilles
112,2019-01-29,92,Ladeuze
113,2019-01-29,62,Meslin-l'Évêque
114,2019-01-29,54,Ieper
115,2019-01-28,83,Saint-Léger
116,2019-01-28,88,Saint-Mard
117,2019-01-28,75,Gent
118,2019-01-28,78,Paal
119,2019-01-28,64,Hasselt
120,2019-01-28,76,Tessenderlo
121,2019-01-28,81,Millen
122,2019-01-28,88,Baelen
123,2019-01-28,91,-
124,2019-01-28,77,Madrid
125,2019-01-28,80,Thorembais-Saint-Trond
126,2019-01-28,74,Taintignies
127,2019-01-28,93,Langemark
128,2019-01-28,94,Chercq
129,2019-01-28,93,Saint-Sauveur
130,2019-01-28,64,Ath
131,2019-01-28,73,Rumbeke
132,2019-01-28,70,Froyennes
133,2019-01-28,72,Eisden
134,2019-01-28,91,Bouge
135,2019-01-28,82,Genk
136,2019-01-28,75,Merksem
137,2019-01-28,87,Noduwez
138,2019-01-28,73,Lommel
139,2019-01-28,65,Bilzen
140,2019-01-28,68,Kuurne
141,2019-01-28,87,Roucourt
142,2019-01-28,72,Lanklaar
143,2019-01-28,79,Opglabbeek
144,2019-01-28,70,Paliseul
145,2019-01-28,74,Wellen
146,2019-01-28,95,Ghislenghien
147,2019-01-28,88,Émines
148,2019-01-28,89,Hasselt
149,2019-01-28,70,Verviers
150,2019-01-28,77,Peer
151,2019-01-28,91,Verviers
152,2019-01-28,69,Eigenbilzen
153,2019-01-28,73,Wijshagen
154,2019-01-28,87,Bocholt
155,2019-01-28,82,Gruitrode
156,2019-01-28,74,Velm
157,2019-01-28,70,-
158,2019-01-28,72,Zichen-Zussen-Bolder
159,2019-01-28,71,Kapellen
160,2019-01-27,93,Saint-Léger
161,2019-01-27,97,Bocholt
162,2019-01-27,71,-
163,2019-01-27,46,Namur
164,2019-01-27,89,Meldert
165,2019-01-27,85,Sint-Truiden
166,2019-01-27,99,
167,2019-01-27,94,Baillonville
168,2019-01-27,97,Schoten
169,2019-01-27,88,Linkhout
170,2019-01-27,86,Overpelt
171,2019-01-27,88,Mouscron
172,2019-01-27,87,Lessines
173,2019-01-27,78,Herquegies
174,2019-01-27,94,Tongeren
175,2019-01-27,97,Hérinnes
176,2019-01-27,49,Merelbeke
177,2019-01-27,72,Templeuve
178,2019-01-27,71,Helchteren
179,2019-01-27,83,Reet
180,2019-01-27,90,Alken
181,2019-01-27,90,Saint-Léger
182,2019-01-27,86,Overpelt
183,2019-01-27,67,Deinze
184,2019-01-27,93,Bilzen
185,2019-01-27,67,Vlijtingen
186,2019-01-27,86,Maaseik
187,2019-01-27,83,-
188,2019-01-27,89,Fraiture
189,2019-01-27,84,Hoeselt
190,2019-01-27,74,Tessenderlo
191,2019-01-27,80,Rochefort
192,2019-01-27,88,Bure
193,2019-01-27,86,Kuringen
194,2019-01-27,84,Alken
195,2019-01-27,88,Kalmthout
196,2019-01-27,86,Heusden
197,2019-01-27,59,Froyennes
198,2019-01-27,64,Zonhoven
199,2019-01-27,82,Namur
200,2019-01-27,64,Tessenderlo
201,2019-01-27,91,Mopertingen
202,2019-01-27,89,Heusden
203,2019-01-27,82,Zoersel
204,2019-01-27,84,Esplechin
205,2019-01-27,90,Pittem
206,2019-01-27,77,Merelbeke
207,2019-01-27,95,Martenslinde
208,2019-01-27,97,Diepenbeek
209,2019-01-27,89,Eisden
210,2019-01-26,95,Villers-devant-Orval
211,2019-01-26,86,-
212,2019-01-26,89,Oostham
213,2019-01-26,82,Leuze-en-Hainaut
214,2019-01-26,87,Bilzen
215,2019-01-26,64,Riemst
216,2019-01-26,87,Marche-en-Famenne
217,2019-01-26,85,Beauraing
218,2019-01-26,96,Sint-Truiden
219,2019-01-26,68,Leuze-en-Hainaut
220,2019-01-26,72,Leuven
221,2019-01-26,89,Dilsen-Stokkem
222,2019-01-26,78,Carlsbourg
223,2019-01-26,79,Rumes
224,2019-01-26,60,Beauraing
