INS,FR,Langue,NL
1000,ROYAUME,,HET RIJK
4000,RÉGION DE BRUXELLES-CAPITALE,,BRUSSELS HOOFDSTEDELIJK GEWEST
21000,Arrondissement de Bruxelles-Capitale,,Arrondissement Brussel Hoofdstad
21001,Anderlecht,FN,Anderlecht
21002,Auderghem,FN,Oudergem
21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem
21004,Bruxelles,FN,Brussel
21005,Etterbeek,FN,Etterbeek
21006,Evere,FN,Evere
21007,Forest,FN,Vorst
21008,Ganshoren,FN,Ganshoren
21009,Ixelles,FN,Elsene
21010,Jette,FN,Jette
21011,Koekelberg,FN,Koekelberg
21012,Molenbeek-Saint-Jean,FN,Sint-Jans-Molenbeek
21013,Saint-Gilles,FN,Sint-Gillis
21014,Saint-Josse-ten-Noode,FN,Sint-Joost-ten-Node
21015,Schaerbeek,FN,Schaarbeek
21016,Uccle,FN,Ukkel
21017,Watermael-Boitsfort,FN,Watermaal-Bosvoorde
21018,Woluwe-Saint-Lambert,FN,Sint-Lambrechts-Woluwe
21019,Woluwe-Saint-Pierre,FN,Sint-Pieters-Woluwe
2000,RÉGION FLAMANDE,,VLAAMS GEWEST
10000,Province d'Anvers,,Provincie Antwerpen
11000,Arrondissement d'Anvers,,Arrondissement Antwerpen
11001,Aartselaar,N,Aartselaar
11002,Anvers,N,Antwerpen
11004,Boechout,N,Boechout
11005,Boom,N,Boom
11007,Borsbeek,N,Borsbeek
11008,Brasschaat,N,Brasschaat
11009,Brecht,N,Brecht
11013,Edegem,N,Edegem
11016,Essen,N,Essen
11018,Hemiksem,N,Hemiksem
11021,Hove,N,Hove
11022,Kalmthout,N,Kalmthout
11023,Kapellen,N,Kapellen
11024,Kontich,N,Kontich
11025,Lint,N,Lint
11057,Malle,N,Malle
11029,Mortsel,N,Mortsel
11030,Niel,N,Niel
11035,Ranst,N,Ranst
11037,Rumst,N,Rumst
11038,Schelle,N,Schelle
11039,Schilde,N,Schilde
11040,Schoten,N,Schoten
11044,Stabroek,N,Stabroek
11050,Wijnegem,N,Wijnegem
11052,Wommelgem,N,Wommelgem
11053,Wuustwezel,N,Wuustwezel
11054,Zandhoven,N,Zandhoven
11055,Zoersel,N,Zoersel
11056,Zwijndrecht,N,Zwijndrecht
12000,Arrondissement de Malines,,Arrondissement Mechelen
12002,Berlaar,N,Berlaar
12005,Bonheiden,N,Bonheiden
12007,Bornem,N,Bornem
12009,Duffel,N,Duffel
12014,Heist-op-den-Berg,N,Heist-op-den-Berg
12021,Lierre,N,Lier
12025,Malines,N,Mechelen
12026,Nijlen,N,Nijlen
12029,Putte,N,Putte
12041,Puurs-Sint-Amands,N,Puurs-Sint-Amands
12035,Sint-Katelijne-Waver,N,Sint-Katelijne-Waver
12040,Willebroek,N,Willebroek
13000,Arrondissement de Turnhout,,Arrondissement Turnhout
13001,Arendonk,N,Arendonk
13002,Baerle-Duc,N,Baarle-Hertog
13003,Balen,N,Balen
13004,Beerse,N,Beerse
13006,Dessel,N,Dessel
13008,Geel,N,Geel
13010,Grobbendonk,N,Grobbendonk
13011,Herentals,N,Herentals
13012,Herenthout,N,Herenthout
13013,Herselt,N,Herselt
13014,Hoogstraten,N,Hoogstraten
13016,Hulshout,N,Hulshout
13017,Kasterlee,N,Kasterlee
13053,Laakdal,N,Laakdal
13019,Lille,N,Lille
13021,Meerhout,N,Meerhout
13023,Merksplas,N,Merksplas
13025,Mol,N,Mol
13029,Olen,N,Olen
13031,Oud-Turnhout,N,Oud-Turnhout
13035,Ravels,N,Ravels
13036,Retie,N,Retie
13037,Rijkevorsel,N,Rijkevorsel
13040,Turnhout,N,Turnhout
13044,Vorselaar,N,Vorselaar
13046,Vosselaar,N,Vosselaar
13049,Westerlo,N,Westerlo
20001,Province du Brabant Flamand,,Provincie Vlaams-Brabant
23000,Arrondissement de Hal-Vilvorde,,Arrondissement Halle-Vilvoorde
23105,Affligem,N,Affligem
23002,Asse,N,Asse
23003,Beersel,N,Beersel
23009,Biévène,N,Bever
23016,Dilbeek,N,Dilbeek
23098,Drogenbos,N,Drogenbos
23023,Gammerages,N,Galmaarden
23024,Gooik,N,Gooik
23025,Grimbergen,N,Grimbergen
23027,Hal,N,Halle
23032,Herne,N,Herne
23033,Hoeilaart,N,Hoeilaart
23038,Kampenhout,N,Kampenhout
23039,Kapelle-op-den-Bos,N,Kapelle-op-den-Bos
23099,Kraainem,N,Kraainem
23104,Lennik,N,Lennik
23044,Liedekerke,N,Liedekerke
23100,Linkebeek,N,Linkebeek
23045,Londerzeel,N,Londerzeel
