INS,FR_INS,NL_INS,INS6,FR_INS6,NL_INS6,
11001,Aartselaar,Aartselaar,11001A,AARTSELAAR,AARTSELAAR,
11002,Antwerpen,Anvers,110021,WIJZIGING VAN GEMEENTEGRENS,WIJZIGING VAN GEMEENTEGRENS,
11002,Antwerpen,Anvers,11002A,1-2-3-4 ADMINISTR. WIJK OF DISTRICT,1-2-3-4 ADMINISTR. WIJK OF DISTRICT,
11002,Antwerpen,Anvers,11002B,LINKEROEVER,LINKEROEVER,
11002,Antwerpen,Anvers,11002C,5-6 ADMINISTR. WIJK OF DISTR.,5-6 ADMINISTR. WIJK OF DISTR.,
11002,Antwerpen,Anvers,11002D,7 ADMINISTR. WIJK OF DISTRICT,7 ADMINISTR. WIJK OF DISTRICT,
11002,Antwerpen,Anvers,11002E,8 ADMINISTR. WIJK OF DISTRICT,8 ADMINISTR. WIJK OF DISTRICT,
11002,Antwerpen,Anvers,11002F,9 ADMINISTR. WIJK OF DISTRICT,9 ADMINISTR. WIJK OF DISTRICT,
11002,Antwerpen,Anvers,11002G,10 ADMINISTR. WIJK OF DISTRICT,10 ADMINISTR. WIJK OF DISTRICT,
11002,Antwerpen,Anvers,11002H,11 ADMINISTR. WIJK OF DISTRICT,11 ADMINISTR. WIJK OF DISTRICT,
11002,Antwerpen,Anvers,11002J,12 ADMINISTR. WIJK OF DISTRICT,12 ADMINISTR. WIJK OF DISTRICT,
11002,Antwerpen,Anvers,11002K,2 EN 3 DISTRICT HAVENGEBIED,2 EN 3 DISTRICT HAVENGEBIED,
11002,Antwerpen,Anvers,11002L,4 EN 5 DISTRICT,4 EN 5 DISTRICT,
11002,Antwerpen,Anvers,11002M,SCHELDE,SCHELDE,
11002,Antwerpen,Anvers,11002P,EKEREN,EKEREN,
11002,Antwerpen,Anvers,11002Q,MERKSEM,MERKSEM,
11002,Antwerpen,Anvers,11002R,DEURNE,DEURNE,
11002,Antwerpen,Anvers,11002S,BORGERHOUT,BORGERHOUT,
11002,Antwerpen,Anvers,11002T,BERCHEM,BERCHEM,
11002,Antwerpen,Anvers,11002U,WILRIJK,WILRIJK,
11002,Antwerpen,Anvers,11002V,HOBOKEN,HOBOKEN,
11004,Boechout,Boechout,11004A,BOECHOUT,BOECHOUT,
11004,Boechout,Boechout,11004B,VREMDE,VREMDE,
11005,Boom,Boom,11005A,BOOM,BOOM,
11007,Borsbeek,Borsbeek,11007A,BORSBEEK,BORSBEEK,
