NIS5,POP
01000,11431406
02000,6589069
03000,3633795
04000,1208542
10000,1857986
11000,1051301
11001,14293
11002,525935
11004,13266
11005,18244
11007,10854
11008,37946
11009,29268
11013,22063
11016,19038
11018,11559
11021,8125
11022,18695
11023,26850
11024,21115
11025,8718
11029,26099
11030,10501
11035,19008
11037,15090
11038,8518
11039,19652
11040,34517
11044,18710
11050,9816
11052,12865
11053,20970
11054,13025
11055,21944
11056,19056
11057,15561
12000,344818
12002,11527
12005,15010
12007,21366
12009,17491
12014,42681
12021,36242
12025,86616
12026,22949
12029,17800
12035,20792
12040,26462
12041,25882
13000,461867
13001,13293
13002,2760
13003,22618
13004,18084
13006,9598
13008,40353
13010,11155
13011,28177
13012,9061
13013,14523
13014,21355
13016,10424
13017,18655
13019,16529
13021,10361
13023,8600
13025,36825
13029,12505
13031,13662
13035,15009
13036,11396
13037,12060
13040,44664
13044,7861
13046,11187
13049,25051
13053,16101
20001,1146175
20002,403599
21000,1208542
21001,119714
21002,34013
21003,25179
21004,181726
21005,48367
21006,41763
21007,56289
21008,24902
21009,86876
21010,52536
21011,21990
21012,97462
21013,50267
21014,27457
21015,133309
21016,83024
21017,25184
21018,56660
21019,41824
23000,637441
23002,33158
23003,25251
23009,2159
23016,42847
23023,8746
23024,9170
23025,37542
23027,39540
23032,6665
23033,11321
23038,11972
23039,9413
23044,13295
23045,18749
23047,15469
23050,19411
23052,16583
23060,14547
23062,25403
23064,4479
23077,34228
23081,12135
23086,15746
23088,44727
23094,34368
23096,23358
23097,11631
23098,5689
23099,13730
23100,4671
23101,18387
23102,16491
23103,14258
23104,9074
23105,13228
24000,508734
24001,30115
24007,10114
24008,6306
24009,10007
24011,10083
24014,12516
24016,8242
24020,23998
24028,6118
24033,14577
24038,21682
24041,6886
24043,10019
24045,9921
24048,12850
24054,7875
24055,20279
24059,15951
24062,101624
24066,14559
24086,11112
24094,16793
24104,22422
24107,34975
24109,14914
24130,8480
24133,7269
24134,23029
24135,10747
24137,5271
25000,403599
