country,indicator,date,year_week,value,source,url
Austria,Daily hospital occupancy,2020-04-01,2020-W14,856.0,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Daily hospital occupancy,2020-04-02,2020-W14,823.0,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Daily hospital occupancy,2020-04-03,2020-W14,829.0,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Daily hospital occupancy,2020-04-04,2020-W14,826.0,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Daily hospital occupancy,2020-04-05,2020-W14,712.0,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Daily hospital occupancy,2020-04-06,2020-W15,824.0,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Daily hospital occupancy,2020-04-07,2020-W15,857.0,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Daily hospital occupancy,2020-04-08,2020-W15,829.0,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Daily hospital occupancy,2020-04-09,2020-W15,820.0,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Daily hospital occupancy,2020-04-10,2020-W15,771.0,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Daily hospital occupancy,2020-04-11,2020-W15,790.0,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Daily hospital occupancy,2020-04-12,2020-W15,792.0,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Daily hospital occupancy,2020-04-13,2020-W16,742.0,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Daily hospital occupancy,2020-04-14,2020-W16,759.0,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Daily hospital occupancy,2020-04-15,2020-W16,769.0,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Daily hospital occupancy,2020-04-16,2020-W16,729.0,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Daily hospital occupancy,2020-04-17,2020-W16,682.0,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Daily hospital occupancy,2020-04-18,2020-W16,647.0,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Daily hospital occupancy,2020-04-19,2020-W16,613.0,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Daily hospital occupancy,2020-04-20,2020-W17,611.0,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
