,name,link_image,link_html
0,cases_age_groups,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/cases_age_groups-800-500.png,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/cases_age_groups.html
1,cases_age_groups_pie,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/cases_age_groups_pie-800-500.png,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/cases_age_groups_pie.html
2,cases_per_municipality_per_inhabitant,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/cases_per_municipality_per_inhabitant-800-500.png,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/cases_per_municipality_per_inhabitant.html
3,cases_per_municipality,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/cases_per_municipality-800-500.png,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/cases_per_municipality.html
4,cases_per_province_map,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/cases_per_province_map-800-500.png,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/cases_per_province_map.html
5,cases_per_province_bar,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/cases_per_province_bar-800-500.png,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/cases_per_province_bar.html
6,deaths_per_age_group,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/deaths_per_age_group-800-500.png,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/deaths_per_age_group.html
7,deaths_per_age_group_pie,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/deaths_per_age_group_pie-800-500.png,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/deaths_per_age_group_pie.html
8,hospi_bar,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/hospi_bar-800-500.png,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/hospi_bar.html
9,hospi_per_case_per_province,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/hospi_per_case_per_province-800-500.png,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/hospi_per_case_per_province.html
10,obituary_inmemoriam,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/obituary_inmemoriam-800-500.png,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/obituary_inmemoriam.html
11,obituary_sudpresse,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/obituary_sudpresse-800-500.png,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/obituary_sudpresse.html
12,obituary_dansnospensees.be,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/obituary_dansnospensees.be-800-500.png,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/obituary_dansnospensees.be.html
13,obituary_allbe.be,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/obituary_allbe.be-800-500.png,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/obituary_allbe.be.html
14,obituary_avideces.fr,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/obituary_avideces.fr-800-500.png,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/obituary_avideces.fr.html
15,obituary_rolling_ratio,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/obituary_rolling_ratio-800-500.png,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/obituary_rolling_ratio.html
16,overmortality_estimates_repartition_bar,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/overmortality_estimates_repartition_bar-800-500.png,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/overmortality_estimates_repartition_bar.html
17,overmortality_estimates_repartition_pie,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/overmortality_estimates_repartition_pie-800-500.png,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/overmortality_estimates_repartition_pie.html
18,testing_bar_plot,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/testing_bar_plot-800-500.png,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/testing_bar_plot.html
19,testing_testing_over_cases,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/testing_testing_over_cases-800-500.png,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/testing_testing_over_cases.html
20,testing_cumulative,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/testing_cumulative-800-500.png,https://covidatabe.s3.eu-central-1.amazonaws.com/2020-04-13/testing_cumulative.html
