CD_REFNIS,CD_SEX,CD_AGEGROUP,DT_DATE,NR_YEAR,MS_NUM_DEATH
2000,1,0-24,2009-01-01,2009,2
2000,1,0-24,2010-01-01,2010,1
2000,1,0-24,2012-01-01,2012,2
2000,1,0-24,2013-01-01,2013,2
2000,1,0-24,2014-01-01,2014,2
2000,1,0-24,2015-01-01,2015,3
2000,1,0-24,2016-01-01,2016,4
2000,1,0-24,2017-01-01,2017,3
2000,1,0-24,2018-01-01,2018,2
2000,1,0-24,2020-01-01,2020,1
2000,1,25-44,2009-01-01,2009,1
2000,1,25-44,2010-01-01,2010,3
2000,1,25-44,2011-01-01,2011,3
2000,1,25-44,2012-01-01,2012,6
2000,1,25-44,2013-01-01,2013,3
2000,1,25-44,2014-01-01,2014,2
2000,1,25-44,2015-01-01,2015,1
2000,1,25-44,2017-01-01,2017,2
2000,1,25-44,2018-01-01,2018,4
2000,1,25-44,2019-01-01,2019,4
2000,1,45-64,2009-01-01,2009,7
2000,1,45-64,2010-01-01,2010,7
2000,1,45-64,2011-01-01,2011,13
2000,1,45-64,2012-01-01,2012,12
2000,1,45-64,2013-01-01,2013,10
2000,1,45-64,2014-01-01,2014,15
2000,1,45-64,2015-01-01,2015,11
2000,1,45-64,2016-01-01,2016,18
2000,1,45-64,2017-01-01,2017,13
2000,1,45-64,2018-01-01,2018,18
2000,1,45-64,2019-01-01,2019,11
2000,1,45-64,2020-01-01,2020,9
2000,1,65-74,2009-01-01,2009,16
2000,1,65-74,2010-01-01,2010,17
2000,1,65-74,2011-01-01,2011,13
2000,1,65-74,2012-01-01,2012,15
2000,1,65-74,2013-01-01,2013,14
2000,1,65-74,2014-01-01,2014,21
2000,1,65-74,2015-01-01,2015,18
2000,1,65-74,2016-01-01,2016,21
2000,1,65-74,2017-01-01,2017,16
2000,1,65-74,2018-01-01,2018,14
2000,1,65-74,2019-01-01,2019,16
2000,1,65-74,2020-01-01,2020,11
2000,1,75-84,2009-01-01,2009,33
2000,1,75-84,2010-01-01,2010,29
2000,1,75-84,2011-01-01,2011,30
2000,1,75-84,2012-01-01,2012,27
2000,1,75-84,2013-01-01,2013,31
2000,1,75-84,2014-01-01,2014,23
2000,1,75-84,2015-01-01,2015,31
2000,1,75-84,2016-01-01,2016,23
2000,1,75-84,2017-01-01,2017,30
2000,1,75-84,2018-01-01,2018,35
2000,1,75-84,2019-01-01,2019,25
2000,1,75-84,2020-01-01,2020,29
2000,1,85+,2009-01-01,2009,12
2000,1,85+,2010-01-01,2010,19
2000,1,85+,2011-01-01,2011,20
2000,1,85+,2012-01-01,2012,25
2000,1,85+,2013-01-01,2013,25
2000,1,85+,2014-01-01,2014,26
2000,1,85+,2015-01-01,2015,34
2000,1,85+,2016-01-01,2016,24
2000,1,85+,2017-01-01,2017,40
2000,1,85+,2018-01-01,2018,21
2000,1,85+,2019-01-01,2019,42
2000,1,85+,2020-01-01,2020,32
2000,2,0-24,2009-01-01,2009,1
2000,2,0-24,2010-01-01,2010,1
2000,2,0-24,2013-01-01,2013,1
2000,2,0-24,2014-01-01,2014,1
2000,2,0-24,2017-01-01,2017,1
2000,2,0-24,2019-01-01,2019,1
2000,2,25-44,2009-01-01,2009,2
2000,2,25-44,2011-01-01,2011,1
2000,2,25-44,2012-01-01,2012,1
2000,2,25-44,2013-01-01,2013,1
2000,2,25-44,2014-01-01,2014,1
2000,2,25-44,2017-01-01,2017,1
2000,2,25-44,2019-01-01,2019,1
2000,2,25-44,2020-01-01,2020,6
2000,2,45-64,2009-01-01,2009,3
2000,2,45-64,2010-01-01,2010,8
2000,2,45-64,2011-01-01,2011,12
2000,2,45-64,2012-01-01,2012,7
2000,2,45-64,2013-01-01,2013,13
2000,2,45-64,2014-01-01,2014,11
2000,2,45-64,2015-01-01,2015,8
2000,2,45-64,2016-01-01,2016,8
2000,2,45-64,2017-01-01,2017,4
2000,2,45-64,2018-01-01,2018,5
2000,2,45-64,2019-01-01,2019,3
2000,2,45-64,2020-01-01,2020,12
2000,2,65-74,2009-01-01,2009,11
2000,2,65-74,2010-01-01,2010,10
2000,2,65-74,2011-01-01,2011,9
2000,2,65-74,2012-01-01,2012,17
2000,2,65-74,2013-01-01,2013,13
2000,2,65-74,2014-01-01,2014,10
2000,2,65-74,2015-01-01,2015,8
2000,2,65-74,2016-01-01,2016,7
2000,2,65-74,2017-01-01,2017,5
2000,2,65-74,2018-01-01,2018,10
2000,2,65-74,2019-01-01,2019,10
2000,2,65-74,2020-01-01,2020,17
2000,2,75-84,2009-01-01,2009,31
2000,2,75-84,2010-01-01,2010,29
2000,2,75-84,2011-01-01,2011,36
2000,2,75-84,2012-01-01,2012,29
2000,2,75-84,2013-01-01,2013,22
