NIS5,AgeGroup,COUNT
11001,0-17,2557
11001,18-34,2498
11001,35-44,1601
11001,45-54,2041
11001,55-64,2090
11001,65-74,1897
11001,75-84,1261
11001,85+,482
11002,0-17,119897
11002,18-34,127864
11002,35-44,73771
11002,45-54,64091
11002,55-64,56810
11002,65-74,42833
11002,75-84,29118
11002,85+,14863
11004,0-17,2494
11004,18-34,2543
11004,35-44,1520
11004,45-54,1851
11004,55-64,2081
11004,65-74,1496
11004,75-84,888
11004,85+,499
11005,0-17,4323
11005,18-34,3872
11005,35-44,2368
11005,45-54,2563
11005,55-64,2223
11005,65-74,1532
11005,75-84,1150
11005,85+,524
11007,0-17,2293
11007,18-34,2242
11007,35-44,1421
11007,45-54,1340
11007,55-64,1468
11007,65-74,1170
11007,75-84,735
11007,85+,280
11008,0-17,6875
11008,18-34,6737
11008,35-44,4347
11008,45-54,5121
11008,55-64,5753
11008,65-74,4806
11008,75-84,3183
11008,85+,1401
11009,0-17,5364
11009,18-34,5747
11009,35-44,3405
11009,45-54,4340
11009,55-64,4834
11009,65-74,3201
11009,75-84,1853
11009,85+,710
11013,0-17,4307
11013,18-34,4168
11013,35-44,2736
11013,45-54,2564
11013,55-64,3163
11013,65-74,2576
11013,75-84,1815
11013,85+,932
11016,0-17,3896
11016,18-34,3796
11016,35-44,2354
11016,45-54,2668
11016,55-64,2817
11016,65-74,2068
11016,75-84,1133
11016,85+,430
11018,0-17,2661
11018,18-34,2261
11018,35-44,1657
11018,45-54,1633
11018,55-64,1432
11018,65-74,1105
11018,75-84,604
11018,85+,281
11021,0-17,1615
11021,18-34,1446
11021,35-44,890
11021,45-54,1044
11021,55-64,1304
11021,65-74,1013
11021,75-84,619
11021,85+,346
11022,0-17,3670
11022,18-34,3590
11022,35-44,2212
11022,45-54,2521
11022,55-64,2657
11022,65-74,2209
11022,75-84,1378
11022,85+,635
11023,0-17,5005
11023,18-34,4741
11023,35-44,3134
11023,45-54,3704
11023,55-64,4055
11023,65-74,3097
11023,75-84,2242
11023,85+,1003
11024,0-17,4057
11024,18-34,4090
11024,35-44,2530
11024,45-54,2854
11024,55-64,3188
11024,65-74,2291
11024,75-84,1531
11024,85+,662
11025,0-17,1699
11025,18-34,1649
11025,35-44,1019
11025,45-54,1182
11025,55-64,1426
11025,65-74,923
11025,75-84,521
11025,85+,222
11029,0-17,5264
11029,18-34,5385
11029,35-44,3389
11029,45-54,3368
11029,55-64,3435
11029,65-74,2505
11029,75-84,1747
11029,85+,1064
11030,0-17,2449
11030,18-34,2223
11030,35-44,1455
11030,45-54,1421
11030,55-64,1281
11030,65-74,884
11030,75-84,552
11030,85+,281
11035,0-17,3471
11035,18-34,3563
11035,35-44,2280
11035,45-54,2610
11035,55-64,3063
11035,65-74,2320
11035,75-84,1364
11035,85+,516
11037,0-17,2964
11037,18-34,2784
11037,35-44,1907
11037,45-54,2070
11037,55-64,2148
11037,65-74,1617
11037,75-84,998
11037,85+,562
11038,0-17,1713
11038,18-34,1590
11038,35-44,1019
11038,45-54,1256
11038,55-64,1195
11038,65-74,944
11038,75-84,561
11038,85+,251
11039,0-17,3499
11039,18-34,3399
11039,35-44,2034
11039,45-54,2812
11039,55-64,3186
