Time,LiveTraffic,JamsDelay,JamsLength,JamsCount
2020-04-17 19:16:30.000,0,6.5,4.7,3
2020-04-17 19:31:30.000,0,12.3,5.5,4
2020-04-17 19:46:30.000,0,7.5,3.4,2
2020-04-17 20:01:30.000,0,15.9,5.0,3
2020-04-17 20:16:30.000,0,21.5,6.4,3
2020-04-17 20:31:30.000,0,35.1,7.2,7
2020-04-17 20:46:30.000,1,25.8,5.9,4
2020-04-17 21:01:30.000,1,6.4,1.9,3
2020-04-17 21:16:30.000,1,1.6,0.2,2
2020-04-17 21:31:30.000,1,1.4,1.3,2
2020-04-17 21:46:30.000,2,14.7,0.9,7
2020-04-17 22:01:30.000,3,18.3,3.6,7
2020-04-17 22:16:30.000,4,2.1,1.7,2
2020-04-17 22:31:30.000,4,3.6,0.4,2
2020-04-17 22:46:30.000,5,12.2,3.0,4
2020-04-17 23:01:30.000,6,19.7,3.7,6
2020-04-17 23:16:30.000,7,53.4,9.6,14
2020-04-17 23:31:30.000,8,45.0,7.9,12
2020-04-17 23:46:30.000,9,25.5,6.3,9
2020-04-18 00:01:30.000,10,41.6,5.4,12
2020-04-18 00:16:30.000,11,36.3,5.1,14
2020-04-18 00:31:30.000,12,29.7,4.7,12
2020-04-18 00:46:30.000,13,46.7,5.2,14
2020-04-18 01:01:30.000,13,66.0,8.5,24
2020-04-18 01:16:30.000,15,53.4,6.1,20
2020-04-18 01:31:30.000,15,63.2,8.0,21
2020-04-18 01:46:30.000,16,75.6,13.0,23
2020-04-18 02:01:30.000,17,86.1,12.2,30
2020-04-18 02:16:30.000,17,79.3,11.8,26
2020-04-18 02:31:30.000,17,105.3,12.1,35
2020-04-18 02:46:30.000,17,74.6,13.0,27
2020-04-18 03:01:30.000,17,62.4,9.4,23
2020-04-18 03:16:30.000,17,75.7,13.2,31
2020-04-18 03:31:30.001,17,102.4,14.8,33
2020-04-18 03:46:30.001,17,85.4,11.5,30
2020-04-18 04:01:30.000,17,74.0,14.5,31
2020-04-18 04:16:30.000,17,47.8,9.0,18
2020-04-18 04:31:30.000,16,45.9,7.0,16
2020-04-18 04:46:30.000,16,57.9,7.0,20
2020-04-18 05:01:30.000,16,59.1,10.4,25
2020-04-18 05:16:30.000,15,67.6,7.6,24
2020-04-18 05:31:30.000,15,58.0,7.9,20
2020-04-18 05:46:30.000,15,32.9,7.2,12
2020-04-18 06:01:30.000,14,31.5,7.9,13
2020-04-18 06:16:30.000,14,45.3,5.7,17
2020-04-18 06:31:30.000,14,18.3,2.0,8
2020-04-18 06:46:30.000,13,46.8,4.0,15
2020-04-18 07:01:30.000,13,37.4,4.4,15
2020-04-18 07:16:30.000,13,48.5,3.5,17
2020-04-18 07:46:30.000,13,29.8,2.5,13
2020-04-18 08:01:30.001,13,22.2,1.8,10
2020-04-18 08:16:30.000,13,29.6,1.2,9
2020-04-18 08:31:30.001,13,32.2,3.2,10
2020-04-18 08:46:30.000,12,21.6,1.4,7
2020-04-18 09:01:30.000,12,15.7,1.3,6
2020-04-18 09:16:30.001,11,37.0,3.1,11
2020-04-18 09:31:30.001,10,16.0,1.7,6
