Time,LiveTraffic,JamsDelay,JamsLength,JamsCount
2020-04-17 19:31:30.000,1,0.0,0.0,0
2020-04-17 19:46:30.000,0,0.0,0.0,0
2020-04-17 21:46:30.000,2,0.0,0.0,0
2020-04-18 00:16:30.000,3,0.0,0.0,0
2020-04-18 00:31:30.000,4,0.0,0.0,0
2020-04-18 06:31:30.000,5,0.0,0.0,0
2020-04-18 07:01:30.001,6,3.0,0.2,1
2020-04-18 07:16:30.001,7,0.0,0.0,0
2020-04-18 07:31:30.000,8,0.0,0.0,0
2020-04-18 07:46:30.000,9,4.0,0.2,1
2020-04-18 08:01:30.000,10,5.0,0.2,1
2020-04-18 08:16:30.001,12,2.0,0.0,1
2020-04-18 08:31:30.000,11,2.0,0.0,1
2020-04-18 08:46:30.001,12,2.8,0.1,1
2020-04-18 09:01:30.000,12,0.0,0.0,0
2020-04-18 09:16:30.000,13,0.0,0.0,0
2020-04-18 10:31:30.000,11,0.0,0.0,0
2020-04-18 10:46:30.000,10,0.0,0.0,0
2020-04-18 11:01:30.001,9,0.0,0.0,0
2020-04-18 15:16:30.000,12,6.0,0.9,2
2020-04-18 17:16:30.000,6,0.0,0.0,0
2020-04-19 06:31:30.000,3,2.9,0.4,1
2020-04-19 06:46:30.000,3,3.0,0.3,1
2020-04-19 09:31:30.000,8,6.7,0.7,2
2020-04-19 09:46:30.000,8,5.7,0.4,2
2020-04-20 05:46:30.000,7,4.5,0.5,2
2020-04-20 06:01:30.000,9,2.9,0.4,1
2020-04-20 09:16:30.001,12,5.1,1.6,2
2020-04-20 09:31:30.000,12,3.3,1.3,2
2020-04-20 09:46:30.000,11,0.5,1.0,1
2020-04-20 10:46:30.000,10,4.1,0.2,1
2020-04-20 11:31:30.000,9,5.7,1.3,2
2020-04-20 12:01:30.000,10,0.9,1.5,1
2020-04-20 12:31:30.000,12,1.6,1.5,1
2020-04-20 12:46:30.000,13,0.6,1.4,1
2020-04-20 13:31:30.001,14,8.7,1.8,2
2020-04-20 13:46:30.000,16,3.8,1.7,1
2020-04-20 14:01:30.000,17,20.2,3.5,4
2020-04-20 14:16:30.001,17,4.9,1.1,2
2020-04-20 14:31:30.000,16,11.0,1.3,4
2020-04-20 14:46:30.000,16,1.6,1.7,1
2020-04-20 15:01:30.000,15,3.0,2.3,1
2020-04-20 15:16:30.000,15,6.4,2.2,2
2020-04-20 15:31:30.000,14,2.3,1.0,1
2020-04-20 16:31:30.000,7,3.1,0.2,1
2020-04-20 16:46:30.000,6,3.4,0.2,1
2020-04-20 20:31:30.000,0,2.8,0.2,1
2020-04-21 07:01:30.000,9,4.1,0.3,1
2020-04-21 07:16:30.000,9,3.2,0.3,1
2020-04-21 07:31:30.000,10,1.0,0.5,1
2020-04-21 08:31:30.000,12,7.1,0.8,2
2020-04-21 08:46:30.000,12,4.7,0.6,2
2020-04-21 11:46:30.001,11,4.3,0.3,1
2020-04-21 13:16:30.000,11,2.1,0.2,1
2020-04-21 14:01:30.000,13,2.4,0.5,1
2020-04-21 14:31:30.000,14,0.0,0.0,0
2020-04-21 14:46:30.000,14,3.1,0.3,1
2020-04-21 15:01:30.000,13,3.1,0.3,1
2020-04-21 15:46:30.000,12,1.9,0.7,1
2020-04-21 16:16:30.001,9,2.8,0.3,1
2020-04-21 18:31:30.000,3,4.6,0.2,1
2020-04-21 18:46:30.000,2,4.6,0.2,1
2020-04-22 05:01:30.000,2,2.9,0.2,1
2020-04-22 09:01:30.000,13,2.1,0.2,1
2020-04-22 11:46:30.000,10,3.2,0.1,1
2020-04-22 12:01:30.000,12,5.6,0.3,2
2020-04-22 12:16:30.000,13,3.4,0.3,1
2020-04-22 12:46:30.000,13,2.4,0.3,1
2020-04-22 13:16:30.000,15,8.1,0.6,2
2020-04-22 13:46:30.000,12,2.5,0.6,1
2020-04-22 14:01:30.000,12,2.7,0.7,1
2020-04-22 14:31:30.000,14,5.7,0.8,2
2020-04-22 14:46:30.001,15,0.0,0.0,0
2020-04-22 17:01:30.000,7,4.1,0.3,1
2020-04-22 17:16:30.000,6,7.4,0.5,2
2020-04-22 17:31:30.000,5,2.4,0.1,1
2020-04-23 06:16:30.000,10,2.4,0.1,1
2020-04-23 06:31:30.001,9,3.7,0.6,2
2020-04-23 08:01:30.000,13,2.3,0.3,1
2020-04-23 09:16:30.000,12,5.4,0.2,1
2020-04-23 10:16:30.000,11,2.1,0.3,1
2020-04-23 10:31:30.000,11,1.6,0.2,1
2020-04-23 11:01:30.000,9,4.4,0.4,2
2020-04-23 11:31:30.000,11,6.1,0.5,2
2020-04-23 12:16:30.000,12,3.3,0.5,1
2020-04-23 12:31:30.001,13,2.3,0.6,1
2020-04-23 13:01:30.000,13,3.2,0.4,1
2020-04-23 13:31:30.000,14,1.3,0.2,1
2020-04-23 14:01:30.000,13,3.0,0.4,1
2020-04-23 14:16:30.000,15,6.0,0.8,3
2020-04-23 14:31:30.000,15,5.3,0.9,3
2020-04-23 14:46:30.000,14,5.4,0.2,1
2020-04-23 15:16:30.000,15,1.8,1.2,1
2020-04-23 15:31:30.000,14,3.2,0.2,1
2020-04-23 15:46:30.000,13,6.9,0.9,3
2020-04-24 08:01:30.001,13,1.8,0.5,1
2020-04-24 08:16:30.000,13,4.4,1.1,2
2020-04-24 08:46:30.000,14,6.7,0.6,2
2020-04-24 10:46:30.000,11,1.0,0.0,1
2020-04-24 11:31:30.001,10,2.2,0.2,1
2020-04-24 12:01:30.000,12,1.9,0.2,1
2020-04-24 13:31:30.000,16,0.0,0.0,0
2020-04-24 13:46:30.001,16,2.0,0.4,1
2020-04-24 14:01:30.001,16,2.4,0.2,1
2020-04-24 14:16:30.000,16,3.3,0.5,1
2020-04-24 14:31:30.000,16,2.0,0.5,1
2020-04-24 15:46:30.000,14,1.6,0.4,1
2020-04-24 16:31:30.000,10,1.9,0.3,1
