Time,LiveTraffic,JamsDelay,JamsLength,JamsCount
2020-04-13 07:16:30.000,0,5.0,0.3,2
2020-04-13 07:31:30.001,0,2.8,0.2,1
2020-04-13 07:46:30.000,0,0.0,0.0,0
2020-04-13 08:01:30.000,0,0.0,0.0,0
2020-04-13 08:16:30.000,0,0.0,0.0,0
2020-04-13 08:31:30.000,0,3.4,0.4,1
2020-04-13 08:46:30.000,0,4.2,0.4,1
2020-04-13 09:01:30.000,0,7.2,1.4,2
2020-04-13 09:16:30.000,0,8.4,2.5,4
2020-04-13 09:31:30.000,0,16.8,6.0,6
2020-04-13 09:46:30.000,3,71.6,15.8,16
2020-04-13 10:01:30.001,6,76.0,19.5,17
2020-04-13 10:16:30.000,8,46.8,16.6,15
2020-04-13 10:31:30.000,9,42.8,15.3,17
2020-04-13 10:46:30.000,11,62.5,22.0,23
2020-04-13 11:01:30.001,13,68.0,16.7,24
2020-04-13 11:16:30.000,14,52.5,11.1,17
2020-04-13 11:31:30.000,15,33.4,5.9,10
2020-04-13 11:46:30.001,15,41.5,4.9,14
2020-04-13 12:01:30.000,15,48.2,6.4,17
2020-04-13 12:16:30.000,16,46.1,6.2,16
2020-04-13 12:31:30.000,16,94.9,9.9,29
2020-04-13 12:46:30.000,16,47.9,5.4,20
2020-04-13 13:01:30.000,17,39.3,4.9,13
2020-04-13 13:16:30.000,17,82.9,8.2,28
2020-04-13 13:31:30.000,17,69.5,9.9,25
2020-04-13 13:46:30.000,18,76.0,10.9,24
2020-04-13 14:01:30.000,19,130.3,18.1,41
2020-04-13 14:16:30.000,19,87.4,13.1,32
2020-04-13 14:31:30.000,19,115.9,15.0,35
2020-04-13 14:46:30.000,19,132.8,17.7,41
2020-04-13 15:01:30.000,19,106.2,15.0,37
2020-04-13 15:16:30.000,18,104.1,11.4,36
2020-04-13 15:31:30.000,17,76.3,9.3,26
2020-04-13 15:46:30.000,16,62.9,6.6,19
2020-04-13 16:01:30.000,15,74.8,6.9,24
2020-04-13 16:16:30.000,15,59.2,5.5,16
2020-04-13 16:31:30.000,15,51.0,6.2,12
2020-04-13 16:46:30.000,15,81.3,7.6,21
2020-04-13 17:01:30.000,15,63.3,6.6,20
2020-04-13 17:16:30.001,15,98.0,8.8,30
2020-04-13 17:31:30.000,15,59.1,6.6,19
2020-04-13 17:46:30.000,16,79.8,7.8,27
2020-04-13 18:01:30.000,16,79.5,10.1,28
2020-04-13 18:16:30.000,17,92.2,13.1,28
2020-04-13 18:31:30.001,18,68.5,9.9,25
2020-04-13 18:46:30.000,18,95.9,9.7,31
2020-04-13 19:01:30.000,18,90.0,10.8,31
2020-04-13 19:16:30.001,17,90.8,10.4,31
2020-04-13 19:31:30.000,19,65.8,9.0,21
2020-04-13 19:46:30.001,19,98.4,12.7,27
2020-04-13 20:01:30.000,20,77.9,13.6,20
2020-04-13 20:16:30.000,21,84.1,16.0,30
2020-04-13 20:31:30.000,20,73.8,13.7,27
2020-04-13 20:46:30.000,21,101.0,20.3,34
2020-04-13 21:01:30.000,21,92.6,19.8,26
2020-04-13 21:16:30.001,21,104.0,20.9,26
2020-04-13 21:31:30.000,21,68.2,14.8,21
2020-04-13 21:46:30.000,19,61.2,10.6,19
2020-04-13 22:01:30.000,17,52.0,7.0,14
2020-04-13 22:16:30.000,15,60.5,5.0,17
2020-04-13 22:31:30.000,14,32.9,4.6,13
2020-04-13 22:46:30.000,12,33.5,2.3,7
2020-04-13 23:01:30.000,10,13.7,0.7,4
2020-04-13 23:16:30.000,8,11.8,1.7,5
2020-04-13 23:31:30.000,6,14.6,1.6,6
2020-04-13 23:46:30.000,4,18.8,1.0,5
2020-04-14 00:01:30.000,2,5.2,0.4,2
2020-04-14 00:16:30.000,1,14.3,0.5,3
2020-04-14 00:31:30.000,0,14.8,0.7,4
2020-04-14 00:46:30.001,0,16.8,0.6,4
2020-04-14 01:01:30.000,0,5.7,2.8,3
2020-04-14 01:16:30.000,0,8.1,0.7,3
2020-04-14 01:31:30.000,0,4.1,0.7,2
2020-04-14 01:46:00.000,0,12.4,2.2,5
2020-04-14 02:01:30.000,0,2.7,0.3,1
2020-04-14 02:16:30.000,0,5.9,1.9,2
2020-04-14 02:31:30.000,0,23.6,2.7,7
2020-04-14 02:46:30.000,0,3.3,1.0,2
2020-04-14 03:01:30.000,0,13.0,3.0,4
2020-04-14 03:16:30.000,0,3.5,1.5,2
2020-04-14 03:31:30.001,0,0.0,0.0,0
2020-04-14 03:46:30.000,0,3.6,0.1,1
2020-04-14 04:01:30.000,0,3.6,0.1,1
2020-04-14 04:16:30.000,0,3.5,0.1,1
2020-04-14 04:31:30.000,0,0.0,0.0,0
2020-04-14 04:46:30.000,0,0.0,0.0,0
2020-04-14 05:01:30.000,0,0.0,0.0,0
2020-04-14 05:16:30.001,0,0.0,0.0,0
2020-04-14 05:31:30.000,0,0.0,0.0,0
2020-04-14 05:46:30.000,0,0.0,0.0,0
2020-04-14 06:01:30.001,0,0.0,0.0,0
2020-04-14 06:16:30.000,0,0.0,0.0,0
2020-04-14 06:31:30.000,0,0.0,0.0,0
2020-04-14 06:46:30.001,0,0.0,0.0,0
2020-04-14 07:01:30.000,0,0.0,0.0,0
2020-04-14 07:16:30.000,0,0.0,0.0,0
2020-04-14 07:31:30.000,0,0.0,0.0,0
2020-04-14 07:46:30.001,0,0.0,0.0,0
2020-04-14 08:01:30.000,0,0.0,0.0,0
2020-04-14 08:16:30.000,0,0.0,0.0,0
2020-04-14 08:31:30.001,0,0.0,0.0,0
2020-04-14 08:46:30.000,0,0.0,0.0,0
2020-04-14 09:01:30.000,0,7.6,0.4,1
2020-04-14 09:16:30.000,0,44.2,5.9,7
2020-04-14 09:31:30.000,2,63.2,16.2,10
2020-04-14 09:46:30.000,5,114.5,20.9,23
2020-04-14 10:01:30.000,7,171.4,23.7,25
