Time,LiveTraffic,JamsDelay,JamsLength,JamsCount
2020-04-17 19:31:30.000,12,58.9,12.3,27
2020-04-17 19:46:30.000,12,43.0,10.6,20
2020-04-17 20:01:30.001,12,53.9,9.0,23
2020-04-17 20:16:30.000,12,47.0,10.8,22
2020-04-17 20:31:30.000,13,47.8,13.3,24
2020-04-17 20:46:30.000,12,37.9,7.7,18
2020-04-17 21:01:30.000,12,51.2,7.9,22
2020-04-17 21:16:30.000,12,42.9,5.3,15
2020-04-17 21:31:30.000,12,46.9,6.4,19
2020-04-17 21:46:30.000,11,30.9,3.8,13
2020-04-17 22:01:30.000,11,33.2,5.1,14
2020-04-17 22:16:30.000,10,29.1,3.5,12
2020-04-17 22:31:30.000,9,23.8,1.8,8
2020-04-17 22:46:30.000,8,19.6,2.4,9
2020-04-17 23:01:30.000,8,16.8,4.3,8
2020-04-17 23:16:30.000,7,27.9,4.1,14
2020-04-17 23:31:30.000,6,30.8,2.3,11
2020-04-17 23:46:30.001,5,18.7,0.9,7
2020-04-18 00:01:30.000,4,27.8,3.9,10
2020-04-18 00:16:30.000,4,10.5,0.8,6
2020-04-18 00:31:30.000,3,10.1,1.0,4
2020-04-18 00:46:30.000,3,18.9,2.3,7
2020-04-18 01:01:30.001,3,15.0,1.1,5
2020-04-18 01:16:30.001,2,25.9,3.0,11
2020-04-18 01:31:30.000,1,22.6,1.1,7
2020-04-18 01:46:30.000,0,23.8,1.5,8
2020-04-18 02:01:30.000,0,9.3,0.4,4
2020-04-18 02:16:30.000,0,12.1,0.7,5
2020-04-18 02:31:30.001,0,18.1,1.7,7
2020-04-18 02:46:30.000,0,11.6,3.8,7
2020-04-18 03:01:30.000,0,20.9,4.1,7
2020-04-18 03:16:30.001,0,5.7,2.1,2
2020-04-18 03:31:30.000,0,16.5,3.1,5
2020-04-18 03:46:30.001,0,22.4,3.3,7
2020-04-18 04:01:30.000,0,6.8,0.4,2
2020-04-18 04:16:30.000,0,2.6,1.5,2
2020-04-18 04:31:30.000,0,3.4,1.1,2
2020-04-18 04:46:30.000,0,17.9,2.0,4
2020-04-18 05:01:30.000,0,3.5,0.1,2
2020-04-18 05:16:30.000,0,2.5,0.2,1
2020-04-18 05:31:30.000,0,12.1,1.6,4
2020-04-18 05:46:30.000,0,2.5,1.2,1
2020-04-18 06:01:30.000,0,5.7,1.2,3
2020-04-18 06:16:30.000,0,7.1,0.6,3
2020-04-18 06:31:30.000,0,0.0,0.0,0
2020-04-18 07:01:30.000,0,2.6,0.4,1
2020-04-18 07:16:30.001,0,2.6,0.1,1
2020-04-18 08:01:30.001,0,3.2,1.6,2
2020-04-18 08:16:30.000,0,2.8,0.4,1
2020-04-18 08:31:30.000,0,2.9,0.2,1
2020-04-18 08:46:30.001,0,0.0,0.0,0
2020-04-18 09:01:30.000,0,0.0,0.0,0
2020-04-18 09:16:30.001,0,0.0,0.0,0
2020-04-18 09:31:30.001,0,0.0,0.0,0
2020-04-18 09:46:30.001,0,0.0,0.0,0
2020-04-18 10:01:30.000,0,0.6,0.3,1
2020-04-18 10:16:30.000,0,0.0,0.0,0
2020-04-18 10:31:30.000,0,0.6,1.2,1
2020-04-18 10:46:30.000,0,0.0,0.0,0
2020-04-18 11:01:30.000,0,0.5,0.5,1
2020-04-18 11:16:30.000,0,2.2,1.2,1
2020-04-18 11:31:30.000,0,9.2,1.8,3
2020-04-18 11:46:30.000,0,8.4,1.8,2
2020-04-18 12:01:30.001,0,16.0,2.4,2
2020-04-18 12:16:30.000,0,11.9,0.9,3
2020-04-18 12:31:30.000,0,14.8,0.6,1
2020-04-18 12:46:30.001,0,1.0,0.5,1
2020-04-18 13:01:30.000,0,5.8,1.4,3
2020-04-18 13:16:30.001,0,8.2,0.8,3
2020-04-18 13:31:30.000,0,0.0,0.0,0
2020-04-18 13:46:30.000,1,18.2,2.5,6
2020-04-18 14:01:30.000,1,14.0,2.5,5
