Time,LiveTraffic,JamsDelay,JamsLength,JamsCount
2020-04-17 19:31:30.000,0,8.6,2.2,4
2020-04-17 19:46:30.000,0,3.5,0.9,3
2020-04-17 20:01:30.000,0,6.4,0.8,3
2020-04-17 20:16:30.000,0,11.5,2.3,6
2020-04-17 20:31:30.000,0,9.4,2.8,3
2020-04-17 20:46:30.000,0,7.0,0.7,3
2020-04-17 21:01:30.000,0,18.0,1.9,4
2020-04-17 21:16:30.000,0,16.0,1.3,4
2020-04-17 21:31:30.000,0,22.2,2.3,6
2020-04-17 21:46:30.000,0,13.4,1.2,5
2020-04-17 22:01:30.000,0,19.2,1.8,7
2020-04-17 22:16:30.000,0,9.1,1.6,3
2020-04-17 22:31:30.001,0,20.1,0.8,6
2020-04-17 22:46:30.000,0,24.0,1.7,7
2020-04-17 23:01:30.001,0,25.0,2.0,7
2020-04-17 23:16:30.000,0,27.0,2.0,8
2020-04-17 23:31:30.000,0,35.6,5.6,12
2020-04-17 23:46:30.000,0,21.9,7.7,9
2020-04-18 00:01:30.000,0,53.4,11.5,16
2020-04-18 00:16:30.000,0,68.2,18.2,26
2020-04-18 00:31:30.001,0,84.0,25.2,27
2020-04-18 00:46:30.000,2,128.7,29.5,39
2020-04-18 01:01:30.000,4,126.9,29.9,40
2020-04-18 01:16:30.000,4,180.1,33.2,51
2020-04-18 01:31:30.000,6,274.8,49.6,83
2020-04-18 01:46:30.000,9,321.0,64.3,107
2020-04-18 02:01:30.001,10,381.8,79.2,115
2020-04-18 02:16:30.000,12,402.7,82.0,130
2020-04-18 02:31:30.000,13,482.9,87.1,138
2020-04-18 02:46:30.000,13,522.0,88.6,149
2020-04-18 03:01:30.000,14,516.3,84.4,138
2020-04-18 03:16:30.000,13,453.9,68.5,112
2020-04-18 03:31:30.001,12,363.1,53.8,93
2020-04-18 03:46:30.000,10,331.2,49.4,95
2020-04-18 04:01:30.000,8,291.8,33.1,79
2020-04-18 04:16:30.000,7,196.1,24.4,57
2020-04-18 04:31:30.000,5,203.0,21.3,50
2020-04-18 04:46:30.000,4,151.8,18.1,41
2020-04-18 05:01:30.000,4,115.7,16.0,33
2020-04-18 05:16:30.000,4,105.9,15.2,34
2020-04-18 05:31:30.001,4,143.9,19.5,48
2020-04-18 05:46:30.000,5,161.2,22.1,52
2020-04-18 06:01:30.032,6,201.9,28.2,62
2020-04-18 06:16:30.000,7,204.9,33.3,63
2020-04-18 06:31:30.000,8,267.2,37.7,84
2020-04-18 06:46:30.000,8,339.7,41.8,106
2020-04-18 07:01:30.000,9,353.3,40.8,100
2020-04-18 07:16:30.000,9,331.4,43.8,103
2020-04-18 07:31:30.000,9,313.0,41.7,95
2020-04-18 07:46:30.000,8,274.5,40.2,83
2020-04-18 08:01:30.000,8,253.0,33.2,78
2020-04-18 08:16:30.000,8,261.6,28.5,75
2020-04-18 08:31:30.000,9,254.6,34.0,73
2020-04-18 08:46:30.001,9,212.1,35.2,72
2020-04-18 09:01:30.000,9,178.8,35.4,62
2020-04-18 09:16:30.000,10,177.1,53.1,61
2020-04-18 09:31:30.000,10,186.9,52.7,68
2020-04-18 09:46:30.000,10,203.2,47.3,69
2020-04-18 10:01:30.000,10,175.9,46.0,64
2020-04-18 10:16:30.000,9,106.9,28.6,43
2020-04-18 10:31:30.000,7,141.5,25.8,45
