Time,LiveTraffic,JamsDelay,JamsLength,JamsCount
2020-04-13 07:16:30.000,0,2.6,0.2,1
2020-04-13 07:31:30.000,0,8.6,0.7,3
2020-04-13 07:46:30.001,0,11.0,0.7,4
2020-04-13 08:01:30.000,1,15.9,1.1,4
2020-04-13 08:16:30.000,2,26.6,1.9,8
2020-04-13 08:31:30.000,2,17.1,2.1,7
2020-04-13 08:46:30.000,2,19.7,4.9,6
2020-04-13 09:01:30.000,3,13.6,0.8,3
2020-04-13 09:16:30.000,4,34.3,1.8,7
2020-04-13 09:31:30.000,4,37.3,1.9,8
2020-04-13 09:46:30.000,5,34.8,2.6,10
2020-04-13 10:01:30.001,5,28.0,2.2,8
2020-04-13 10:16:30.000,6,30.8,5.0,11
2020-04-13 10:31:30.000,6,24.8,1.3,8
2020-04-13 10:46:30.000,7,16.9,2.9,7
2020-04-13 11:01:30.000,7,33.2,5.7,12
2020-04-13 11:16:30.001,8,13.1,1.1,5
2020-04-13 11:31:30.000,8,22.6,0.8,7
2020-04-13 11:46:30.001,8,31.7,3.2,12
2020-04-13 12:01:30.000,8,48.9,4.4,17
2020-04-13 12:16:30.001,8,38.6,5.4,14
2020-04-13 12:31:30.001,8,54.9,6.6,18
2020-04-13 12:46:30.000,8,51.6,3.4,18
2020-04-13 13:01:30.000,8,59.6,4.6,23
2020-04-13 13:16:30.000,9,68.7,6.4,23
2020-04-13 13:31:30.000,8,57.9,4.4,21
2020-04-13 13:46:30.000,9,53.8,4.9,19
2020-04-13 14:01:30.000,9,29.7,2.5,10
2020-04-13 14:16:30.000,9,53.7,5.4,18
2020-04-13 14:31:30.000,9,49.4,3.7,16
2020-04-13 14:46:30.000,9,68.0,4.7,22
2020-04-13 15:01:30.000,9,44.7,2.4,13
2020-04-13 15:16:30.000,9,46.6,2.2,11
2020-04-13 15:31:30.000,9,37.9,2.8,11
2020-04-13 15:46:30.000,9,49.7,2.6,13
2020-04-13 16:01:30.000,9,71.4,4.3,23
2020-04-13 16:16:30.000,9,74.5,5.6,22
2020-04-13 16:31:30.000,9,49.2,4.3,11
2020-04-13 16:46:30.000,8,37.1,1.9,10
2020-04-13 17:01:30.001,8,31.9,2.8,11
2020-04-13 17:16:30.000,7,23.4,2.2,8
2020-04-13 17:31:30.000,7,46.6,2.7,15
2020-04-13 17:46:30.000,6,31.9,1.9,8
2020-04-13 18:01:30.000,6,39.9,3.5,13
2020-04-13 18:16:30.000,5,63.3,4.8,22
2020-04-13 18:31:30.000,5,43.6,3.9,15
2020-04-13 18:46:30.000,4,42.0,3.8,15
2020-04-13 19:01:30.001,3,50.4,3.4,20
2020-04-13 19:16:30.000,2,30.2,2.0,11
2020-04-13 19:31:30.000,3,17.2,1.4,6
2020-04-13 19:46:30.000,2,45.7,3.4,16
2020-04-13 20:01:30.000,2,32.1,3.3,13
2020-04-13 20:16:30.000,1,38.0,2.2,11
2020-04-13 20:31:30.000,0,38.5,2.3,10
2020-04-13 20:46:30.000,0,21.3,1.8,9
2020-04-13 21:01:30.000,0,23.4,2.9,8
2020-04-13 21:16:30.000,0,24.4,2.0,9
2020-04-13 21:31:30.000,0,23.9,2.9,9
2020-04-13 21:46:30.000,0,23.7,1.1,6
2020-04-13 22:01:30.000,0,11.9,0.8,4
2020-04-13 22:16:30.000,0,12.1,3.0,5
2020-04-13 22:31:30.000,0,10.2,1.1,4
2020-04-13 22:46:30.000,0,10.9,1.0,4
2020-04-13 23:01:30.000,0,23.6,1.9,8
2020-04-13 23:16:30.000,0,23.5,2.0,7
2020-04-13 23:31:30.000,0,11.3,2.4,4
2020-04-13 23:46:30.000,0,10.0,0.6,4
2020-04-14 00:01:30.000,0,2.0,0.2,1
2020-04-14 00:16:30.000,0,4.2,0.2,1
2020-04-14 00:31:30.001,0,3.6,0.2,1
2020-04-14 00:46:30.000,0,6.4,2.0,3
2020-04-14 01:01:30.001,0,4.2,2.6,3
2020-04-14 01:16:30.000,0,17.1,1.0,5
2020-04-14 01:31:30.000,0,11.1,0.7,3
2020-04-14 01:46:30.000,0,8.1,4.9,3
2020-04-14 02:01:30.000,0,5.5,0.5,2
2020-04-14 02:16:30.000,0,9.9,0.5,2
2020-04-14 02:31:30.000,0,15.0,0.6,3
2020-04-14 02:46:30.000,0,13.2,1.2,4
2020-04-14 03:01:30.000,0,8.5,0.6,4
2020-04-14 03:16:30.000,0,6.6,2.1,3
2020-04-14 03:31:30.000,0,8.7,0.5,2
2020-04-14 03:46:30.001,0,6.7,0.5,2
2020-04-14 04:01:30.000,0,0.0,0.0,0
2020-04-14 04:16:30.000,0,5.3,0.5,2
2020-04-14 04:31:30.000,0,1.6,0.1,1
2020-04-14 04:46:30.000,0,3.7,0.3,2
2020-04-14 05:01:30.001,0,10.0,0.5,2
2020-04-14 05:16:30.000,0,8.4,1.2,3
2020-04-14 05:31:30.000,0,9.3,1.5,3
2020-04-14 05:46:30.001,0,53.1,7.6,14
2020-04-14 06:01:30.000,3,85.6,12.7,21
2020-04-14 06:16:30.000,6,104.4,19.1,28
2020-04-14 06:31:30.000,9,157.7,25.6,42
2020-04-14 06:46:30.000,11,161.0,23.8,40
2020-04-14 07:01:30.000,13,121.5,17.4,36
2020-04-14 07:16:30.000,13,49.3,5.9,16
2020-04-14 07:31:30.000,13,85.0,9.2,26
2020-04-14 07:46:30.000,13,98.6,10.5,29
2020-04-14 08:01:30.000,13,107.0,11.4,27
2020-04-14 08:16:30.000,12,63.6,4.8,15
2020-04-14 08:31:30.001,11,73.3,6.2,22
2020-04-14 08:46:30.000,11,75.3,9.2,22
2020-04-14 09:01:30.000,11,59.4,7.5,24
2020-04-14 09:16:30.001,11,79.8,8.5,25
2020-04-14 09:31:30.001,11,106.8,10.4,32
2020-04-14 09:46:30.001,11,80.0,7.0,25
2020-04-14 10:01:30.000,12,97.1,10.5,29
2020-04-14 10:16:30.000,12,110.9,11.5,30
2020-04-14 10:31:30.001,12,102.3,9.8,30
2020-04-14 10:46:30.000,12,133.4,12.2,43
2020-04-14 11:01:30.001,13,147.3,13.2,46
2020-04-14 11:16:30.000,13,113.1,10.8,30
2020-04-14 11:31:30.000,13,122.3,11.2,38
2020-04-14 11:46:30.000,12,132.3,14.9,40
2020-04-14 12:01:30.000,12,142.4,12.8,37
2020-04-14 12:16:30.000,13,143.2,15.0,40
2020-04-14 12:31:30.000,13,133.7,12.9,38
2020-04-14 12:46:30.000,13,152.9,12.7,43
2020-04-14 13:01:30.000,13,147.8,14.8,46
2020-04-14 13:16:30.000,13,161.2,19.2,48
2020-04-14 13:31:30.001,13,195.9,19.3,59
2020-04-14 13:46:30.000,14,194.7,19.1,56
2020-04-14 14:01:30.000,14,113.3,12.3,33
2020-04-14 14:16:30.000,14,159.2,16.8,42
2020-04-14 14:31:30.001,15,159.0,16.8,46
2020-04-14 14:46:30.000,15,174.2,21.1,54
2020-04-14 15:01:30.000,15,163.2,17.4,43
2020-04-14 15:16:30.000,15,180.8,20.3,53
2020-04-14 15:31:30.000,16,158.2,20.0,43
2020-04-14 15:46:30.000,16,155.9,20.7,42
2020-04-14 16:01:30.000,17,191.1,23.0,48
2020-04-14 16:16:30.000,17,176.8,19.7,54
2020-04-14 16:31:30.000,17,186.1,20.3,50
2020-04-14 16:46:30.000,17,180.8,23.4,47
2020-04-14 17:01:30.000,16,128.7,12.7,33
2020-04-14 17:16:30.000,15,115.4,9.4,27
2020-04-14 17:31:30.000,14,106.4,8.9,33
2020-04-14 17:46:30.001,13,61.9,6.0,23
2020-04-14 18:01:30.000,12,74.3,5.0,19
2020-04-14 18:16:30.000,10,51.4,5.0,18
2020-04-14 18:31:30.000,9,49.6,3.2,16
2020-04-14 18:46:30.000,8,65.8,4.9,20
2020-04-14 19:01:30.000,6,60.1,3.5,20
2020-04-14 19:16:30.000,6,55.5,5.2,19
2020-04-14 19:31:30.000,5,35.1,2.9,12
2020-04-14 19:46:30.000,4,32.8,2.5,13
2020-04-14 20:01:30.000,3,28.2,2.0,11
2020-04-14 20:16:30.000,2,40.2,2.3,13
2020-04-14 20:31:30.000,1,42.7,2.6,11
2020-04-14 20:46:30.000,0,56.1,3.5,18
2020-04-14 21:01:30.000,0,31.6,5.6,12
2020-04-14 21:16:30.000,0,23.1,6.7,8
2020-04-14 21:31:30.000,0,15.2,0.7,5
2020-04-14 21:46:30.000,0,21.4,7.5,11
2020-04-14 22:01:30.000,0,10.3,5.9,5
2020-04-14 22:16:30.000,0,5.4,8.4,4
2020-04-14 22:31:30.001,0,16.3,9.5,6
2020-04-14 22:46:30.001,0,27.8,15.7,11
2020-04-14 23:01:30.001,0,17.5,13.3,9
2020-04-14 23:16:30.000,0,7.7,8.1,4
2020-04-14 23:31:30.000,0,15.6,12.8,8
2020-04-14 23:46:30.000,0,23.5,7.4,9
2020-04-15 00:01:30.000,0,12.5,5.9,5
2020-04-15 00:16:30.001,0,28.4,8.7,9
2020-04-15 00:31:30.000,0,18.5,6.4,6
2020-04-15 00:46:30.000,0,12.3,6.4,6
2020-04-15 01:01:30.001,0,17.9,1.3,3
2020-04-15 01:16:30.000,0,17.7,1.3,2
2020-04-15 01:31:30.000,0,18.0,7.0,7
2020-04-15 01:46:30.000,0,11.7,4.0,5
2020-04-15 02:01:30.000,0,11.3,4.2,3
2020-04-15 02:16:30.000,0,16.8,1.1,3
2020-04-15 02:31:30.000,0,5.1,5.9,4
2020-04-15 02:46:30.000,0,7.1,4.6,4
2020-04-15 03:01:30.000,0,15.1,4.0,4
2020-04-15 03:16:30.000,0,4.9,2.9,2
2020-04-15 03:31:30.000,0,0.7,1.4,1
2020-04-15 03:46:30.000,0,0.9,3.4,2
2020-04-15 04:01:30.000,0,0.8,2.8,1
2020-04-15 04:16:30.000,0,0.0,0.0,0
