Time,LiveTraffic,JamsDelay,JamsLength,JamsCount
2020-04-13 07:16:30.000,1,0.0,0.0,0
2020-04-13 07:31:30.000,2,4.9,1.5,2
2020-04-13 07:46:30.001,2,2.3,1.2,1
2020-04-13 08:01:30.000,2,0.0,0.0,0
2020-04-13 08:16:30.001,3,0.5,1.0,1
2020-04-13 08:31:30.000,4,7.5,2.8,4
2020-04-13 08:46:30.000,4,0.6,0.4,1
2020-04-13 09:01:30.000,4,2.5,0.2,1
2020-04-13 09:16:30.000,4,2.3,0.2,1
2020-04-13 09:31:30.001,4,7.5,2.3,4
2020-04-13 09:46:30.000,4,11.4,1.4,3
2020-04-13 10:01:30.001,4,11.3,0.9,4
2020-04-13 10:16:30.000,4,3.0,0.3,1
2020-04-13 10:31:30.000,4,0.0,0.0,0
2020-04-13 10:46:30.000,4,0.0,0.0,0
2020-04-13 11:01:30.000,4,6.7,2.2,1
2020-04-13 11:16:30.000,4,6.9,2.5,3
2020-04-13 11:31:30.000,3,0.0,0.0,0
2020-04-13 11:46:30.000,4,9.5,2.1,3
2020-04-13 12:01:30.001,4,7.3,1.5,2
2020-04-13 12:16:30.000,4,16.0,1.7,3
2020-04-13 12:31:30.000,4,18.1,2.9,2
2020-04-13 12:46:30.000,4,6.9,1.1,1
2020-04-13 13:01:30.000,4,0.0,0.0,0
2020-04-13 13:16:30.000,4,2.6,0.8,1
2020-04-13 13:31:30.000,4,1.0,2.8,2
2020-04-13 13:46:30.000,5,8.5,2.4,4
2020-04-13 14:01:30.000,5,4.7,1.9,2
2020-04-13 14:16:30.000,6,5.1,1.9,3
2020-04-13 14:31:30.000,7,8.5,1.0,2
2020-04-13 14:46:30.000,7,0.0,0.0,0
2020-04-13 15:01:30.000,6,5.4,0.5,1
2020-04-13 15:16:30.000,7,10.6,2.1,4
2020-04-13 15:31:30.000,7,6.5,1.6,2
2020-04-13 15:46:30.000,8,11.6,3.0,4
2020-04-13 16:01:30.000,8,17.3,3.7,6
2020-04-13 16:16:30.000,8,6.9,1.2,3
2020-04-13 16:31:30.000,8,3.4,1.0,2
2020-04-13 16:46:30.000,9,7.1,1.8,3
2020-04-13 17:01:30.000,9,9.0,1.3,3
2020-04-13 17:16:30.000,8,16.7,2.3,4
2020-04-13 17:31:30.000,7,2.5,0.5,1
2020-04-13 17:46:30.000,7,7.3,1.8,3
2020-04-13 18:01:30.000,8,19.9,5.5,5
2020-04-13 18:16:30.000,8,20.6,5.8,6
2020-04-13 18:31:30.000,7,12.9,2.4,5
2020-04-13 18:46:30.000,7,5.7,1.8,3
2020-04-13 19:01:30.000,7,20.6,10.4,8
2020-04-13 19:16:30.000,5,17.3,3.1,5
2020-04-13 19:31:30.000,5,3.9,1.6,2
2020-04-13 19:46:30.000,5,21.6,4.6,6
2020-04-13 20:01:30.000,5,8.5,2.5,4
2020-04-13 20:16:30.001,5,12.3,3.5,4
2020-04-13 20:31:30.001,5,11.4,4.7,4
2020-04-13 20:46:30.000,5,41.1,6.1,5
2020-04-13 21:01:30.000,4,7.9,1.6,3
2020-04-13 21:16:30.000,3,12.0,1.8,4
2020-04-13 21:31:30.000,3,12.8,2.2,3
2020-04-13 21:46:30.000,1,0.0,0.0,0
2020-04-13 22:01:30.000,1,1.5,2.1,1
2020-04-13 22:16:30.000,0,1.0,2.1,1
2020-04-13 22:31:30.000,0,0.0,0.0,0
2020-04-13 22:46:30.000,0,0.0,0.0,0
2020-04-13 23:01:30.000,0,0.0,0.0,0
2020-04-13 23:16:30.000,0,0.0,0.0,0
2020-04-13 23:31:30.000,0,0.0,0.0,0
2020-04-13 23:46:30.000,0,0.0,0.0,0
2020-04-14 00:01:30.000,0,0.0,0.0,0
2020-04-14 00:16:30.000,0,0.0,0.0,0
2020-04-14 00:31:30.000,0,0.0,0.0,0
2020-04-14 00:46:30.001,0,0.0,0.0,0
2020-04-14 01:01:30.000,0,0.0,0.0,0
2020-04-14 01:16:30.000,0,0.9,0.2,1
2020-04-14 01:31:30.000,0,1.0,0.2,1
2020-04-14 01:46:30.000,0,0.6,1.9,1
2020-04-14 02:01:30.000,0,0.0,0.0,0
2020-04-14 02:16:30.000,0,0.0,0.0,0
2020-04-14 02:31:30.001,0,0.0,0.0,0
2020-04-14 02:46:30.001,0,0.0,0.0,0
2020-04-14 03:01:30.000,0,0.0,0.0,0
2020-04-14 03:16:30.000,0,0.0,0.0,0
2020-04-14 03:31:30.000,0,0.0,0.0,0
2020-04-14 03:46:30.000,0,3.7,0.2,1
2020-04-14 04:01:30.000,0,3.3,0.8,2
2020-04-14 04:16:30.000,0,1.3,0.7,1
2020-04-14 04:31:30.000,0,4.6,0.2,1
2020-04-14 04:46:30.000,0,2.8,1.8,2
2020-04-14 05:01:30.000,0,1.5,1.3,1
2020-04-14 05:16:30.000,2,0.8,1.1,1
2020-04-14 05:31:30.000,4,7.8,4.7,5
2020-04-14 05:46:30.000,7,17.1,5.3,8
2020-04-14 06:01:30.000,9,21.6,8.4,9
2020-04-14 06:16:30.000,10,31.2,14.0,13
2020-04-14 06:31:30.000,10,33.1,15.7,12
2020-04-14 06:46:30.000,11,29.2,9.3,8
2020-04-14 07:01:30.000,11,15.7,7.1,6
2020-04-14 07:16:30.000,11,12.5,4.6,4
2020-04-14 07:31:30.000,11,21.0,7.6,10
2020-04-14 07:46:30.000,10,5.5,4.2,4
2020-04-14 08:01:30.001,10,10.7,1.9,4
2020-04-14 08:16:30.000,10,4.7,1.3,2
2020-04-14 08:31:30.000,9,7.2,1.5,3
2020-04-14 08:46:30.000,9,12.7,2.4,5
2020-04-14 09:01:30.000,10,9.4,2.7,5
2020-04-14 09:16:30.001,10,10.1,2.0,5
2020-04-14 09:31:30.000,10,20.1,5.4,9
2020-04-14 09:46:30.000,10,20.0,2.5,7
2020-04-14 10:01:30.000,10,31.8,8.6,14
2020-04-14 10:16:30.000,9,17.6,3.9,8
2020-04-14 10:31:30.000,8,7.8,3.8,4
2020-04-14 10:46:30.000,7,11.5,0.9,4
2020-04-14 11:01:30.000,7,15.0,2.1,6
2020-04-14 11:16:30.000,7,6.7,2.3,4
2020-04-14 11:31:30.000,6,0.7,0.7,1
2020-04-14 11:46:30.000,6,0.0,0.0,0
2020-04-14 12:01:30.000,6,6.6,1.5,3
2020-04-14 12:16:30.000,6,10.4,3.4,6
2020-04-14 12:31:30.000,7,13.4,3.0,6
2020-04-14 12:46:30.001,7,4.0,1.8,3
2020-04-14 13:01:30.000,7,11.4,3.2,6
2020-04-14 13:16:30.000,8,12.6,4.2,7
2020-04-14 13:31:30.000,8,14.1,3.1,5
2020-04-14 13:46:30.000,9,8.2,3.1,6
2020-04-14 14:01:30.002,10,10.1,3.3,5
2020-04-14 14:16:30.000,10,31.1,6.0,12
2020-04-14 14:31:30.000,10,27.2,4.4,9
2020-04-14 14:46:30.000,11,24.5,6.0,7
2020-04-14 15:01:30.000,11,20.9,3.8,7
2020-04-14 15:16:30.000,12,9.6,1.6,3
2020-04-14 15:31:30.000,11,17.8,3.9,7
2020-04-14 15:46:30.000,11,5.2,1.3,3
2020-04-14 16:01:30.001,11,19.9,5.9,8
2020-04-14 16:16:30.000,11,23.7,3.6,9
2020-04-14 16:31:30.000,10,26.3,7.2,12
2020-04-14 16:46:30.000,10,10.4,2.0,4
2020-04-14 17:01:30.051,9,13.0,1.4,4
2020-04-14 17:16:30.000,8,24.6,4.3,7
2020-04-14 17:31:30.001,7,12.9,2.4,5
2020-04-14 17:46:30.001,7,25.5,4.8,8
2020-04-14 18:01:30.000,6,16.3,2.7,4
2020-04-14 18:16:30.000,6,17.9,4.4,6
2020-04-14 18:31:30.000,5,16.3,3.2,5
2020-04-14 18:46:30.000,5,2.3,0.6,1
2020-04-14 19:01:30.000,6,3.6,0.8,1
2020-04-14 19:16:30.000,5,12.9,4.1,4
2020-04-14 19:31:30.000,4,20.5,5.9,5
2020-04-14 19:46:30.000,3,19.9,5.4,5
2020-04-14 20:01:30.000,2,18.9,5.3,4
2020-04-14 20:16:30.000,2,9.9,5.1,5
2020-04-14 20:31:30.000,2,37.1,7.7,6
2020-04-14 20:46:30.000,2,12.2,5.6,5
2020-04-14 21:01:30.000,1,10.2,4.1,2
2020-04-14 21:16:30.000,1,24.9,4.9,3
2020-04-14 21:31:30.000,2,20.7,4.6,5
2020-04-14 21:46:30.000,2,12.5,1.9,2
2020-04-14 22:01:30.000,2,21.5,4.4,4
2020-04-14 22:16:30.001,1,7.2,0.1,1
2020-04-14 22:31:30.000,0,9.9,1.7,2
2020-04-14 22:46:30.000,1,12.1,1.7,3
2020-04-14 23:01:30.001,1,13.3,3.0,3
2020-04-14 23:16:30.000,1,4.8,2.7,2
2020-04-14 23:31:30.000,1,0.5,1.2,1
2020-04-14 23:46:30.000,0,0.5,1.2,1
2020-04-15 00:01:30.000,0,0.0,0.0,0
2020-04-15 00:16:30.001,0,1.0,0.4,1
2020-04-15 00:31:30.000,0,5.2,1.0,2
2020-04-15 00:46:30.000,0,0.0,0.0,0
2020-04-15 01:01:30.001,0,0.0,0.0,0
2020-04-15 01:16:30.000,0,0.0,0.0,0
2020-04-15 01:31:30.000,0,0.0,0.0,0
2020-04-15 01:46:30.000,0,0.9,0.3,1
2020-04-15 02:01:30.001,0,0.5,0.6,1
2020-04-15 02:16:30.000,0,0.0,0.0,0
2020-04-15 02:31:30.000,0,0.6,1.5,1
2020-04-15 02:46:30.000,0,0.0,0.0,0
2020-04-15 03:01:30.000,0,0.0,0.0,0
2020-04-15 03:16:30.000,0,0.0,0.0,0
2020-04-15 03:31:30.000,0,0.0,0.0,0
2020-04-15 03:46:30.000,0,0.0,0.0,0
2020-04-15 04:01:30.000,0,0.0,0.0,0
2020-04-15 04:16:30.000,0,0.0,0.0,0
2020-04-15 04:31:30.000,0,0.0,0.0,0
2020-04-15 04:46:30.001,0,1.1,1.2,1
2020-04-15 05:01:30.000,0,1.4,1.5,2
2020-04-15 05:16:30.000,2,3.4,2.3,4
2020-04-15 05:31:30.000,4,7.1,6.4,7
2020-04-15 05:46:30.000,7,6.3,4.6,3
2020-04-15 06:01:30.000,9,14.4,8.7,7
2020-04-15 06:16:30.000,10,13.5,5.5,5
2020-04-15 06:31:30.000,10,13.1,6.7,5
2020-04-15 06:46:30.001,10,23.7,7.6,9
2020-04-15 07:01:30.000,10,7.1,6.1,6
2020-04-15 07:16:30.001,10,8.6,5.2,5
2020-04-15 07:31:30.000,10,7.1,3.9,5
2020-04-15 07:46:30.000,10,2.0,3.2,3
2020-04-15 08:01:30.000,10,18.0,5.3,8
2020-04-15 08:16:30.001,10,9.6,3.1,5
2020-04-15 08:31:30.000,10,11.5,2.0,5
2020-04-15 08:46:30.000,10,6.6,1.4,4
2020-04-15 09:01:30.000,10,8.8,4.6,5
2020-04-15 09:31:30.000,10,19.9,4.8,9
2020-04-15 09:46:30.000,10,9.9,1.7,4
2020-04-15 10:01:30.000,10,8.3,0.9,3
2020-04-15 10:16:30.000,9,7.1,3.7,5
2020-04-15 10:31:30.000,8,8.2,2.3,4
2020-04-15 10:46:30.000,8,14.5,3.6,7
2020-04-15 11:01:30.000,7,12.2,2.4,5
2020-04-15 11:16:30.000,6,4.4,2.5,2
2020-04-15 11:31:30.000,6,2.9,1.8,2
2020-04-15 11:46:30.000,7,6.5,1.6,3
2020-04-15 12:01:30.000,7,16.3,1.3,4
2020-04-15 12:16:30.001,7,26.4,3.2,6
2020-04-15 12:31:30.001,7,16.8,4.1,5
2020-04-15 12:46:30.000,7,4.7,2.5,3
2020-04-15 13:01:30.000,8,6.3,1.1,2
2020-04-15 13:16:30.000,8,13.0,1.9,6
2020-04-15 13:31:30.000,8,9.1,2.7,5
2020-04-15 13:46:30.000,9,9.6,2.8,5
2020-04-15 14:01:30.000,9,8.6,3.6,5
2020-04-15 14:16:30.000,9,18.4,4.1,7
2020-04-15 14:31:30.000,10,9.3,2.1,5
2020-04-15 14:46:30.000,10,19.2,3.4,9
2020-04-15 15:01:30.000,11,8.5,3.8,6
2020-04-15 15:16:30.000,11,6.3,2.7,6
2020-04-15 15:31:30.000,12,18.5,3.5,7
2020-04-15 15:46:30.000,11,30.9,9.5,13
2020-04-15 16:01:30.001,11,29.8,8.2,12
2020-04-15 16:16:30.000,11,28.4,6.0,10
2020-04-15 16:31:30.000,10,21.4,6.0,9
2020-04-15 16:46:30.000,10,9.5,3.0,6
