Time,LiveTraffic,JamsDelay,JamsLength,JamsCount
2020-04-13 07:16:30.000,9,6.6,0.8,1
2020-04-13 07:31:30.000,10,8.6,1.4,2
2020-04-13 07:46:30.000,10,8.8,1.8,2
2020-04-13 08:01:30.000,9,11.9,2.4,2
2020-04-13 08:16:30.000,10,8.8,3.2,4
2020-04-13 08:31:30.000,11,6.5,2.8,4
2020-04-13 08:46:30.000,10,5.3,2.2,3
2020-04-13 09:01:30.000,12,21.6,1.9,3
2020-04-13 09:16:30.000,13,24.1,2.0,2
2020-04-13 09:31:30.000,13,12.3,2.7,4
2020-04-13 09:46:30.000,13,9.3,2.3,5
2020-04-13 10:01:30.000,12,5.8,1.5,3
2020-04-13 10:16:30.001,12,1.8,0.8,2
2020-04-13 10:31:30.000,11,12.6,1.5,4
2020-04-13 10:46:30.000,12,13.7,2.1,5
2020-04-13 11:01:30.001,11,9.3,0.7,3
2020-04-13 11:16:30.000,10,2.2,0.6,2
2020-04-13 11:31:30.001,9,10.7,0.5,2
2020-04-13 11:46:30.000,8,10.7,1.2,4
2020-04-13 12:01:30.000,7,5.0,0.8,2
2020-04-13 12:16:30.000,5,6.9,0.4,2
2020-04-13 12:31:30.001,5,0.7,0.5,1
2020-04-13 12:46:30.000,5,0.8,0.2,1
2020-04-13 13:01:30.000,6,17.5,2.5,4
2020-04-13 13:16:30.000,6,7.6,0.5,3
2020-04-13 13:31:30.000,7,10.0,0.9,3
2020-04-13 13:46:30.000,8,11.9,2.0,4
2020-04-13 14:01:30.000,10,7.4,2.5,2
2020-04-13 14:16:30.000,11,5.3,1.2,4
2020-04-13 14:31:30.001,11,7.9,1.9,4
2020-04-13 14:46:30.000,12,0.7,0.7,1
2020-04-13 15:01:30.000,12,0.9,0.5,1
2020-04-13 15:16:30.000,13,6.4,0.9,3
2020-04-13 15:31:30.000,14,2.6,3.6,3
2020-04-13 15:46:30.000,15,7.4,1.9,4
2020-04-13 16:01:30.001,17,22.5,3.7,7
2020-04-13 16:16:30.000,18,10.6,3.0,6
2020-04-13 16:31:30.000,18,3.4,1.4,2
2020-04-13 16:46:30.000,18,6.8,1.4,4
2020-04-13 17:01:30.000,19,22.4,8.4,9
2020-04-13 17:16:30.000,19,12.2,3.3,5
2020-04-13 17:31:30.001,18,12.8,6.0,4
2020-04-13 17:46:30.000,16,3.2,2.0,2
2020-04-13 18:01:30.000,15,1.4,0.9,1
