Time,LiveTraffic,JamsDelay,JamsLength,JamsCount
2020-04-17 19:31:30.000,0,31.9,1.1,8
2020-04-17 19:46:30.000,0,47.1,2.1,12
2020-04-17 20:01:30.000,0,26.6,1.8,9
2020-04-17 20:16:30.000,0,17.8,0.9,4
2020-04-17 20:31:30.000,0,15.4,2.1,7
2020-04-17 20:46:30.000,0,26.8,1.8,8
2020-04-17 21:01:30.000,0,15.8,0.9,5
2020-04-17 21:16:30.000,0,32.1,2.5,8
2020-04-17 21:31:30.000,0,16.4,0.9,6
2020-04-17 21:46:30.000,0,10.1,0.7,5
2020-04-17 22:01:30.000,0,17.2,0.9,5
2020-04-17 22:16:30.000,0,38.6,2.8,9
2020-04-17 22:31:30.000,0,27.7,1.9,7
2020-04-17 22:46:30.001,0,25.0,1.9,9
2020-04-17 23:01:30.000,0,3.0,0.4,2
2020-04-17 23:16:30.000,0,18.6,2.7,7
2020-04-17 23:31:30.000,0,15.7,1.0,4
2020-04-17 23:46:30.000,0,5.4,0.4,2
2020-04-18 00:01:30.001,0,7.9,0.5,3
2020-04-18 00:16:30.000,0,19.0,1.8,7
2020-04-18 00:31:30.000,0,22.0,1.1,6
2020-04-18 00:46:30.000,0,13.2,1.8,4
2020-04-18 01:01:30.000,0,5.2,0.7,2
2020-04-18 01:16:30.001,0,3.2,0.7,2
2020-04-18 01:31:30.000,0,10.6,0.8,3
2020-04-18 01:46:30.000,0,15.9,1.1,4
2020-04-18 02:01:30.001,0,26.0,2.7,6
2020-04-18 02:16:30.000,0,10.6,1.0,4
2020-04-18 02:31:30.000,0,0.0,0.0,0
2020-04-18 02:46:30.000,0,12.2,1.9,4
2020-04-18 03:01:30.000,0,13.4,0.7,3
2020-04-18 03:16:30.000,0,4.0,0.2,1
2020-04-18 03:31:30.000,0,5.3,1.5,3
2020-04-18 03:46:30.000,0,16.4,1.5,5
2020-04-18 04:01:30.000,0,13.5,1.6,4
2020-04-18 04:16:30.001,0,12.5,1.2,4
2020-04-18 04:31:30.000,0,4.6,0.8,2
2020-04-18 04:46:30.000,0,13.7,1.1,5
