Time,LiveTraffic,JamsDelay,JamsLength,JamsCount
2020-04-17 19:31:30.000,6,2.9,0.2,1
2020-04-17 19:46:30.000,5,3.1,0.1,1
2020-04-17 20:01:30.000,5,0.7,0.6,1
2020-04-17 20:16:30.000,5,5.1,0.2,2
2020-04-17 20:31:30.000,4,0.0,0.0,0
2020-04-17 20:46:30.000,4,4.1,0.7,2
2020-04-17 21:01:30.000,4,2.6,0.4,1
2020-04-17 21:16:30.000,3,4.4,0.2,2
2020-04-17 21:31:30.001,2,14.2,1.0,5
2020-04-17 21:46:30.001,2,12.0,0.7,4
2020-04-17 22:01:30.000,1,2.8,0.2,1
2020-04-17 22:16:30.000,0,0.0,0.0,0
2020-04-17 22:31:30.000,0,2.8,0.2,1
2020-04-17 23:31:30.000,0,1.5,0.4,2
2020-04-18 00:01:30.000,0,1.1,0.0,1
2020-04-18 01:31:30.001,0,0.6,0.8,1
2020-04-18 01:46:30.000,0,5.2,0.3,2
2020-04-18 02:01:30.000,0,2.6,0.1,1
2020-04-18 03:46:30.000,0,2.1,0.3,1
2020-04-18 06:01:30.000,0,2.2,0.2,1
2020-04-18 07:16:30.000,1,0.0,0.0,0
2020-04-18 07:31:30.000,2,3.0,0.2,1
2020-04-18 07:46:30.000,4,2.6,0.2,1
2020-04-18 08:01:30.000,5,0.0,0.0,0
2020-04-18 08:16:30.000,7,0.0,0.0,0
2020-04-18 08:31:30.000,8,2.6,0.4,1
2020-04-18 08:46:30.000,10,8.1,0.9,3
2020-04-18 09:01:30.000,11,9.2,0.7,3
2020-04-18 09:16:30.000,12,17.7,1.1,6
2020-04-18 09:31:30.000,13,12.1,1.7,5
2020-04-18 09:46:30.000,14,35.0,5.0,12
2020-04-18 10:01:30.000,15,30.8,3.2,9
2020-04-18 10:16:30.001,16,33.0,5.7,12
2020-04-18 10:31:30.000,17,34.6,8.4,13
2020-04-18 10:46:30.000,18,38.9,7.8,13
2020-04-18 11:01:30.000,20,60.3,13.2,19
2020-04-18 11:16:30.000,21,80.1,9.9,16
2020-04-18 11:31:30.000,22,72.5,14.9,22
2020-04-18 11:46:30.000,22,67.3,12.8,21
2020-04-18 12:01:30.000,21,68.7,14.1,23
2020-04-18 12:16:30.000,22,50.1,10.4,20
2020-04-18 12:31:30.000,22,64.6,16.8,23
2020-04-18 12:46:30.000,22,57.7,11.4,19
2020-04-18 13:01:30.000,21,53.0,10.6,19
2020-04-18 13:16:30.000,20,44.9,10.0,15
2020-04-18 13:31:30.000,20,40.2,11.8,16
2020-04-18 13:46:30.000,20,36.7,6.8,9
2020-04-18 14:01:30.000,20,46.6,6.8,11
2020-04-18 14:16:30.000,20,48.0,8.7,9
2020-04-18 14:31:30.000,20,24.4,5.9,9
2020-04-18 14:46:30.000,17,13.6,4.0,7
2020-04-18 15:01:30.000,16,10.1,5.6,3
2020-04-18 15:16:30.000,15,7.5,1.4,3
2020-04-18 15:31:30.000,14,2.6,0.1,1
2020-04-18 15:46:30.000,13,6.5,0.8,3
2020-04-18 16:16:30.001,10,7.5,0.4,2
2020-04-18 16:31:30.001,10,6.2,0.4,2
2020-04-18 16:46:30.000,9,5.9,0.5,3
2020-04-18 17:01:30.000,8,3.4,0.1,2
2020-04-18 17:16:30.000,7,4.3,0.3,2
2020-04-18 17:31:30.000,7,3.4,0.1,1
2020-04-18 17:46:30.000,6,0.5,0.2,1
2020-04-18 18:01:30.001,6,2.8,0.2,1
2020-04-18 18:16:30.000,5,2.8,0.2,1
2020-04-18 18:31:30.001,5,0.0,0.0,0
2020-04-18 18:46:30.000,5,6.8,0.5,2
2020-04-18 19:01:30.000,7,7.8,0.5,3
2020-04-18 19:16:30.000,6,4.9,0.2,2
2020-04-18 19:31:30.001,5,2.9,0.2,1
2020-04-18 19:46:30.000,5,6.2,0.1,1
2020-04-18 20:01:30.001,4,5.9,0.4,2
2020-04-18 20:16:30.000,4,9.2,0.6,3
2020-04-18 20:31:30.000,3,8.7,0.5,2
2020-04-18 20:46:30.000,3,10.5,0.9,4
2020-04-18 21:01:30.000,3,7.7,0.6,3
2020-04-18 21:16:30.000,2,0.0,0.0,0
2020-04-18 21:31:30.000,2,0.0,0.0,0
