Time,LiveTraffic,JamsDelay,JamsLength,JamsCount
2020-04-13 07:16:30.000,0,8.1,0.6,3
2020-04-13 07:31:30.000,0,11.5,0.9,4
2020-04-13 07:46:30.000,0,17.7,4.3,5
2020-04-13 08:01:30.000,0,18.5,4.5,9
2020-04-13 08:16:30.000,0,16.3,2.3,6
2020-04-13 08:31:30.000,0,14.4,1.5,4
2020-04-13 08:46:30.000,0,8.9,0.7,3
2020-04-13 09:01:30.000,0,2.9,0.2,1
2020-04-13 09:16:30.000,0,18.4,1.5,6
2020-04-13 09:31:30.000,0,23.6,2.2,8
2020-04-13 09:46:30.000,0,14.8,1.4,5
2020-04-13 10:01:30.000,0,12.7,1.0,5
2020-04-13 10:16:30.000,0,28.0,2.6,9
2020-04-13 10:31:30.000,0,29.4,3.7,8
2020-04-13 10:46:30.000,0,42.0,6.4,12
2020-04-13 11:01:30.000,0,62.8,10.3,18
2020-04-13 11:16:30.001,0,91.3,15.0,25
2020-04-13 11:31:30.000,1,134.6,20.0,34
2020-04-13 11:46:30.000,2,122.3,18.0,32
2020-04-13 12:01:30.000,3,81.8,18.4,31
2020-04-13 12:16:30.000,3,82.0,13.1,28
2020-04-13 12:31:30.000,4,166.5,17.6,31
2020-04-13 12:46:30.000,4,96.2,13.2,21
2020-04-13 13:01:30.000,4,71.3,9.4,27
2020-04-13 13:16:30.000,4,42.7,5.0,18
2020-04-13 13:31:30.000,4,57.7,7.9,23
2020-04-13 13:46:30.000,4,55.9,6.9,19
2020-04-13 14:01:30.000,4,27.4,2.7,11
2020-04-13 14:16:30.000,4,67.8,7.6,25
2020-04-13 14:31:30.000,4,83.6,7.1,27
2020-04-13 14:46:30.000,4,81.1,10.0,28
2020-04-13 15:01:30.000,5,64.2,6.0,25
2020-04-13 15:16:30.000,4,62.3,5.2,22
2020-04-13 15:31:30.000,4,103.6,8.8,32
2020-04-13 15:46:30.000,4,69.9,9.9,23
2020-04-13 16:01:30.000,4,96.3,11.7,31
2020-04-13 16:16:30.000,4,58.9,10.9,21
2020-04-13 16:31:30.000,4,77.2,8.0,27
2020-04-13 16:46:30.000,4,91.9,7.9,27
2020-04-13 17:01:30.001,4,89.1,9.3,33
2020-04-13 17:16:30.000,4,107.3,13.8,37
2020-04-13 17:31:30.000,5,95.8,10.5,30
2020-04-13 17:46:30.000,5,100.0,12.1,30
2020-04-13 18:01:30.000,5,114.2,14.7,32
2020-04-13 18:16:30.000,5,106.0,10.6,28
2020-04-13 18:31:30.000,5,193.3,19.4,50
2020-04-13 18:46:30.000,6,145.6,18.4,48
2020-04-13 19:01:30.000,6,112.2,14.5,36
2020-04-13 19:16:30.000,5,113.7,9.8,32
2020-04-13 19:31:30.000,5,77.4,9.0,27
2020-04-13 19:46:30.000,5,86.3,11.2,29
2020-04-13 20:01:30.001,5,124.5,16.4,38
2020-04-13 20:16:00.000,5,93.5,8.3,31
2020-04-13 20:31:30.000,4,104.5,10.3,36
2020-04-13 20:46:30.000,4,110.0,13.8,33
2020-04-13 21:01:30.001,4,69.6,5.1,18
2020-04-13 21:16:30.000,4,90.7,7.8,29
2020-04-13 21:31:30.000,4,187.6,13.8,51
2020-04-13 21:46:30.000,4,97.7,8.8,29
2020-04-13 22:01:30.000,4,124.7,12.7,43
2020-04-13 22:16:30.000,3,114.2,9.9,37
2020-04-13 22:31:30.001,2,117.8,11.1,36
2020-04-13 22:46:30.000,2,103.2,8.9,33
2020-04-13 23:01:30.000,2,73.9,7.6,29
2020-04-13 23:16:30.000,2,110.1,9.4,36
2020-04-13 23:31:30.000,1,130.3,12.6,39
2020-04-13 23:46:30.000,1,119.6,11.1,38
2020-04-14 00:01:30.000,1,90.1,8.0,26
2020-04-14 00:16:30.000,1,133.0,13.2,40
2020-04-14 00:31:30.000,1,79.4,7.5,30
2020-04-14 00:46:30.000,0,79.4,7.7,28
2020-04-14 01:01:30.000,0,73.4,6.7,24
2020-04-14 01:16:30.000,0,75.0,6.7,25
2020-04-14 01:31:30.000,0,88.2,5.7,27
2020-04-14 01:46:30.000,0,89.8,6.4,29
2020-04-14 02:01:30.000,0,42.4,4.6,18
2020-04-14 02:16:30.001,0,71.3,6.0,20
2020-04-14 02:31:30.000,0,78.1,6.5,21
2020-04-14 02:46:30.000,0,40.0,6.0,15
2020-04-14 03:01:30.000,0,63.1,7.8,21
2020-04-14 03:16:30.000,0,40.9,3.8,12
2020-04-14 03:31:30.001,0,29.6,4.3,11
2020-04-14 03:46:30.000,0,51.4,5.6,16
2020-04-14 04:01:30.000,0,72.6,4.3,21
2020-04-14 04:16:30.000,0,41.8,4.1,13
2020-04-14 04:31:30.000,0,39.5,5.0,16
2020-04-14 04:46:30.000,0,27.6,2.8,11
2020-04-14 05:01:30.000,0,27.9,2.3,9
2020-04-14 05:16:30.000,0,14.9,3.1,6
2020-04-14 05:31:30.000,0,4.7,1.7,3
2020-04-14 05:46:30.000,0,10.4,1.8,4
2020-04-14 06:01:30.000,0,14.2,1.5,5
2020-04-14 06:16:30.000,0,23.4,3.3,9
2020-04-14 06:31:30.000,0,39.9,7.5,15
2020-04-14 06:46:30.000,0,34.6,3.7,11
2020-04-14 07:01:30.001,0,29.2,3.7,10
2020-04-14 07:16:30.252,0,8.3,1.9,4
2020-04-14 07:31:30.000,0,18.4,2.5,7
2020-04-14 07:46:30.000,0,14.5,1.9,5
2020-04-14 08:01:30.000,0,7.6,4.4,4
2020-04-14 08:16:30.000,0,17.5,2.4,8
2020-04-14 08:31:30.000,0,15.7,2.5,9
2020-04-14 08:46:30.000,0,26.5,3.4,10
2020-04-14 09:01:30.000,0,35.7,5.3,11
2020-04-14 09:16:30.000,0,26.7,4.4,7
2020-04-14 09:31:30.000,0,35.0,5.9,11
2020-04-14 09:46:30.000,0,30.5,5.1,8
2020-04-14 10:01:30.000,0,27.2,4.3,7
2020-04-14 10:16:30.000,0,36.0,6.8,10
2020-04-14 10:31:30.000,0,30.3,7.3,15
2020-04-14 10:46:30.000,0,23.1,10.4,15
2020-04-14 11:01:30.000,0,35.9,10.6,15
2020-04-14 11:16:30.000,0,54.3,6.2,18
2020-04-14 11:31:30.000,0,57.4,9.9,22
2020-04-14 11:46:30.000,0,75.2,12.6,29
2020-04-14 12:01:30.001,1,99.1,13.6,39
2020-04-14 12:16:30.000,2,96.6,12.9,39
2020-04-14 12:31:30.000,3,73.4,10.6,26
2020-04-14 12:46:30.001,3,65.2,8.6,22
2020-04-14 13:01:30.000,3,90.0,12.2,31
2020-04-14 13:16:30.000,3,72.6,11.6,27
2020-04-14 13:31:30.000,3,93.7,12.8,30
2020-04-14 13:46:30.000,3,123.2,16.1,42
2020-04-14 14:01:30.000,3,124.5,15.6,39
2020-04-14 14:16:30.001,3,107.2,14.1,33
2020-04-14 14:31:30.000,4,92.8,16.6,32
2020-04-14 14:46:30.001,4,97.9,23.5,34
2020-04-14 15:01:30.001,5,112.0,26.1,39
2020-04-14 15:16:30.000,5,121.1,23.4,38
2020-04-14 15:31:30.000,5,161.8,28.8,52
2020-04-14 15:46:30.000,5,131.3,23.8,46
2020-04-14 16:01:30.001,6,130.3,27.1,45
2020-04-14 16:16:30.000,6,145.5,29.0,47
2020-04-14 16:31:30.000,6,154.3,29.6,50
2020-04-14 16:46:00.000,6,150.6,27.1,47
2020-04-14 17:01:30.000,6,167.7,29.3,51
2020-04-14 17:16:00.000,6,157.0,26.7,54
2020-04-14 17:31:30.000,6,138.8,21.4,47
2020-04-14 17:46:30.000,5,138.2,21.4,49
2020-04-14 18:01:00.000,5,137.7,22.2,47
2020-04-14 18:16:30.000,6,153.4,28.2,55
2020-04-14 18:31:00.000,6,183.7,26.1,49
2020-04-14 18:46:30.000,6,193.2,27.3,52
2020-04-14 19:01:00.001,6,170.7,26.2,51
2020-04-14 19:16:00.000,7,125.6,25.7,49
2020-04-14 19:31:00.000,7,138.9,27.7,51
2020-04-14 19:46:30.000,7,138.0,22.0,45
