from,to,tunnel,volume
2020-03-01 00:00:00,2020-03-01 01:00:00,Tun Bel IN,1182
2020-03-01 01:00:00,2020-03-01 02:00:00,Tun Bel IN,871
2020-03-01 02:00:00,2020-03-01 03:00:00,Tun Bel IN,620
2020-03-01 03:00:00,2020-03-01 04:00:00,Tun Bel IN,581
2020-03-01 04:00:00,2020-03-01 05:00:00,Tun Bel IN,500
2020-03-01 05:00:00,2020-03-01 06:00:00,Tun Bel IN,475
2020-03-01 06:00:00,2020-03-01 07:00:00,Tun Bel IN,489
2020-03-01 07:00:00,2020-03-01 08:00:00,Tun Bel IN,549
2020-03-01 08:00:00,2020-03-01 09:00:00,Tun Bel IN,686
2020-03-01 09:00:00,2020-03-01 10:00:00,Tun Bel IN,931
2020-03-01 10:00:00,2020-03-01 11:00:00,Tun Bel IN,1261
2020-03-01 11:00:00,2020-03-01 12:00:00,Tun Bel IN,1574
2020-03-01 12:00:00,2020-03-01 13:00:00,Tun Bel IN,1949
2020-03-01 13:00:00,2020-03-01 14:00:00,Tun Bel IN,2049
2020-03-01 14:00:00,2020-03-01 15:00:00,Tun Bel IN,1993
2020-03-01 15:00:00,2020-03-01 16:00:00,Tun Bel IN,2086
2020-03-01 16:00:00,2020-03-01 17:00:00,Tun Bel IN,2222
2020-03-01 17:00:00,2020-03-01 18:00:00,Tun Bel IN,2327
2020-03-01 18:00:00,2020-03-01 19:00:00,Tun Bel IN,2183
2020-03-01 19:00:00,2020-03-01 20:00:00,Tun Bel IN,1975
2020-03-01 20:00:00,2020-03-01 21:00:00,Tun Bel IN,1711
2020-03-01 21:00:00,2020-03-01 22:00:00,Tun Bel IN,1378
2020-03-01 22:00:00,2020-03-01 23:00:00,Tun Bel IN,1010
2020-03-01 23:00:00,2020-03-02 00:00:00,Tun Bel IN,876
2020-03-02 00:00:00,2020-03-02 01:00:00,Tun Bel IN,41
2020-03-02 01:00:00,2020-03-02 02:00:00,Tun Bel IN,0
2020-03-02 02:00:00,2020-03-02 03:00:00,Tun Bel IN,1
2020-03-02 03:00:00,2020-03-02 04:00:00,Tun Bel IN,1
2020-03-02 04:00:00,2020-03-02 05:00:00,Tun Bel IN,3
2020-03-02 05:00:00,2020-03-02 06:00:00,Tun Bel IN,346
2020-03-02 06:00:00,2020-03-02 07:00:00,Tun Bel IN,1794
2020-03-02 07:00:00,2020-03-02 08:00:00,Tun Bel IN,2697
2020-03-02 08:00:00,2020-03-02 09:00:00,Tun Bel IN,2502
2020-03-02 09:00:00,2020-03-02 10:00:00,Tun Bel IN,2009
2020-03-02 10:00:00,2020-03-02 11:00:00,Tun Bel IN,1904
2020-03-02 11:00:00,2020-03-02 12:00:00,Tun Bel IN,1944
2020-03-02 12:00:00,2020-03-02 13:00:00,Tun Bel IN,2290
2020-03-02 13:00:00,2020-03-02 14:00:00,Tun Bel IN,2237
2020-03-02 14:00:00,2020-03-02 15:00:00,Tun Bel IN,2420
2020-03-02 15:00:00,2020-03-02 16:00:00,Tun Bel IN,2747
2020-03-02 16:00:00,2020-03-02 17:00:00,Tun Bel IN,3289
2020-03-02 17:00:00,2020-03-02 18:00:00,Tun Bel IN,2518
2020-03-02 18:00:00,2020-03-02 19:00:00,Tun Bel IN,2284
2020-03-02 19:00:00,2020-03-02 20:00:00,Tun Bel IN,3038
2020-03-02 20:00:00,2020-03-02 21:00:00,Tun Bel IN,1794
2020-03-02 21:00:00,2020-03-02 22:00:00,Tun Bel IN,1401
2020-03-02 22:00:00,2020-03-02 23:00:00,Tun Bel IN,1207
2020-03-02 23:00:00,2020-03-03 00:00:00,Tun Bel IN,817
2020-03-03 00:00:00,2020-03-03 01:00:00,Tun Bel IN,11
2020-03-03 01:00:00,2020-03-03 02:00:00,Tun Bel IN,3
2020-03-03 02:00:00,2020-03-03 03:00:00,Tun Bel IN,0
2020-03-03 03:00:00,2020-03-03 04:00:00,Tun Bel IN,2
2020-03-03 04:00:00,2020-03-03 05:00:00,Tun Bel IN,2
2020-03-03 05:00:00,2020-03-03 06:00:00,Tun Bel IN,7
2020-03-03 06:00:00,2020-03-03 07:00:00,Tun Bel IN,1623
2020-03-03 07:00:00,2020-03-03 08:00:00,Tun Bel IN,2568
2020-03-03 08:00:00,2020-03-03 09:00:00,Tun Bel IN,2429
2020-03-03 09:00:00,2020-03-03 10:00:00,Tun Bel IN,2199
2020-03-03 10:00:00,2020-03-03 11:00:00,Tun Bel IN,1910
2020-03-03 11:00:00,2020-03-03 12:00:00,Tun Bel IN,2149
2020-03-03 12:00:00,2020-03-03 13:00:00,Tun Bel IN,2585
2020-03-03 13:00:00,2020-03-03 14:00:00,Tun Bel IN,2282
2020-03-03 14:00:00,2020-03-03 15:00:00,Tun Bel IN,2508
2020-03-03 15:00:00,2020-03-03 16:00:00,Tun Bel IN,3046
2020-03-03 16:00:00,2020-03-03 17:00:00,Tun Bel IN,3441
2020-03-03 17:00:00,2020-03-03 18:00:00,Tun Bel IN,2217
2020-03-03 18:00:00,2020-03-03 19:00:00,Tun Bel IN,1572
2020-03-03 19:00:00,2020-03-03 20:00:00,Tun Bel IN,2990
2020-03-03 20:00:00,2020-03-03 21:00:00,Tun Bel IN,2015
2020-03-03 21:00:00,2020-03-03 22:00:00,Tun Bel IN,1524
2020-03-03 22:00:00,2020-03-03 23:00:00,Tun Bel IN,1407
2020-03-03 23:00:00,2020-03-04 00:00:00,Tun Bel IN,1298
2020-03-04 00:00:00,2020-03-04 01:00:00,Tun Bel IN,19
2020-03-04 01:00:00,2020-03-04 02:00:00,Tun Bel IN,1
2020-03-04 02:00:00,2020-03-04 03:00:00,Tun Bel IN,1
2020-03-04 03:00:00,2020-03-04 04:00:00,Tun Bel IN,1
2020-03-04 04:00:00,2020-03-04 05:00:00,Tun Bel IN,3
2020-03-04 05:00:00,2020-03-04 06:00:00,Tun Bel IN,386
2020-03-04 06:00:00,2020-03-04 07:00:00,Tun Bel IN,1703
2020-03-04 07:00:00,2020-03-04 08:00:00,Tun Bel IN,2575
2020-03-04 08:00:00,2020-03-04 09:00:00,Tun Bel IN,2585
2020-03-04 09:00:00,2020-03-04 10:00:00,Tun Bel IN,2063
2020-03-04 10:00:00,2020-03-04 11:00:00,Tun Bel IN,2049
2020-03-04 11:00:00,2020-03-04 12:00:00,Tun Bel IN,2303
2020-03-04 12:00:00,2020-03-04 13:00:00,Tun Bel IN,2640
2020-03-04 13:00:00,2020-03-04 14:00:00,Tun Bel IN,2502
