Entity,Code,Date,new_hospital_admissions
East of England,,2020-03-19,0
East of England,,2020-03-20,0
East of England,,2020-03-21,0
East of England,,2020-03-22,0
East of England,,2020-03-23,0
East of England,,2020-03-24,0
East of England,,2020-03-25,51.42857143
East of England,,2020-03-26,71
East of England,,2020-03-27,81.14285714
East of England,,2020-03-28,93.57142857
East of England,,2020-03-29,115.2857143
East of England,,2020-03-30,129.8571429
East of England,,2020-03-31,135.5714286
East of England,,2020-04-01,148.5714286
East of England,,2020-04-02,152
East of England,,2020-04-03,166
East of England,,2020-04-04,171.5714286
East of England,,2020-04-05,174.2857143
East of England,,2020-04-06,186.1428571
East of England,,2020-04-07,188.7142857
East of England,,2020-04-08,196.1428571
East of England,,2020-04-09,197.2857143
East of England,,2020-04-10,200.5714286
East of England,,2020-04-11,200.8571429
East of England,,2020-04-12,190
East of England,,2020-04-13,187.5714286
East of England,,2020-04-14,190.8571429
East of England,,2020-04-15,175.7142857
East of England,,2020-04-16,167.2857143
East of England,,2020-04-17,158.5714286
East of England,,2020-04-18,162.2857143
East of England,,2020-04-19,162.8571429
East of England,,2020-04-20,150.2857143
East of England,,2020-04-21,144.7142857
East of England,,2020-04-22,145.7142857
East of England,,2020-04-23,145
East of England,,2020-04-24,143.1428571
East of England,,2020-04-25,134.1428571
East of England,,2020-04-26,134.1428571
East of England,,2020-04-27,134.2857143
East of England,,2020-04-28,139.4285714
East of England,,2020-04-29,144.7142857
East of England,,2020-04-30,154.7142857
East of England,,2020-05-01,152.7142857
East of England,,2020-05-02,150.2857143
East of England,,2020-05-03,152.8571429
East of England,,2020-05-04,149.8571429
East of England,,2020-05-05,136.4285714
East of England,,2020-05-06,132.2857143
East of England,,2020-05-07,120.5714286
East of England,,2020-05-08,112.4285714
East of England,,2020-05-09,111
East of England,,2020-05-10,97.42857143
East of England,,2020-05-11,94.85714286
East of England,,2020-05-12,98.57142857
East of England,,2020-05-13,90.57142857
East of England,,2020-05-14,86.57142857
East of England,,2020-05-15,89.71428571
East of England,,2020-05-16,85.57142857
East of England,,2020-05-17,87.57142857
East of England,,2020-05-18,86.57142857
East of England,,2020-05-19,82.28571429
East of England,,2020-05-20,85.28571429
East of England,,2020-05-21,83.71428571
East of England,,2020-05-22,81.85714286
East of England,,2020-05-23,77.14285714
East of England,,2020-05-24,72.42857143
East of England,,2020-05-25,68.14285714
East of England,,2020-05-26,68
East of England,,2020-05-27,62.85714286
East of England,,2020-05-28,59.42857143
East of England,,2020-05-29,55.85714286
East of England,,2020-05-30,56.42857143
East of England,,2020-05-31,53.14285714
East of England,,2020-06-01,54.14285714
East of England,,2020-06-02,50.57142857
East of England,,2020-06-03,49
East of England,,2020-06-04,49.71428571
East of England,,2020-06-05,48.28571429
East of England,,2020-06-06,46.42857143
East of England,,2020-06-07,46.85714286
East of England,,2020-06-08,42.57142857
East of England,,2020-06-09,40.28571429
East of England,,2020-06-10,39.28571429
East of England,,2020-06-11,37
East of England,,2020-06-12,35
East of England,,2020-06-13,35.28571429
East of England,,2020-06-14,36.14285714
East of England,,2020-06-15,40.28571429
East of England,,2020-06-16,38.71428571
East of England,,2020-06-17,39.28571429
East of England,,2020-06-18,38.71428571
East of England,,2020-06-19,38.42857143
East of England,,2020-06-20,36.57142857
East of England,,2020-06-21,34.28571429
East of England,,2020-06-22,32.28571429
East of England,,2020-06-23,30.57142857
East of England,,2020-06-24,27.28571429
East of England,,2020-06-25,27.85714286
East of England,,2020-06-26,28.42857143
East of England,,2020-06-27,27.85714286
East of England,,2020-06-28,26
East of England,,2020-06-29,22.85714286
East of England,,2020-06-30,22.71428571
East of England,,2020-07-01,22.71428571
East of England,,2020-07-02,19.85714286
East of England,,2020-07-03,16.57142857
East of England,,2020-07-04,16.85714286
East of England,,2020-07-05,19
East of England,,2020-07-06,19.14285714
