YEAR_WEEK,NIS5,AGEGROUP,CUMUL,AgeGroup,COUNT,percent
21W33,11001,0-17,713,0-17,2557,27.884239342980056
21W33,11001,35-44,1500,35-44,1601,93.69144284821986
21W33,11001,45-54,1805,45-54,2041,88.43704066634002
21W33,11001,55-64,2031,55-64,2090,97.17703349282297
21W33,11001,65-74,1853,65-74,1897,97.68054823405377
21W33,11001,75-84,1244,75-84,1261,98.65186360031721
21W33,11001,85+,473,85+,482,98.13278008298755
21W33,11002,0-17,18754,0-17,119897,15.641759176626605
21W33,11002,35-44,57704,35-44,73771,78.22043892586518
21W33,11002,45-54,54186,45-54,64091,84.54541199232341
21W33,11002,55-64,50930,55-64,56810,89.64970955817638
21W33,11002,65-74,39367,65-74,42833,91.90810823430533
21W33,11002,75-84,26515,75-84,29118,91.06051239782953
21W33,11002,85+,13404,85+,14863,90.18367758864294
21W33,11004,0-17,839,0-17,2494,33.64073777064956
21W33,11004,35-44,1416,35-44,1520,93.15789473684211
21W33,11004,45-54,1694,45-54,1851,91.5180983252296
21W33,11004,55-64,2051,55-64,2081,98.55838539163864
21W33,11004,65-74,1519,65-74,1496,101.53743315508021
21W33,11004,75-84,871,75-84,888,98.08558558558559
21W33,11004,85+,467,85+,499,93.58717434869739
21W33,11005,0-17,892,0-17,4323,20.63381910710155
21W33,11005,35-44,2081,35-44,2368,87.88006756756756
21W33,11005,45-54,2249,45-54,2563,87.74873195474053
21W33,11005,55-64,2154,55-64,2223,96.89608636977059
21W33,11005,65-74,1503,65-74,1532,98.1070496083551
21W33,11005,75-84,1068,75-84,1150,92.8695652173913
21W33,11005,85+,522,85+,524,99.61832061068702
21W33,11007,0-17,457,0-17,2293,19.930222416048846
21W33,11007,35-44,1172,35-44,1421,82.4771287825475
21W33,11007,45-54,1144,45-54,1340,85.3731343283582
21W33,11007,55-64,1358,55-64,1468,92.50681198910081
21W33,11007,65-74,1123,65-74,1170,95.98290598290598
21W33,11007,75-84,727,75-84,735,98.91156462585035
21W33,11007,85+,259,85+,280,92.5
21W33,11008,0-17,2161,0-17,6875,31.432727272727274
21W33,11008,35-44,3920,35-44,4347,90.17713365539453
21W33,11008,45-54,4648,45-54,5121,90.763522749463
21W33,11008,55-64,5345,55-64,5753,92.90804797496958
21W33,11008,65-74,4689,65-74,4806,97.56554307116104
21W33,11008,75-84,3149,75-84,3183,98.93182532202324
21W33,11008,85+,1344,85+,1401,95.93147751605996
21W33,11009,0-17,1788,0-17,5364,33.333333333333336
21W33,11009,35-44,3242,35-44,3405,95.21292217327459
21W33,11009,45-54,3947,45-54,4340,90.9447004608295
21W33,11009,55-64,4733,55-64,4834,97.9106330161357
21W33,11009,65-74,3211,65-74,3201,100.31240237425804
21W33,11009,75-84,1831,75-84,1853,98.81273610361576
21W33,11009,85+,705,85+,710,99.29577464788733
21W33,11013,0-17,1054,0-17,4307,24.47179010912468
21W33,11013,35-44,2508,35-44,2736,91.66666666666667
21W33,11013,45-54,2263,45-54,2564,88.26053042121684
21W33,11013,55-64,2976,55-64,3163,94.08789124249131
21W33,11013,65-74,2479,65-74,2576,96.23447204968944
21W33,11013,75-84,1706,75-84,1815,93.99449035812673
21W33,11013,85+,917,85+,932,98.39055793991416
21W33,11016,0-17,1131,0-17,3896,29.029774127310063
21W33,11016,35-44,2027,35-44,2354,86.1087510620221
21W33,11016,45-54,2260,45-54,2668,84.70764617691154
21W33,11016,55-64,2651,55-64,2817,94.10720624778133
21W33,11016,65-74,2040,65-74,2068,98.64603481624758
21W33,11016,75-84,1111,75-84,1133,98.05825242718447
21W33,11016,85+,410,85+,430,95.34883720930233
21W33,11018,0-17,700,0-17,2661,26.305900037579857
21W33,11018,35-44,1467,35-44,1657,88.53349426674713
21W33,11018,45-54,1519,45-54,1633,93.01898346601347
21W33,11018,55-64,1411,55-64,1432,98.53351955307262
21W33,11018,65-74,1081,65-74,1105,97.82805429864253
21W33,11018,75-84,571,75-84,604,94.5364238410596
21W33,11018,85+,256,85+,281,91.1032028469751
21W33,11021,0-17,534,0-17,1615,33.06501547987616
21W33,11021,35-44,891,35-44,890,100.11235955056179
21W33,11021,45-54,992,45-54,1044,95.01915708812261
21W33,11021,55-64,1213,55-64,1304,93.02147239263803
21W33,11021,65-74,1030,65-74,1013,101.6781836130306
21W33,11021,75-84,615,75-84,619,99.35379644588045
21W33,11021,85+,327,85+,346,94.50867052023122
21W33,11022,0-17,1184,0-17,3670,32.26158038147139
21W33,11022,35-44,2074,35-44,2212,93.76130198915008
21W33,11022,45-54,2297,45-54,2521,91.11463704879016
21W33,11022,55-64,2578,55-64,2657,97.02672186676703
21W33,11022,65-74,2161,65-74,2209,97.82707107288365
21W33,11022,75-84,1388,75-84,1378,100.72568940493468
21W33,11022,85+,614,85+,635,96.69291338582677
21W33,11023,0-17,1682,0-17,5005,33.60639360639361
21W33,11023,35-44,2955,35-44,3134,94.28844926611359
21W33,11023,45-54,3392,45-54,3704,91.57667386609072
21W33,11023,55-64,3946,55-64,4055,97.31196054254008
21W33,11023,65-74,3043,65-74,3097,98.25637713916693
21W33,11023,75-84,2201,75-84,2242,98.17127564674398
21W33,11023,85+,909,85+,1003,90.62811565304088
21W33,11024,0-17,1254,0-17,4057,30.909539068277052
21W33,11024,35-44,2323,35-44,2530,91.81818181818181
21W33,11024,45-54,2594,45-54,2854,90.88997897687456
21W33,11024,55-64,3100,55-64,3188,97.2396486825596
21W33,11024,65-74,2282,65-74,2291,99.60715844609341
21W33,11024,75-84,1473,75-84,1531,96.21162638798171
21W33,11024,85+,664,85+,662,100.30211480362537
21W33,11025,0-17,570,0-17,1699,33.549146556798114
21W33,11025,35-44,946,35-44,1019,92.8361138370952
21W33,11025,45-54,1095,45-54,1182,92.63959390862944
21W33,11025,55-64,1392,55-64,1426,97.61570827489481
21W33,11025,65-74,921,65-74,923,99.78331527627303
21W33,11025,75-84,509,75-84,521,97.69673704414588
21W33,11025,85+,206,85+,222,92.7927927927928
21W33,11029,0-17,1383,0-17,5264,26.272796352583587
21W33,11029,35-44,2959,35-44,3389,87.31189141339628
21W33,11029,45-54,2917,45-54,3368,86.60926365795724
21W33,11029,55-64,3268,55-64,3435,95.13828238719069
21W33,11029,65-74,2413,65-74,2505,96.32734530938124
21W33,11029,75-84,1613,75-84,1747,92.32970807097882
21W33,11029,85+,1036,85+,1064,97.36842105263158
21W33,11030,0-17,638,0-17,2449,26.051449571253574
21W33,11030,35-44,1334,35-44,1455,91.68384879725086
21W33,11030,45-54,1334,45-54,1421,93.87755102040816
21W33,11030,55-64,1235,55-64,1281,96.40905542544887
21W33,11030,65-74,848,65-74,884,95.92760180995475
21W33,11030,75-84,528,75-84,552,95.65217391304348
21W33,11030,85+,270,85+,281,96.08540925266904
21W33,11035,0-17,1085,0-17,3471,31.25900316911553
21W33,11035,35-44,2149,35-44,2280,94.25438596491227
21W33,11035,45-54,2349,45-54,2610,90.0
21W33,11035,55-64,2979,55-64,3063,97.25759059745347
21W33,11035,65-74,2275,65-74,2320,98.0603448275862
21W33,11035,75-84,1355,75-84,1364,99.34017595307918
