year,week,age,tot
2015,1,85+,635
2015,2,85+,1061
2015,3,85+,1013
2015,4,85+,1077
2015,5,85+,1146
2015,6,85+,1188
2015,7,85+,1275
2015,8,85+,1182
2015,9,85+,1156
2015,10,85+,1036
2015,11,85+,984
2015,12,85+,1010
2015,13,85+,929
2015,14,85+,827
2015,15,85+,867
2015,16,85+,858
2015,17,85+,817
2015,18,85+,771
2015,19,85+,802
2015,20,85+,782
2015,21,85+,772
2015,22,85+,716
2015,23,85+,762
2015,24,85+,737
2015,25,85+,710
2015,26,85+,718
2015,27,85+,918
2015,28,85+,695
2015,29,85+,705
2015,30,85+,624
2015,31,85+,650
2015,32,85+,771
2015,33,85+,702
2015,34,85+,649
2015,35,85+,730
2015,36,85+,664
2015,37,85+,707
2015,38,85+,718
2015,39,85+,750
2015,40,85+,780
2015,41,85+,815
2015,42,85+,792
2015,43,85+,820
2015,44,85+,883
2015,45,85+,796
2015,46,85+,744
2015,47,85+,735
2015,48,85+,771
2015,49,85+,773
2015,50,85+,838
2015,51,85+,838
2015,52,85+,836
2015,53,85+,487
2016,1,85+,881
2016,2,85+,910
2016,3,85+,955
2016,4,85+,893
2016,5,85+,911
2016,6,85+,846
2016,7,85+,859
2016,8,85+,916
2016,9,85+,929
2016,10,85+,881
2016,11,85+,947
2016,12,85+,911
2016,13,85+,896
2016,14,85+,854
2016,15,85+,882
2016,16,85+,798
2016,17,85+,819
2016,18,85+,851
2016,19,85+,794
2016,20,85+,749
2016,21,85+,744
2016,22,85+,704
2016,23,85+,709
2016,24,85+,720
2016,25,85+,723
2016,26,85+,719
2016,27,85+,727
2016,28,85+,784
2016,29,85+,828
2016,30,85+,745
2016,31,85+,674
2016,32,85+,701
2016,33,85+,774
2016,34,85+,895
2016,35,85+,740
2016,36,85+,752
2016,37,85+,807
2016,38,85+,634
2016,39,85+,765
2016,40,85+,762
2016,41,85+,898
2016,42,85+,861
2016,43,85+,876
2016,44,85+,873
2016,45,85+,890
2016,46,85+,896
2016,47,85+,902
2016,48,85+,895
2016,49,85+,940
2016,50,85+,953
2016,51,85+,981
