WEEK,NIS3,TOT,name,NIS5,POP,DEATH_PER_1000HABITANT
9,11,175,Anvers,11000,1051301,0.17
9,55,16,Soignies,55000,104533,0.15
9,56,24,Thuin,56000,91678,0.26
9,57,67,Tournai,57000,223417,0.3
9,58,45,La Louvière,58000,141060,0.32
9,61,25,Huy,61000,113409,0.22
9,62,143,Liège,62000,624422,0.23
9,63,60,Verviers,63000,287772,0.21
9,71,79,Hasselt,71000,418496,0.19
9,53,56,Mons,53000,258999,0.22
9,72,46,Maaseik,72000,251589,0.18
9,81,9,Arlon,81000,62623,0.14
9,82,6,Bastogne,82000,48413,0.12
9,83,13,Marche-en-Famenne,83000,56476,0.23
9,84,8,Neufchâteau,84000,63375,0.13
9,85,11,Virton,85000,53751,0.2
9,91,23,Dinant,91000,111008,0.21
9,92,76,Namur,92000,316962,0.24
9,93,11,Philippeville,93000,66355,0.17
9,73,32,Tongres,73000,203963,0.16
9,52,79,Charleroi,52000,396639,0.2
9,64,14,Waremme,64000,81389,0.17
9,46,45,Saint-Nicolas,46000,252523,0.18
9,51,27,Ath,51000,127915,0.21
9,13,93,Turnhout,13000,461867,0.2
9,21,186,Bruxelles-Capitale,21000,1208542,0.15
9,23,109,Hal-Vilvorde,23000,637441,0.17
9,24,92,Louvain,24000,508734,0.18
9,25,66,Nivelles,25000,403599,0.16
9,31,66,Bruges,31000,282209,0.23
9,32,6,Dixmude,32000,51525,0.12
9,33,18,Ypres,33000,106279,0.17
9,34,79,Courtrai,34000,290706,0.27
9,12,56,Malines,12000,344818,0.16
9,36,35,Roulers,36000,153315,0.23
9,37,12,Tielt,37000,92905,0.13
9,38,16,Furnes,38000,61657,0.26
9,41,69,Alost,41000,291229,0.24
9,42,34,Termonde,42000,201213,0.17
9,43,22,Eeklo,43000,85235,0.26
9,44,113,Gand,44000,560522,0.2
9,45,35,Audenarde,45000,124342,0.28
9,35,34,Ostende,35000,157200,0.22
10,52,81,Charleroi,52000,396639,0.2
10,62,133,Liège,62000,624422,0.21
10,61,18,Huy,61000,113409,0.16
10,58,31,La Louvière,58000,141060,0.22
10,53,63,Mons,53000,258999,0.24
10,56,23,Thuin,56000,91678,0.25
10,55,20,Soignies,55000,104533,0.19
10,63,56,Verviers,63000,287772,0.19
10,57,62,Tournai,57000,223417,0.28
10,71,70,Hasselt,71000,418496,0.17
10,83,6,Marche-en-Famenne,83000,56476,0.11
10,73,43,Tongres,73000,203963,0.21
10,81,12,Arlon,81000,62623,0.19
10,82,10,Bastogne,82000,48413,0.21
10,84,13,Neufchâteau,84000,63375,0.21
10,85,5,Virton,85000,53751,0.09
10,91,30,Dinant,91000,111008,0.27
10,92,57,Namur,92000,316962,0.18
10,93,13,Philippeville,93000,66355,0.2
10,72,47,Maaseik,72000,251589,0.19
10,51,36,Ath,51000,127915,0.28
10,64,22,Waremme,64000,81389,0.27
10,45,24,Audenarde,45000,124342,0.19
10,12,60,Malines,12000,344818,0.17
10,13,80,Turnhout,13000,461867,0.17
10,21,188,Bruxelles-Capitale,21000,1208542,0.16
10,23,100,Hal-Vilvorde,23000,637441,0.16
10,24,93,Louvain,24000,508734,0.18
10,25,64,Nivelles,25000,403599,0.16
10,31,56,Bruges,31000,282209,0.2
10,32,10,Dixmude,32000,51525,0.19
10,33,23,Ypres,33000,106279,0.22
10,11,195,Anvers,11000,1051301,0.19
10,46,54,Saint-Nicolas,46000,252523,0.21
10,35,34,Ostende,35000,157200,0.22
10,36,30,Roulers,36000,153315,0.2
10,37,21,Tielt,37000,92905,0.23
10,38,23,Furnes,38000,61657,0.37
10,41,58,Alost,41000,291229,0.2
10,42,50,Termonde,42000,201213,0.25
10,43,17,Eeklo,43000,85235,0.2
10,44,110,Gand,44000,560522,0.2
10,34,63,Courtrai,34000,290706,0.22
11,62,141,Liège,62000,624422,0.23
11,61,20,Huy,61000,113409,0.18
11,58,39,La Louvière,58000,141060,0.28
11,53,71,Mons,53000,258999,0.27
11,56,27,Thuin,56000,91678,0.29
11,55,22,Soignies,55000,104533,0.21
11,63,62,Verviers,63000,287772,0.22
